direction,model,model_seed,source_n,target_n,label_level,n_shared_classes,target_coverage,classifier,accuracy,balanced_accuracy,macro_f1,weighted_f1,query_adaptation_epochs,source_training_epochs,source_training_runtime,query_runtime,gpu_peak_allocated_mb,gpu_peak_reserved_mb,query_gpu_peak_allocated_mb,process_peak_rss_mb,n_eval_source,n_eval_target,target_asw,target_knn_purity_15,target_leiden_ari,target_leiden_nmi,dataset_asw,latent_spaces_aligned_by
pbmc5k_to_pbmc10k,scvi_matched,1,3994,6855,l2,21,0.9773844641101278,logreg,0.75,0.5753536772965012,0.5707669476871889,0.7164324414817353,200,200,69.62554559099954,92.20916224199937,406.35498046875,420.0,309.50439453125,4627.05078125,3355,5964,0.12756970524787903,0.7415601442150115,0.6425831237865544,0.7458931379044328,0.09197968989610672,scArches: source encoded by the source model; query encoded by the adapted model
pbmc5k_to_pbmc10k,scvi_matched,1,3994,6855,l2,21,0.9773844641101278,knn15,0.7012072434607646,0.4915834363870106,0.4757626944038663,0.642567117614071,200,200,69.62554559099954,92.20916224199937,406.35498046875,420.0,309.50439453125,4627.05078125,3355,5964,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,1,3994,6855,l2,21,0.9773844641101278,knn30,0.6965124077800134,0.47369672908524474,0.45484779838975986,0.6336785901447535,200,200,69.62554559099954,92.20916224199937,406.35498046875,420.0,309.50439453125,4627.05078125,3355,5964,,,,,,
pbmc5k_to_pbmc10k,totalvi,1,3994,6855,l2,21,0.9773844641101278,logreg,0.7246814218645204,0.6197805907245516,0.6100334390892731,0.7288524825695415,200,200,106.39802514999974,167.4940893790008,428.06494140625,450.0,379.4755859375,4627.05078125,3355,5964,0.15143954753875732,0.7979460286244947,0.7377564071305808,0.7953575069554593,0.0722968727350235,scArches: source encoded by the source model; query encoded by the adapted model
pbmc5k_to_pbmc10k,totalvi,1,3994,6855,l2,21,0.9773844641101278,knn15,0.7845405767940979,0.599871594039662,0.6090267297402528,0.7587331728135674,200,200,106.39802514999974,167.4940893790008,428.06494140625,450.0,379.4755859375,4627.05078125,3355,5964,,,,,,
pbmc5k_to_pbmc10k,totalvi,1,3994,6855,l2,21,0.9773844641101278,knn30,0.7625754527162978,0.5644194148733324,0.5676829712980082,0.7240009095643023,200,200,106.39802514999974,167.4940893790008,428.06494140625,450.0,379.4755859375,4627.05078125,3355,5964,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,1,3994,6855,l1,8,1.0,logreg,0.8243198951163553,0.6866073842191904,0.70563566585784,0.790047525303899,200,200,69.62554559099954,92.20916224199937,406.35498046875,420.0,309.50439453125,4627.05078125,3392,6102,0.24111433327198029,0.8439855784988528,0.5762171902173215,0.6977263778002127,0.09197968989610672,scArches: source encoded by the source model; query encoded by the adapted model
pbmc5k_to_pbmc10k,scvi_matched,1,3994,6855,l1,8,1.0,knn15,0.803834808259587,0.6643666504450858,0.6756046340253345,0.7614303234770482,200,200,69.62554559099954,92.20916224199937,406.35498046875,420.0,309.50439453125,4627.05078125,3392,6102,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,1,3994,6855,l1,8,1.0,knn30,0.8023598820058997,0.6576101745406779,0.667265965885017,0.7574245668474812,200,200,69.62554559099954,92.20916224199937,406.35498046875,420.0,309.50439453125,4627.05078125,3392,6102,,,,,,
pbmc5k_to_pbmc10k,totalvi,1,3994,6855,l1,8,1.0,logreg,0.859882005899705,0.774504189929721,0.7856234944700181,0.8542826176825626,200,200,106.39802514999974,167.4940893790008,428.06494140625,450.0,379.4755859375,4627.05078125,3392,6102,0.22855645418167114,0.905178629957391,0.652011552433144,0.7586667239933651,0.0722968727350235,scArches: source encoded by the source model; query encoded by the adapted model
