direction,model,seed,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_cells,error_prevalence,error_auroc_predictive,error_auprc_predictive,error_auroc_latent,error_auprc_latent,nll,brier,ece_equal_frequency,ece_equal_width,aurc,aurc_latent,median_predictive_uncertainty,median_latent_uncertainty,spearman_upred_ulatent,spearman_upred_ulatent_p,spearman_ulatent_neglog_trueclass,spearman_ulatent_neglog_trueclass_p,median_latent_uncertainty_correct,median_latent_uncertainty_incorrect,median_predictive_uncertainty_correct,median_predictive_uncertainty_incorrect,error_rate_top_10pct,error_rate_top_20pct,error_rate_bottom_20pct,error_enrichment_top10_over_bottom20,source_training_epochs,query_epochs,runtime,gpu_peak_mb,rss_peak_mb
direction_A,totalvi,0,0.8165627782724845,0.6370303924874051,0.6357672182574826,0.794159951606735,3369,0.1834372217275156,0.8682297346419484,0.5432153591237139,0.6377504384989747,0.25779423650895045,0.5041646691361998,0.2534732076819175,0.025259313871047382,0.024983720817987696,0.0448705631683499,0.1139888631662945,0.09145408868789673,0.025241512805223465,0.4460673261628066,1.8860852078823322e-164,0.4359485177520775,2.436112881770815e-156,0.024519309401512146,0.027189506217837334,0.049657464027404785,0.38857853412628174,0.6083086053412463,0.5370919881305638,0.0,inf,200,200,260.67284784799995,379.4755859375,2873.08203125
direction_A,totalvi,1,0.8159691303057287,0.6519941970438736,0.6553804895452042,0.7949214811507231,3369,0.1840308696942713,0.8338592332695761,0.5037417621881393,0.6732885272063742,0.29006687434595413,0.5411761448951453,0.26671191248678927,0.025136826175651203,0.02417553344265435,0.05455344184362159,0.1047643359481644,0.09220725297927856,0.02453874796628952,0.4206203150236159,1.4427802451348143e-144,0.4345554791129767,3.0332664824551923e-155,0.023754043504595757,0.027314646169543266,0.05499035120010376,0.3432330787181854,0.5756676557863502,0.4896142433234421,0.004451038575667656,129.33333333333334,200,200,262.3390511999969,379.4755859375,3741.2109375
direction_A,totalvi,2,0.8177500742059959,0.6583810287595262,0.6646659421957736,0.8007718686264816,3369,0.18224992579400415,0.8372984860218613,0.46015438346972126,0.6599484502562708,0.2918883726458104,0.5116877982306869,0.2626760581722953,0.021001794715775488,0.020591631412293816,0.05128157458502644,0.10690176553617702,0.10256743431091309,0.026538705453276634,0.48550539844018703,8.157611254937287e-199,0.4792921895123928,4.2585078743287557e-193,0.02572675421833992,0.02902703732252121,0.049956440925598145,0.3808940351009369,0.5103857566765578,0.4821958456973294,0.0,inf,200,200,261.3075397719949,379.4755859375,4008.26953125
direction_A,totalvi,3,0.8150786583555951,0.6394102204152192,0.6402745954658015,0.7922401397736721,3369,0.18492134164440488,0.8486822800185648,0.5037010220809534,0.6670475894311177,0.303029466350909,0.5155639366763086,0.26222229026196076,0.023793814496492992,0.021185953659910793,0.05029380663086515,0.10851160969785598,0.09042304754257202,0.024387840181589127,0.48801513899348553,3.7006274639396474e-201,0.4857373569154264,4.96372678390854e-199,0.023637473583221436,0.027282025665044785,0.05185559391975403,0.3520374298095703,0.5608308605341247,0.4910979228486647,0.002967359050445104,189.0,190,200,255.011727238998,379.4755859375,4334.765625
direction_A,totalvi,4,0.8032056990204809,0.6557095596880953,0.6678916332453284,0.7918650687847187,3369,0.19679430097951914,0.8478519328591064,0.5207210392799191,0.6746774666430333,0.2995388137185444,0.5118551798808233,0.26896421586727887,0.014688808553896097,0.01705912873701795,0.05458734405556969,0.10910819029444238,0.11638897657394409,0.02563713863492012,0.5210451413842322,6.811255644409883e-234,0.502636137106417,3.319977200094403e-215,0.024480393156409264,0.028284406289458275,0.05231195688247681,0.3958846926689148,0.5756676557863502,0.5103857566765578,0.002967359050445104,194.0,200,200,279.1913811139966,379.4755859375,4617.2421875
direction_A,totalvi,5,0.8299198575244879,0.6843949074538437,0.684404244808529,0.8131424487745116,3369,0.170080142475512,0.8497613768859529,0.4961937925008426,0.6646730432654977,0.2736412216036251,0.5027315821173454,0.24814453789535168,0.015365463719944036,0.015405275633088125,0.04474354549182486,0.0969576337445154,0.10542136430740356,0.02488023042678833,0.4800970345734959,7.85675452518007e-194,0.47675373341150423,8.540578022242707e-191,0.023984447121620178,0.027425024658441544,0.05834344029426575,0.37114179134368896,0.5489614243323442,0.47181008902077154,0.001483679525222552,369.99999999999994,185,200,270.1816615739999,379.4755859375,6736.1171875
direction_A,totalvi,6,0.8248738498070645,0.6685653280135955,0.6677475414251971,0.8047961256203996,3369,0.1751261501929356,0.8549359298857656,0.5050269824989566,0.687960856545154,0.29998851666763027,0.4949011326270481,0.2482327817899294,0.020534953100810813,0.01610395017735996,0.045523138628442344,0.09367980210312479,0.09086006879806519,0.027325335890054703,0.4791927628901732,5.245630855861287e-193,0.4867314453085066,5.878600486803013e-200,0.02626192197203636,0.03060910850763321,0.04736590385437012,0.39369460940361023,0.5875370919881305,0.49851632047477745,0.002967359050445104,197.99999999999997,200,200,283.61206882400074,379.4755859375,6736.1171875
direction_A,totalvi,7,0.809142178688038,0.6395904654980289,0.6386722770179266,0.7859964317785576,3369,0.190857821311962,0.8552941606030974,0.5352935839349791,0.6283915386537564,0.2566973623909927,0.5393268752381332,0.2690146050142817,0.038671560512518945,0.03441587271836152,0.05145106411970459,0.12066310126213091,0.08726340532302856,0.023178596049547195,0.33794446293999225,8.764459602418765e-91,0.3573416150720703,5.025333711219481e-102,0.022451741620898247,0.024707164615392685,0.04796305298805237,0.34708040952682495,0.5934718100890207,0.5237388724035609,0.004451038575667656,133.33333333333331,197,200,275.07768175600086,379.4755859375,6864.2734375
direction_A,totalvi,8,0.8204214900563965,0.6671694380551917,0.6607205038657111,0.8022601110363747,3369,0.17957850994360344,0.8552732295989762,0.5137512526004161,0.6592756933896259,0.2935642565697263,0.5152045746580773,0.25512966186665,0.017359866396048265,0.0178110121477602,0.046369849526354784,0.10418250112774596,0.09531474113464355,0.025485748425126076,0.4565857884508594,3.528352267240058e-173,0.45836088419289306,1.1070176637230405e-174,0.02488379180431366,0.027812883257865906,0.047673970460891724,0.3729196786880493,0.5727002967359051,0.5029673590504451,0.0,inf,200,200,283.837001076,379.4755859375,6864.2734375
direction_A,totalvi,9,0.8147818343722173,0.6548867347804199,0.6440192729368367,0.7961197991123584,3369,0.18521816562778273,0.856551538928588,0.5382285147880517,0.6670038181308673,0.3159157762403704,0.5278667273606609,0.26094745122943286,0.0203846450126571,0.021623810822335998,0.04912667372977896,0.10486056743153653,0.09691667556762695,0.02454005368053913,0.5098919845126333,1.9592253436207645e-222,0.5074937113927359,5.021880172893931e-220,0.023544568568468094,0.027610119432210922,0.05288320779800415,0.3806937038898468,0.5727002967359051,0.5222551928783383,0.004451038575667656,128.66666666666666,200,200,270.4263121599997,379.4755859375,2809.234375
