direction,model,ensemble_size,seed_subset_definition,accuracy,balanced_accuracy,macro_f1,weighted_f1,error_auroc,error_auprc,nll,brier,ece,aurc,median_predictive_entropy,median_expected_entropy,median_ensemble_disagreement,median_variation_ratio
direction_A,scvi_matched,5,"random draw 3: seeds [2, 7, 15, 16, 18]",0.8192341941228851,0.6837227382148015,0.6812105343163265,0.8053146748356863,0.8553901620618263,0.5021856993832071,0.49030032846607186,0.2524104247320967,0.019974106352562877,0.046733676628985386,0.4714422178017065,0.4201776619559866,0.031741760876907,0.0
direction_A,scvi_matched,5,"random draw 4: seeds [5, 6, 8, 9, 18]",0.8088453547046601,0.6749906133003836,0.6709119429731378,0.7967797268970557,0.8533631545957034,0.5388974133755655,0.5107658481791088,0.2631901062619111,0.013894806419446437,0.05100462290285829,0.4843621679602509,0.4197497821012729,0.038075686328361225,0.0
direction_A,scvi_matched,10,"random draw 0: seeds [2, 3, 6, 7, 9, 13, 14, 15, 16, 18]",0.8201246660730187,0.6843246643415152,0.6829634807031121,0.8081435652657167,0.8563120155663775,0.5108392169911834,0.48952909065035555,0.2516397791594349,0.023478466331097365,0.04614630246940991,0.49440017725292573,0.4244410443953113,0.04916045680082404,0.0
direction_A,scvi_matched,10,"random draw 1: seeds [0, 1, 4, 5, 6, 10, 11, 15, 16, 19]",0.8159691303057287,0.6847345521475291,0.6821242122537582,0.8039619544133352,0.853160680130018,0.5274592180337413,0.4979200351787804,0.2581829950100699,0.021793794343943247,0.04841884782426991,0.49384124740970026,0.42707818776021433,0.04796911247207003,0.0
direction_A,scvi_matched,10,"random draw 2: seeds [0, 1, 6, 10, 11, 13, 15, 16, 18, 19]",0.8183437221727515,0.6893530302765666,0.6900902372271499,0.807301807121499,0.8514577273298389,0.5161324768720355,0.49396551878950135,0.25606697398381884,0.02239224677540886,0.04783535241857529,0.49254927982600333,0.4326215047766251,0.04807102490943849,0.0
direction_A,scvi_matched,10,"random draw 3: seeds [0, 3, 5, 6, 7, 8, 10, 11, 14, 19]",0.8189373701395073,0.687091917131026,0.684314658075794,0.8065007810324627,0.8535053684216781,0.5090327984986995,0.4957317735879262,0.2550843869623374,0.02240727103046319,0.04723863576853014,0.48971735068811845,0.42268216227182825,0.048214349123998135,0.0
direction_A,scvi_matched,10,"random draw 4: seeds [2, 3, 4, 7, 8, 10, 12, 14, 15, 16]",0.8165627782724845,0.6848000269794917,0.6842480835439892,0.8061430640235208,0.8600397148903782,0.5237796399471928,0.48908038121367275,0.25274327688876336,0.021174238288683193,0.04663308921884671,0.48286962248330323,0.4226004871670746,0.04681738040479394,0.0
direction_A,scvi_matched,15,"random draw 0: seeds [0, 1, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19]",0.8180468981893737,0.6848838412829646,0.6829594665988519,0.8059598867938912,0.8498438524755124,0.5019960631953453,0.4984421527476263,0.25750533180255225,0.025488863874591042,0.04831301419969539,0.5015278616351331,0.4316220024477335,0.057418987245720254,0.0
direction_A,scvi_matched,15,"random draw 1: seeds [0, 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 18, 19]",0.8174532502226179,0.6857317823154673,0.6850359750151459,0.8063670431877094,0.8555077315479038,0.517207113801613,0.4906617332032863,0.2539245848046589,0.020649514139291707,0.04743231861222217,0.49008009553781023,0.4202029469795147,0.052696324701775654,0.0
direction_A,scvi_matched,15,"random draw 2: seeds [1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 18, 19]",0.8174532502226179,0.686284406824671,0.6840530522163116,0.8060691092093606,0.8578274911289419,0.5162213778186676,0.4929727551685652,0.25391322700116026,0.023547622367741976,0.0468691403445685,0.49237586281824275,0.41735229080477027,0.05444970568598456,0.0
direction_A,scvi_matched,15,"random draw 3: seeds [0, 1, 2, 3, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",0.8165627782724845,0.6844554609311678,0.6822383052212383,0.8046047061020415,0.856637598096132,0.5267976495264244,0.49733861884933434,0.2557583889111558,0.02499728219701258,0.04738417056258385,0.5102196280211467,0.4354228701118548,0.056199130479310244,0.0
direction_A,scvi_matched,15,"random draw 4: seeds [1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 14, 15, 17, 18, 19]",0.8224992579400415,0.6904340983542087,0.6877760256159866,0.8106035764511766,0.8534806868558613,0.5027658917490082,0.4892206310493358,0.25186341725695577,0.02942833944357698,0.04598262844828805,0.4893558258498923,0.42033067938865304,0.05622333760440279,0.0
direction_A,totalvi,1,nested seeds 0-0,0.8165627782724845,0.6370303924874051,0.6357672182574826,0.794159951606735,0.8682297346419484,0.5432153591237139,0.5041646691361998,0.2534732076819175,0.025259316644282204,0.0448705631683499,0.3856639217792838,0.3856639217792838,0.0,0.0
direction_A,totalvi,2,nested seeds 0-1,0.8242802018403087,0.6529701973441786,0.6547291162447543,0.8009773521779803,0.8644840825701468,0.5289341328049036,0.4956814604940013,0.2476339199693958,0.017719862708956226,0.04312879709628841,0.430084821537748,0.4106230668198752,0.008389773135975248,0.0
direction_A,totalvi,3,nested seeds 0-2,0.8266547937073315,0.6586018365244629,0.6604925589932445,0.8049864118210432,0.8636555913528934,0.525322577809191,0.48079958742817946,0.24402610283233994,0.020319879488479367,0.04240410495041572,0.4511133213769628,0.4259091885797222,0.016970527403178504,0.0
direction_A,totalvi,5,nested seeds 0-4,0.8230929059067973,0.6557875640863814,0.65952797299127,0.8022862313473229,0.869897162717189,0.5445722404274488,0.469679497229799,0.24190374819369556,0.021747470209383304,0.04237119098217426,0.4737773954102782,0.4335356728818242,0.02587426440257612,0.0
direction_A,totalvi,10,nested seeds 0-9,0.8311071534579995,0.66948462877629,0.669854277472618,0.8091885433263187,0.8690089128797388,0.5346985537069231,0.46583024413911445,0.2371362924519879,0.021624640462868678,0.03982169204505211,0.477159988475709,0.4378658120977745,0.031697955692204016,0.0
direction_A,totalvi,15,nested seeds 0-14,0.8278420896408429,0.6645854107421093,0.6643169257403421,0.8059268974273953,0.8729837662739086,0.5430692508727242,0.46608263399502753,0.23796257788614725,0.023069142322868254,0.04005886889316482,0.4729096886509209,0.4338461905950069,0.034973201265294296,0.0
direction_A,totalvi,20,nested seeds 0-19,0.8263579697239537,0.661892087347866,0.6599197369749598,0.8037752819511027,0.8766553688967482,0.56048657800761,0.4684997974248112,0.23838961015275706,0.02856835020848702,0.03980706107387107,0.4891366577271086,0.4384211301488027,0.040316737332876995,0.0
direction_A,totalvi,5,"random draw 0: seeds [3, 8, 9, 12, 14]",0.8233897298901751,0.6565219362594961,0.6525187120288302,0.8006252567912774,0.8719059938322843,0.5637068195132529,0.47581505350932496,0.2423807946725467,0.018667299108694205,0.04190341774914932,0.43630994052360883,0.4061209837030681,0.020405234051732113,0.0
direction_A,totalvi,5,"random draw 1: seeds [1, 3, 5, 7, 18]",0.8245770258236865,0.6614253848443329,0.6626822367329847,0.8020751536785943,0.8707216113066285,0.5275760008001661,0.4823497093699627,0.243700277817197,0.021016256779522947,0.04181170415066938,0.4520510840485566,0.41680806620129884,0.022912635322647923,0.0
direction_A,totalvi,5,"random draw 2: seeds [2, 4, 5, 8, 14]",0.8331849213416445,0.6825455274811334,0.684798636958258,0.8139491459648822,0.8567891405193169,0.4954872337376429,0.4663363470022952,0.2399216682221952,0.022437049010223947,0.04150773814120097,0.4658122281638424,0.43420249479134565,0.02568952969717131,0.0
direction_A,totalvi,5,"random draw 3: seeds [2, 7, 15, 16, 18]",0.8245770258236865,0.658729497310232,0.6584440501643364,0.8016982921570627,0.8704225489372018,0.5384678731416305,0.4876921025427398,0.2452554433466397,0.024252491742792714,0.041663728949435395,0.46324443024599593,0.4281785212558636,0.02557840965591307,0.0
direction_A,totalvi,5,"random draw 4: seeds [5, 6, 8, 9, 18]",0.8296230335411101,0.6678833234456819,0.6666790782021261,0.8073156552431797,0.8760697612087289,0.5561526601279774,0.47473176054515154,0.2368834555679292,0.023303161669742556,0.038997386080499845,0.4622800569490245,0.4238016472726275,0.022917282627797214,0.0
direction_A,totalvi,10,"random draw 0: seeds [2, 3, 6, 7, 9, 13, 14, 15, 16, 18]",0.8245770258236865,0.6599440620244929,0.6589617468856876,0.8013680929881855,0.8734765178176609,0.5519957530260291,0.4771631345910475,0.24161112379221525,0.021764454257758283,0.04116051374894773,0.4632008726066952,0.4199216759022174,0.03254741777861647,0.0
direction_A,totalvi,10,"random draw 1: seeds [0, 1, 4, 5, 6, 10, 11, 15, 16, 19]",0.8296230335411101,0.6695068379156036,0.6715463440585734,0.8077373131138633,0.8745295543934228,0.5357893569396021,0.46694879739071316,0.237043565564145,0.02438274337918408,0.03912791583137593,0.4940967652539107,0.4497462962720786,0.03581536960434806,0.0
direction_A,totalvi,10,"random draw 2: seeds [0, 1, 6, 10, 11, 13, 15, 16, 18, 19]",0.8266547937073315,0.6575647072609917,0.6563999270061868,0.8028127832299782,0.8745278030545239,0.5452461197636247,0.4765180019774507,0.24064578057089678,0.02293801529628231,0.040019042257578755,0.47930917341003687,0.42884334289718656,0.03506903327885591,0.0
direction_A,totalvi,10,"random draw 3: seeds [0, 3, 5, 6, 7, 8, 10, 11, 14, 19]",0.8281389136242209,0.6646841039737591,0.6661018615987948,0.8057894793869596,0.87347175020583,0.5425464165029763,0.46780713426477644,0.2380515269950895,0.022344728256914408,0.03975491724982309,0.46637617477892773,0.42344252015092076,0.03109619718620138,0.0
direction_A,totalvi,10,"random draw 4: seeds [2, 3, 4, 7, 8, 10, 12, 14, 15, 16]",0.8263579697239537,0.6663181123559639,0.6666092850448114,0.8045225492121407,0.8699497740446017,0.5353742898344548,0.47106017008399803,0.2408121236498212,0.0221550483016353,0.04117676380109771,0.4651778383738395,0.42426628101909725,0.03297314207583729,0.0
direction_A,totalvi,15,"random draw 0: seeds [0, 1, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19]",0.8266547937073315,0.6633919845548082,0.6620958275689818,0.8048919068765724,0.8759659132829983,0.5477258632382438,0.4688897505654999,0.2386074889722915,0.02588339281300946,0.03980310985236621,0.4907661769160081,0.44755109333412857,0.03968459489923298,0.0
direction_A,totalvi,15,"random draw 1: seeds [0, 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 18, 19]",0.8296230335411101,0.6657909670695653,0.6650125648015315,0.8065959104038902,0.8719353250266466,0.5406769225488656,0.47068243089081363,0.2386772744662151,0.019903333783735756,0.03959127129166024,0.48040585416080517,0.42933532101705973,0.036273574194003344,0.0
direction_A,totalvi,15,"random draw 2: seeds [1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 18, 19]",0.8269516176907095,0.6656810295684817,0.6666872251911207,0.8051542466373008,0.8751746973042129,0.5583939314065242,0.46844117893577997,0.23848176565296877,0.026064928539117193,0.04005817730733634,0.47614993411070233,0.434840748459107,0.03638563242251308,0.0
direction_A,totalvi,15,"random draw 3: seeds [0, 1, 2, 3, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",0.8275452656574651,0.6615129553950383,0.6582370271640411,0.8045424962903384,0.8739576053753855,0.5555201289140201,0.47194918281773424,0.23890034131914623,0.02952888228603325,0.04000364086376101,0.47740668586675,0.4301579340775447,0.037678074858387145,0.0
direction_A,totalvi,15,"random draw 4: seeds [1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 14, 15, 17, 18, 19]",0.8278420896408429,0.6657256300385435,0.6649890215951172,0.8050750414740546,0.8735630123267517,0.5438086054344622,0.4673646558852564,0.2384751891307142,0.02713841082775372,0.04014460446314059,0.48689906549410106,0.4419265549952001,0.03938818921548681,0.0
direction_B,scvi_matched,1,nested seeds 0-0,0.7811871227364185,0.6441514414553172,0.6402484093156036,0.763553363529872,0.8626811370733036,0.6073083790827701,0.5953170548513134,0.2985765812861604,0.019611157956617463,0.05932861206790746,0.47452674724404426,0.47452674724404426,0.0,0.0
direction_B,scvi_matched,2,nested seeds 0-1,0.7709590878604963,0.6180084503605313,0.6143068481424658,0.7412001842125061,0.8804155731341592,0.6662223144791356,0.6375138213114178,0.30832876392218866,0.029297923292294158,0.05888022948062368,0.5248246203630089,0.502336931227771,0.009578840853890963,0.0
direction_B,scvi_matched,3,nested seeds 0-2,0.7796780684104627,0.6228424210060346,0.6181754839414043,0.747699191303767,0.8777532282614031,0.6387004150203408,0.6314327785187808,0.3026864259022616,0.0340858008324349,0.05630130616058674,0.5474729977013252,0.5103663912406524,0.018793266612426196,0.0
direction_B,scvi_matched,5,nested seeds 0-4,0.7758215962441315,0.6164261162890686,0.6121482745891952,0.7433031492373504,0.8800761165924893,0.657995084128619,0.6392578755194862,0.3046610893893406,0.03290538471027769,0.05740438124144359,0.5529280523976838,0.5095074116410185,0.02815621164915895,0.0
direction_B,scvi_matched,10,nested seeds 0-9,0.7724681421864521,0.6134095273439654,0.6087097071786693,0.737075180631774,0.8833781024966173,0.6651436462979311,0.6495442213525956,0.3058922633018039,0.03414411147533957,0.05763606817976091,0.5436295603830702,0.5005471506247925,0.03584974270437691,0.0
direction_B,scvi_matched,15,nested seeds 0-14,0.772635814889336,0.6164868124085169,0.6112596569335681,0.7352171063020908,0.8804039018969192,0.6624878538787317,0.6606508147152729,0.3077147131194166,0.034398999626975124,0.05821955623431372,0.5507131742681651,0.5056718235802664,0.039025718317819424,0.0
direction_B,scvi_matched,20,nested seeds 0-19,0.7699530516431925,0.6142538649907918,0.6068917675162777,0.7310715852017406,0.8801096595930556,0.6631842021536637,0.6701578413509933,0.31109486988073054,0.033754689417093045,0.059381780373774104,0.5609363359769146,0.5106107330368779,0.04000541405505455,0.0
direction_B,scvi_matched,5,"random draw 0: seeds [3, 8, 9, 12, 14]",0.7671026156941649,0.6125222346186213,0.6115396310030713,0.7335186775761894,0.8826923485465424,0.6620394758356858,0.6901267400477235,0.31244327126491106,0.03067421872181037,0.05934012194194003,0.5569141456640617,0.5196817241797135,0.025127563362187577,0.0
direction_B,scvi_matched,5,"random draw 1: seeds [1, 3, 5, 7, 18]",0.7677733065057009,0.6056079463477863,0.5988017978105002,0.7280188249613417,0.8686163406478958,0.6354444559114736,0.691860884581819,0.32094441457550504,0.032317392182426144,0.06304550727307377,0.5158586887434007,0.4861226430642823,0.025303277614468767,0.0
direction_B,scvi_matched,5,"random draw 2: seeds [2, 4, 5, 8, 14]",0.7696177062374245,0.6200464870407105,0.6188039815613947,0.7350761534255268,0.8730421490931809,0.6495471158950558,0.6785591238074875,0.31479902245227426,0.027942311829084007,0.06148149369737711,0.5483414814392005,0.5013739984056778,0.030157890909559504,0.0
direction_B,scvi_matched,5,"random draw 3: seeds [2, 7, 15, 16, 18]",0.7706237424547284,0.6180616030326802,0.6124956617552992,0.7326125456642313,0.8699824472335466,0.6293607155438712,0.6723290432374587,0.31547753148993646,0.028787434401614014,0.061826492575201765,0.5183490405216926,0.48814191206774044,0.02283825028075534,0.0
direction_B,scvi_matched,5,"random draw 4: seeds [5, 6, 8, 9, 18]",0.7692823608316566,0.6099791388858465,0.6029046406413983,0.7319844897114388,0.8786788652399586,0.6596521564638181,0.7060019473367726,0.3141132043232502,0.03809827815308434,0.05980142792290221,0.5387825875546697,0.5000143302995259,0.02914139460291515,0.0
direction_B,scvi_matched,10,"random draw 0: seeds [2, 3, 6, 7, 9, 13, 14, 15, 16, 18]",0.7677733065057009,0.6135559114152672,0.6086629844119087,0.7287147324352768,0.8758699856431378,0.6546745351865122,0.6828316361182529,0.3153911866531298,0.03399368532121805,0.06144997549743881,0.5270082021413249,0.4838445290184051,0.03157080379909519,0.0
direction_B,scvi_matched,10,"random draw 1: seeds [0, 1, 4, 5, 6, 10, 11, 15, 16, 19]",0.7699530516431925,0.6130388145885777,0.6048305272507104,0.7304280434511068,0.8763101121483933,0.6449048667230936,0.6744167684857246,0.3140133694194652,0.034115679262088146,0.06043935837830756,0.563042737431587,0.5129723835314448,0.03803163907647866,0.0
