tag,direction,model,model_seed,subset_seed,src_epochs,query_epochs,runtime,gpu_alloc,gpu_res,rss,integrity_latent,integrity_var,integrity_pass,drift_mean,drift_median,drift_frob,drift_identical,u_latent
direction_A__totalvi__subset0__seed00,direction_A,totalvi,0,0.0,200,200,227.7162109890014,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.016342682763934135,0.016287466511130333,0.003536556614562869,False,0.03144138306379318
direction_A__totalvi__subset0__seed01,direction_A,totalvi,1,0.0,200,200,206.06161715400594,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.01973528042435646,0.01999533362686634,0.004125816747546196,False,0.03372543677687645
direction_A__totalvi__subset0__seed02,direction_A,totalvi,2,0.0,200,200,206.621861394,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.017995091155171394,0.01786414533853531,0.003715773345902562,False,0.034764956682920456
direction_A__totalvi__subset0__seed03,direction_A,totalvi,3,0.0,200,200,205.85804920200098,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.01618674397468567,0.015952881425619125,0.0032928239088505507,False,0.03156758099794388
direction_A__totalvi__subset0__seed04,direction_A,totalvi,4,0.0,200,200,212.29130710799654,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.01841658353805542,0.018102478235960007,0.003954747226089239,False,0.03794887661933899
direction_A__totalvi__subset1__seed00,direction_A,totalvi,0,1.0,200,200,209.4939567959991,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.017328999936580658,0.017294278368353844,0.0035762907937169075,False,0.03892730921506882
direction_A__totalvi__subset1__seed01,direction_A,totalvi,1,1.0,200,200,212.31705361200147,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.017671654000878334,0.017511215060949326,0.003928578924387693,False,0.037821441888809204
direction_A__totalvi__subset1__seed02,direction_A,totalvi,2,1.0,200,200,208.586447701,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.01771119423210621,0.017398212105035782,0.0036488294135779142,False,0.03641795739531517
direction_A__totalvi__subset1__seed03,direction_A,totalvi,3,1.0,200,200,203.8962602089996,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.020543275400996208,0.020171795040369034,0.0042840647511184216,False,0.029868237674236298
direction_A__totalvi__subset1__seed04,direction_A,totalvi,4,1.0,200,200,213.3603667360003,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.015597634948790073,0.015621133148670197,0.003189017763361335,False,0.034353069961071014
direction_A__totalvi__subset2__seed00,direction_A,totalvi,0,2.0,200,200,206.19366980899576,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.019789932295680046,0.0198153518140316,0.004003561567515135,False,0.03593017905950546
direction_A__totalvi__subset2__seed01,direction_A,totalvi,1,2.0,200,200,205.05867744499847,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.01779419183731079,0.017838452011346817,0.003534977789968252,False,0.03124437853693962
direction_A__totalvi__subset2__seed02,direction_A,totalvi,2,2.0,200,200,206.71081795299688,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.016236532479524612,0.016200974583625793,0.0032549616880714893,False,0.03538542613387108
direction_A__totalvi__subset2__seed03,direction_A,totalvi,3,2.0,200,200,205.5015959609991,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.018323486670851707,0.018315088003873825,0.003823581151664257,False,0.034330159425735474
direction_A__totalvi__subset2__seed04,direction_A,totalvi,4,2.0,200,200,205.62537357600377,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.01814989745616913,0.018188409507274628,0.0037372480146586895,False,0.03708034008741379
direction_A__totalvi__subset3__seed00,direction_A,totalvi,0,3.0,200,200,210.03813986499517,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.017614785581827164,0.017572276294231415,0.0037672938778996468,False,0.03569703549146652
direction_A__totalvi__subset3__seed01,direction_A,totalvi,1,3.0,200,200,206.2319119370004,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.01563461497426033,0.015499921515583992,0.0034275781363248825,False,0.03439680486917496
direction_A__totalvi__subset3__seed02,direction_A,totalvi,2,3.0,200,200,205.80428830200253,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.015184015966951847,0.015155980363488197,0.0030650850385427475,False,0.038355521857738495
direction_A__totalvi__subset3__seed03,direction_A,totalvi,3,3.0,200,200,206.09672301500177,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.0187337938696146,0.01879093050956726,0.003728550160303712,False,0.0360744446516037
direction_A__totalvi__subset3__seed04,direction_A,totalvi,4,3.0,200,200,205.356041775005,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.02114769257605076,0.020859096199274063,0.004053021315485239,False,0.038486748933792114
direction_A__totalvi__subset4__seed00,direction_A,totalvi,0,4.0,200,200,207.36501885199687,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.019524281844496727,0.01955558732151985,0.003903335193172097,False,0.03638139367103577
direction_A__totalvi__subset4__seed01,direction_A,totalvi,1,4.0,200,200,208.35683768300078,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.018781689926981926,0.018580708652734756,0.0037302349228411913,False,0.034117914736270905
direction_A__totalvi__subset4__seed02,direction_A,totalvi,2,4.0,200,200,207.7035203660016,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.017593784257769585,0.01748614013195038,0.0036390263121575117,False,0.03378845378756523
direction_A__totalvi__subset4__seed03,direction_A,totalvi,3,4.0,200,200,205.7730590530009,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.016443565487861633,0.016241738572716713,0.0035408136900514364,False,0.03507111221551895
direction_A__totalvi__subset4__seed04,direction_A,totalvi,4,4.0,200,200,206.81422984099845,379.4755859375,400.0,2830.48046875,0.0,0.0,True,0.017053453251719475,0.01687486097216606,0.003519923659041524,False,0.03963828086853027
direction_B__scvi_matched__seed00,direction_B,scvi_matched,0,,200,200,151.1986108730016,309.50439453125,316.0,2810.84765625,0.0,0.0,True,0.0,0.0,0.0,True,0.08372601121664047
direction_B__scvi_matched__seed01,direction_B,scvi_matched,1,,200,200,155.128777386999,309.50439453125,314.0,6296.68359375,0.0,0.0,True,0.0,0.0,0.0,True,0.08998092263936996
direction_B__scvi_matched__seed02,direction_B,scvi_matched,2,,200,175,142.76949549200071,309.50439453125,316.0,6296.68359375,0.0,0.0,True,0.0,0.0,0.0,True,0.11125495284795761
direction_B__scvi_matched__seed03,direction_B,scvi_matched,3,,200,200,159.39132683399998,309.50439453125,316.0,2915.95703125,0.0,0.0,True,0.0,0.0,0.0,True,0.09529309719800949
direction_B__scvi_matched__seed04,direction_B,scvi_matched,4,,200,200,160.385860192,309.50439453125,314.0,2915.95703125,0.0,0.0,True,0.0,0.0,0.0,True,0.07699210941791534
direction_B__scvi_matched__seed05,direction_B,scvi_matched,5,,200,184,151.16667514199798,309.50439453125,316.0,4000.5,0.0,0.0,True,0.0,0.0,0.0,True,0.07450589537620544
direction_B__scvi_matched__seed06,direction_B,scvi_matched,6,,200,200,159.17853235599978,309.50439453125,316.0,4000.5,0.0,0.0,True,0.0,0.0,0.0,True,0.10142926126718521
direction_B__scvi_matched__seed07,direction_B,scvi_matched,7,,200,200,158.50023460800003,309.50439453125,316.0,4000.5,0.0,0.0,True,0.0,0.0,0.0,True,0.08948185294866562
direction_B__scvi_matched__seed08,direction_B,scvi_matched,8,,200,136,130.9404509849992,309.50439453125,316.0,4000.5,0.0,0.0,True,0.0,0.0,0.0,True,0.09913767874240875
direction_B__scvi_matched__seed09,direction_B,scvi_matched,9,,200,200,158.7844420040019,309.50439453125,314.0,4000.5,0.0,0.0,True,0.0,0.0,0.0,True,0.08526482433080673
direction_B__scvi_matched__seed10,direction_B,scvi_matched,10,,200,200,160.45665584299786,309.50439453125,316.0,4000.5,0.0,0.0,True,0.0,0.0,0.0,True,0.09329314529895782
direction_B__scvi_matched__seed11,direction_B,scvi_matched,11,,200,185,151.15556452200144,309.50439453125,316.0,4000.5,0.0,0.0,True,0.0,0.0,0.0,True,0.09202559292316437
direction_B__scvi_matched__seed12,direction_B,scvi_matched,12,,200,200,160.2932577899992,309.50439453125,316.0,4000.5,0.0,0.0,True,0.0,0.0,0.0,True,0.0904596745967865
direction_B__scvi_matched__seed13,direction_B,scvi_matched,13,,200,200,160.71321310300118,309.50439453125,316.0,4000.5,0.0,0.0,True,0.0,0.0,0.0,True,0.08435820788145065
direction_B__scvi_matched__seed14,direction_B,scvi_matched,14,,200,170,148.9316708589995,309.50439453125,316.0,4000.5,0.0,0.0,True,0.0,0.0,0.0,True,0.09818846732378006
direction_B__scvi_matched__seed15,direction_B,scvi_matched,15,,200,200,165.90460309800073,309.50439453125,316.0,4000.5,0.0,0.0,True,0.0,0.0,0.0,True,0.0961403176188469
direction_B__scvi_matched__seed16,direction_B,scvi_matched,16,,200,200,192.23706977799702,309.50439453125,316.0,4000.5,0.0,0.0,True,0.0,0.0,0.0,True,0.07562381029129028
direction_B__scvi_matched__seed17,direction_B,scvi_matched,17,,200,200,188.1853631269987,309.50439453125,316.0,4000.5,0.0,0.0,True,0.0,0.0,0.0,True,0.08962936699390411
direction_B__scvi_matched__seed18,direction_B,scvi_matched,18,,200,200,195.95082733100026,309.50439453125,316.0,4000.5,0.0,0.0,True,0.0,0.0,0.0,True,0.11347676813602448
direction_B__scvi_matched__seed19,direction_B,scvi_matched,19,,200,200,206.13657313599833,309.50439453125,314.0,4000.5,0.0,0.0,True,0.0,0.0,0.0,True,0.08351513743400574
direction_B__totalvi__seed00,direction_B,totalvi,0,,200,200,269.6597618989981,379.4755859375,396.0,2895.54296875,0.0,0.0,True,0.015301241539418697,0.01526612974703312,0.003122748574241996,False,0.04295450821518898
direction_B__totalvi__seed01,direction_B,totalvi,1,,200,200,275.980953493,379.4755859375,396.0,3188.75390625,0.0,0.0,True,0.019960341975092888,0.019504990428686142,0.004046075511723757,False,0.04616830125451088
direction_B__totalvi__seed02,direction_B,totalvi,2,,200,200,270.44731776899994,379.4755859375,396.0,3438.2421875,0.0,0.0,True,0.014999240636825562,0.014637867920100689,0.00299364747479558,False,0.04782288521528244
direction_B__totalvi__seed03,direction_B,totalvi,3,,200,200,276.78250906000017,379.4755859375,396.0,3753.5859375,0.0,0.0,True,0.01667308434844017,0.016544848680496216,0.0034234016202390194,False,0.04708581417798996
direction_B__totalvi__seed04,direction_B,totalvi,4,,200,200,278.91678452099995,379.4755859375,396.0,4058.91015625,0.0,0.0,True,0.015372914262115955,0.015372123569250107,0.003161086468026042,False,0.049402691423892975
direction_B__totalvi__seed05,direction_B,totalvi,5,,200,200,355.0026050410015,379.4755859375,396.0,4000.5,0.0,0.0,True,0.017354005947709084,0.017174132168293,0.0034566903486847878,False,0.04695451632142067
direction_B__totalvi__seed06,direction_B,totalvi,6,,200,200,376.33737712999937,379.4755859375,396.0,4000.5,0.0,0.0,True,0.01672905869781971,0.016746018081903458,0.0033333247993141413,False,0.044299472123384476
direction_B__totalvi__seed07,direction_B,totalvi,7,,200,200,343.34444416899896,379.4755859375,396.0,4000.5,0.0,0.0,True,0.01687455363571644,0.016785558313131332,0.003185766050592065,False,0.049953643232584
direction_B__totalvi__seed08,direction_B,totalvi,8,,200,200,308.79949808200035,379.4755859375,396.0,4000.5,0.0,0.0,True,0.013845705427229404,0.013740125112235546,0.002766374498605728,False,0.050369083881378174
direction_B__totalvi__seed09,direction_B,totalvi,9,,200,200,285.6016621439994,379.4755859375,396.0,4000.5,0.0,0.0,True,0.015341023914515972,0.015301616862416267,0.0030563464388251305,False,0.04294191300868988
direction_B__totalvi__seed10,direction_B,totalvi,10,,200,200,275.9483924069991,379.4755859375,396.0,4000.5,0.0,0.0,True,0.01641230285167694,0.016330910846590996,0.0032195241656154394,False,0.04316902905702591
direction_B__totalvi__seed11,direction_B,totalvi,11,,200,200,276.65589667600034,379.4755859375,396.0,4000.5,0.0,0.0,True,0.017673766240477562,0.017543623223900795,0.0036196261644363403,False,0.04917808249592781
direction_B__totalvi__seed12,direction_B,totalvi,12,,200,200,278.1022705790001,379.4755859375,396.0,4000.5,0.0,0.0,True,0.01836412027478218,0.018113747239112854,0.003755460726097226,False,0.05201420933008194
direction_B__totalvi__seed13,direction_B,totalvi,13,,200,200,277.7490267910016,379.4755859375,396.0,4000.5,0.0,0.0,True,0.017362365499138832,0.01704386994242668,0.0036504939198493958,False,0.043405018746852875
direction_B__totalvi__seed14,direction_B,totalvi,14,,200,200,284.06743858200025,379.4755859375,396.0,4000.5,0.0,0.0,True,0.01689440943300724,0.01677081361413002,0.0033742066007107496,False,0.04598331078886986
direction_B__totalvi__seed15,direction_B,totalvi,15,,200,200,278.66864879100103,379.4755859375,396.0,4000.5,0.0,0.0,True,0.016123756766319275,0.016119427978992462,0.0031827285420149565,False,0.046095456928014755
direction_B__totalvi__seed16,direction_B,totalvi,16,,200,200,281.1584856620011,379.4755859375,396.0,4000.5,0.0,0.0,True,0.015531046316027641,0.015297254547476768,0.003187456401064992,False,0.04381396993994713
direction_B__totalvi__seed17,direction_B,totalvi,17,,200,200,279.6646878699976,379.4755859375,396.0,4000.5,0.0,0.0,True,0.01495913602411747,0.014804469421505928,0.003131468314677477,False,0.044337693601846695
direction_B__totalvi__seed18,direction_B,totalvi,18,,200,200,280.20304097900043,379.4755859375,396.0,4000.5,0.0,0.0,True,0.015615971758961678,0.015378509648144245,0.003376028500497341,False,0.04717015475034714
direction_B__totalvi__seed19,direction_B,totalvi,19,,200,200,277.4370307959998,379.4755859375,396.0,4000.5,0.0,0.0,True,0.020232271403074265,0.020005516707897186,0.003968296572566032,False,0.0471307747066021
