direction,seed,metric,delta_mean_bootstrap,cell_bootstrap_ci_low,cell_bootstrap_ci_high,excludes_zero
direction_A,6,error_auroc_predictive,0.008936285100131105,-0.006373550134929928,0.02524800047592238,False
direction_A,6,error_auprc_predictive,-0.030665615200652453,-0.08319991622894397,0.020956118520748565,False
direction_A,6,ece_equal_frequency,-0.01387151812246519,-0.025947316226229606,-0.0001490602272533146,True
direction_A,6,brier,-0.04109561401453945,-0.05190448521806897,-0.030803412352780807,True
direction_A,6,aurc,-0.013571241586907845,-0.01789604243309536,-0.009328249682886735,True
direction_A,7,error_auroc_predictive,0.01192232353357437,-0.0030162277298787865,0.02772250395523635,False
direction_A,7,error_auprc_predictive,0.021661869607466907,-0.02759967158081324,0.0748525453160374,False
direction_A,7,ece_equal_frequency,0.003915285487766256,-0.007629011127557052,0.016525419311402757,False
direction_A,7,brier,-0.02374930560482849,-0.035151334163806225,-0.01193443006150556,True
direction_A,7,aurc,-0.007884462628739666,-0.012868529164739038,-0.0032450057477348003,True
direction_A,8,error_auroc_predictive,0.021443582220172487,0.006774227855795451,0.03756679394952198,True
direction_A,8,error_auprc_predictive,0.007313473364284494,-0.044758256774385066,0.06162388770578679,False
direction_A,8,ece_equal_frequency,-0.018277193170329446,-0.03069980647531028,-0.005912541926048668,True
direction_A,8,brier,-0.042737224691720865,-0.05463699467379929,-0.030010955693605526,True
direction_A,8,aurc,-0.016702778298272946,-0.021161619582078777,-0.012090089225563153,True
direction_A,9,error_auroc_predictive,0.004162298639777148,-0.011059250446801243,0.018919850057900815,False
direction_A,9,error_auprc_predictive,-0.040300631909295205,-0.09393630670360527,0.008716681566708701,False
direction_A,9,ece_equal_frequency,-0.0121882584102255,-0.023438040155482856,-0.0008201377299904965,True
direction_A,9,brier,-0.054545055929286775,-0.06587186483081076,-0.042726010160284565,True
direction_A,9,aurc,-0.01831610784817473,-0.022697908446498258,-0.01333969666599055,True
direction_A,10,error_auroc_predictive,-0.012267070722485918,-0.028223531106408316,0.0029084366612681916,False
direction_A,10,error_auprc_predictive,-0.06432922630174795,-0.1185952836670184,-0.016098666400395603,True
direction_A,10,ece_equal_frequency,-0.012176054217671031,-0.024775594609777667,0.0006892141572850221,False
direction_A,10,brier,-0.027187364416932782,-0.03832695475390844,-0.015066466038808254,True
direction_A,10,aurc,-0.008941581477796542,-0.013526039184560126,-0.004030524896249939,True
direction_A,11,error_auroc_predictive,-0.004394530842227035,-0.021669443099623,0.011290907971169425,False
direction_A,11,error_auprc_predictive,-0.05777704860052107,-0.11463912570914186,-0.006642683730360495,True
direction_A,11,ece_equal_frequency,-0.0035228176865672515,-0.016794510737158805,0.008415684474725588,False
direction_A,11,brier,-0.02763909820987391,-0.039672419618257626,-0.016261699368537615,True
direction_A,11,aurc,-0.01014345385250689,-0.014278486905052732,-0.005848464613302478,True
direction_A,12,error_auroc_predictive,0.023326954665587308,0.007659436939601006,0.03898661095725205,True
direction_A,12,error_auprc_predictive,0.02002733596193548,-0.03542795861397223,0.06923572390090275,False
direction_A,12,ece_equal_frequency,-0.009174494973034701,-0.022201145083291598,0.00503837323110936,False
direction_A,12,brier,-0.0360652086505026,-0.04785623046954252,-0.02387700589377019,True
direction_A,12,aurc,-0.014822945889219202,-0.01921356651683238,-0.010380233057034111,True
direction_A,13,error_auroc_predictive,0.02274952052795464,0.00819451004001236,0.0364623844579083,True
direction_A,13,error_auprc_predictive,0.04138043100563839,-0.009627694670564096,0.09616055753465312,False
direction_A,13,ece_equal_frequency,-0.005394018837024918,-0.017409711660754786,0.005620001370026999,False
direction_A,13,brier,-0.014878962830210571,-0.025636104313877753,-0.0048694377529548884,True
direction_A,13,aurc,-0.008520478425712071,-0.01260893576059056,-0.0049166569223536285,True
direction_A,14,error_auroc_predictive,-0.00950846505769962,-0.025587718354878497,0.0059004247934006365,False
direction_A,14,error_auprc_predictive,-0.04412200689007645,-0.10237201651467671,0.006926022512623543,False
direction_A,14,ece_equal_frequency,0.0022443206724001696,-0.008246371849296575,0.0129259801640306,False
direction_A,14,brier,-0.009125564768799152,-0.019934554038748643,0.001956976861949149,False
direction_A,14,aurc,-0.002952209878079737,-0.0070287435536502685,0.0011302380206308156,False
direction_A,15,error_auroc_predictive,0.014154335061832711,-0.001220357116985296,0.031420936746247755,False
direction_A,15,error_auprc_predictive,-0.029322976536959183,-0.07945278862913059,0.02479282848774099,False
direction_A,15,ece_equal_frequency,-0.020788220172308428,-0.03449840031411639,-0.007520708129358398,True
direction_A,15,brier,-0.034251613623817054,-0.04560833542436759,-0.022650819155525904,True
