direction,seed,metric,scvi,totalvi,delta
direction_A,15,error_auroc_predictive,0.8280427726934735,0.8420569477166179,0.014014175023144393
direction_A,16,error_auroc_predictive,0.8432539087367057,0.85256292123762,0.009309012500914315
direction_A,17,error_auroc_predictive,0.8387316684026033,0.8458779377384029,0.007146269335799649
direction_A,18,error_auroc_predictive,0.8470554119459761,0.8715124824640604,0.024457070518084323
direction_A,19,error_auroc_predictive,0.8462868506241094,0.8509857734343272,0.004698922810217887
direction_A,0,error_auprc_predictive,0.5023948713811304,0.5432153591237139,0.04082048774258351
direction_A,1,error_auprc_predictive,0.5626028963524782,0.5037417621881393,-0.05886113416433891
direction_A,2,error_auprc_predictive,0.5046998635165394,0.4601543834697212,-0.04454548004681819
direction_A,3,error_auprc_predictive,0.5430805251257415,0.5037010220809534,-0.0393795030447881
direction_A,4,error_auprc_predictive,0.5145344340172806,0.5207210392799191,0.006186605262638478
direction_A,5,error_auprc_predictive,0.4913006997513465,0.4961937925008426,0.00489309274949612
direction_A,6,error_auprc_predictive,0.5372102174623825,0.5050269824989566,-0.0321832349634259
direction_A,7,error_auprc_predictive,0.5128192615115899,0.5352935839349791,0.022474322423389204
direction_A,8,error_auprc_predictive,0.5068707834398766,0.5137512526004161,0.006880469160539526
direction_A,9,error_auprc_predictive,0.5766645534950292,0.5382285147880517,-0.03843603870697754
direction_A,10,error_auprc_predictive,0.5514682578474761,0.487518068408252,-0.06395018943922409
direction_A,11,error_auprc_predictive,0.5634154325918741,0.5039786127177623,-0.05943681987411176
direction_A,12,error_auprc_predictive,0.5036552246450706,0.5256166001441305,0.021961375499059854
direction_A,13,error_auprc_predictive,0.4944547186330587,0.5361525229514797,0.04169780431842107
direction_A,14,error_auprc_predictive,0.5464965245557947,0.503244936276361,-0.04325158827943365
direction_A,15,error_auprc_predictive,0.5038449501652356,0.4734737638843121,-0.030371186280923446
direction_A,16,error_auprc_predictive,0.5051950455534511,0.5221480733470829,0.016953027793631836
direction_A,17,error_auprc_predictive,0.5340137642612166,0.509420592574984,-0.02459317168623265
direction_A,18,error_auprc_predictive,0.5025030306235363,0.5971601774674367,0.09465714684390036
direction_A,19,error_auprc_predictive,0.4969622406153216,0.5296570256669084,0.032694785051586794
direction_A,0,nll,0.5863164383107541,0.5041646691361998,-0.08215176917455425
direction_A,1,nll,0.6078556249264048,0.5411761448951453,-0.06667948003125945
direction_A,2,nll,0.5172156126144816,0.5116877982306869,-0.0055278143837946825
direction_A,3,nll,0.5419618850153664,0.5155639366763086,-0.02639794833905773
direction_A,4,nll,0.5466664845549457,0.5118551798808233,-0.03481130467412241
direction_A,5,nll,0.58889254373067,0.5027315821173454,-0.08616096161332465
direction_A,6,nll,0.5754946244669076,0.4949011326270481,-0.08059349183985948
direction_A,7,nll,0.5980946480782084,0.5393268752381332,-0.05876777284007528
direction_A,8,nll,0.6015005446261675,0.5152045746580773,-0.08629596996809019
direction_A,9,nll,0.6303573098011771,0.5278667273606609,-0.10249058244051623
direction_A,10,nll,0.5697165117709379,0.5434642506431864,-0.026252261127751475
direction_A,11,nll,0.5579381314582237,0.5064020338790735,-0.05153609757915023
direction_A,12,nll,0.5691901729327362,0.511896242157056,-0.057293930775680235
direction_A,13,nll,0.5609426587852149,0.5457378871664478,-0.015204771618767099
direction_A,14,nll,0.5384233820927582,0.5292884342266112,-0.009134947866146992
direction_A,15,nll,0.5748857827493724,0.5378382815548408,-0.037047501194531596
direction_A,16,nll,0.5550432421209001,0.5395606923839842,-0.015482549736915874
direction_A,17,nll,0.5914240332390297,0.5448713545246581,-0.04655267871437163
direction_A,18,nll,0.5039317176714868,0.5451436205789727,0.04121190290748589
direction_A,19,nll,0.524130167544524,0.526855817973521,0.002725650428996973
direction_A,0,brier,0.2978095018790521,0.2534732076819175,-0.044336294197134585
direction_A,1,brier,0.305906652636693,0.2667119124867892,-0.03919474014990376
direction_A,2,brier,0.2631508163148807,0.2626760581722953,-0.0004747581425854075
direction_A,3,brier,0.2707517089844077,0.2622222902619607,-0.008529418722447002
direction_A,4,brier,0.2842233486675317,0.2689642158672788,-0.015259132800252873
direction_A,5,brier,0.2997256339979692,0.2481445378953516,-0.0515810961026176
direction_A,6,brier,0.2897817069672161,0.2482327817899294,-0.0415489251772867
direction_A,7,brier,0.2930141218874988,0.2690146050142817,-0.023999516873217108
direction_A,8,brier,0.2982082841425992,0.25512966186665,-0.04307862227594922
direction_A,9,brier,0.3152278254530335,0.2609474512294328,-0.054280374223600714
direction_A,10,brier,0.2933114288474608,0.2659815871152672,-0.027329841732193605
direction_A,11,brier,0.2874914849702951,0.259273728943618,-0.028217756026677088
direction_A,12,brier,0.2947959115704748,0.2585092471500062,-0.03628666442046857
direction_A,13,brier,0.2927748372685354,0.2775523708488457,-0.015222466419689717
direction_A,14,brier,0.2762707685845134,0.2672346786523198,-0.00903608993219357
direction_A,15,brier,0.297975403910434,0.2634164396509195,-0.03455896425951449
direction_A,16,brier,0.2795197674908342,0.2652214919111995,-0.0142982755796347
direction_A,17,brier,0.2924075212270566,0.2772283723548657,-0.015179148872190906
direction_A,18,brier,0.2617898611593368,0.2696556313001746,0.007865770140837836
direction_A,19,brier,0.2621496424322848,0.2763309638849517,0.014181321452666928
direction_A,0,ece_equal_frequency,0.0354159845729792,0.0252593138710473,-0.010156670701931905
direction_A,1,ece_equal_frequency,0.0336595280087641,0.0251368261756512,-0.008522701833112902
direction_A,2,ece_equal_frequency,0.0197295433833076,0.0210017947157754,0.0012722513324678018
direction_A,3,ece_equal_frequency,0.0120230338965512,0.0237938144964929,0.011770780599941699
direction_A,4,ece_equal_frequency,0.0346130012899734,0.014688808553896,-0.019924192736077397
direction_A,5,ece_equal_frequency,0.0440611367977206,0.015365463719944,-0.0286956730777766
direction_A,6,ece_equal_frequency,0.0336765494340249,0.0205349531008108,-0.0131415963332141
direction_A,7,ece_equal_frequency,0.032997449247941,0.0386715605125189,0.005674111264577904
direction_A,8,ece_equal_frequency,0.0358723680762163,0.0173598663960482,-0.0185125016801681
direction_A,9,ece_equal_frequency,0.0336458731136395,0.0203846450126571,-0.0132612281009824
direction_A,10,ece_equal_frequency,0.0341133747761806,0.016836489952435,-0.017276884823745602
