model,source_subset_seed,model_seed,accuracy,balanced_accuracy,macro_f1,weighted_f1,error_auroc,error_auprc,error_prevalence,nll,brier,ece,aurc,n_source_eval,n_target_eval
totalvi,1,4,0.7987897125567323,0.621828015362442,0.6213127925577884,0.7802178025653441,0.8194412166780588,0.49111091295091797,0.20121028744326777,0.6091023328496119,0.29166726057212194,0.02598762235374566,0.06401392509870509,3470,3305
scvi_matched,2,0,0.7767019667170953,0.6112418407551563,0.6080094158169087,0.7665996858041659,0.8426035896510115,0.5528429025834418,0.22329803328290468,0.6039980620751507,0.30743907917888125,0.04311459114079035,0.06642224423952042,3497,3305
scvi_matched,2,1,0.7585476550680786,0.6295370247241687,0.5950556500308146,0.7551867329156723,0.8432399307003048,0.5680543557308407,0.24145234493192133,0.6491467121452971,0.32816146833446,0.03825995066342664,0.07368167159102805,3497,3305
scvi_matched,2,2,0.7691376701966717,0.6108289315210718,0.6057444498441515,0.7601101671686198,0.8266547944725209,0.537962902984916,0.2308623298033283,0.6376294418033204,0.3206509272390341,0.0319578627955715,0.07433944743257322,3497,3305
scvi_matched,2,3,0.7304084720121029,0.5980125787162829,0.5815252185630706,0.7245220064118949,0.8336634317026475,0.5801494129762235,0.26959152798789715,0.7163673416606086,0.36308817120652737,0.05440902341151562,0.08853800467734765,3497,3305
scvi_matched,2,4,0.75642965204236,0.5988385636022395,0.5808225752561109,0.7502240488023146,0.8429873291925465,0.58226995382905,0.24357034795763993,0.6627117899063257,0.33182678324913634,0.05277749052026088,0.07475786603213219,3497,3305
totalvi,2,0,0.8090771558245083,0.6402813989078899,0.6206033474516222,0.787140982400739,0.8404990475874389,0.5063507885367706,0.19092284417549168,0.5607033699755822,0.2770895488912259,0.023800424800878572,0.05416311443638197,3497,3305
totalvi,2,1,0.7990922844175492,0.6295253372256934,0.6222958620336945,0.7796233238606034,0.8551730587628819,0.5358625394179337,0.20090771558245082,0.5778833624878873,0.28075483423969255,0.017910452283997756,0.053849324256835474,3497,3305
totalvi,2,2,0.783661119515885,0.61168413471205,0.6012110816535092,0.7680832713134806,0.8355055755055755,0.5318097401230524,0.21633888048411498,0.5889080163195478,0.30110493624273077,0.021322148803863863,0.06534421720656919,3497,3305
totalvi,2,3,0.8009077155824509,0.6256060278409823,0.612093194792455,0.7831176415210159,0.8406646625244154,0.5148124843916602,0.19909228441754917,0.551252815148317,0.2789572992766951,0.014680258183544233,0.056945344478636944,3497,3305
totalvi,2,4,0.7954614220877458,0.6217024954405169,0.6056188243371498,0.7755922334808683,0.8409304728100996,0.5124413335368905,0.20453857791225416,0.5635026055405101,0.28673006797691686,0.02479160757180241,0.05897379758959193,3497,3305
scvi_matched,3,0,0.7615733736762481,0.5990677232558677,0.5917143810615626,0.7541064032637615,0.84139879277764,0.5860161559657246,0.2384266263237519,0.6306054313180937,0.32143365254636175,0.02316026799437138,0.07298814529080967,3500,3305
scvi_matched,3,1,0.789712556732224,0.6342746146682167,0.6205478053065991,0.7821280776275459,0.8460056782160479,0.5443663975110027,0.2102874432677761,0.5732345176208875,0.288844143863656,0.01966305823261186,0.060465292222632194,3500,3305
scvi_matched,3,2,0.7833585476550681,0.6114371344797294,0.5911771958449242,0.772045861810508,0.8161800246422877,0.49213268414786643,0.21664145234493193,0.6235526404742971,0.3127367677076272,0.03775605467372149,0.07147379247461987,3500,3305
scvi_matched,3,3,0.7588502269288956,0.6313928280113023,0.6067097615085307,0.7579620789524734,0.836647696005155,0.5672109157416892,0.24114977307110438,0.6575082024918206,0.32917315706896416,0.02983382272107157,0.07537495007842776,3500,3305
scvi_matched,3,4,0.7715582450832073,0.6207663875107242,0.5942456026863538,0.7643370070905804,0.8240602519153357,0.519733030422687,0.22844175491679275,0.6259514939678824,0.31661356176341193,0.039367802511004565,0.073861422247223,3500,3305
totalvi,3,0,0.8139183055975794,0.6670184972082741,0.6400618436090728,0.7979614454710793,0.8380034454619639,0.5084675283928496,0.18608169440242056,0.5552708371809564,0.269181375380059,0.01603664871243235,0.05352398111872175,3500,3305
totalvi,3,1,0.794251134644478,0.5977260626593421,0.5891825898622872,0.7710112619446597,0.8409649859943977,0.519453967322536,0.20574886535552195,0.5841847429347509,0.28753330973908886,0.03528347045138095,0.06080698780379014,3500,3305
totalvi,3,2,0.8006051437216339,0.6379902248445015,0.616265422728915,0.7759683628461371,0.84953209069836,0.5363483728128762,0.19939485627836612,0.5788283447843225,0.2832419986843025,0.027524137632208408,0.05468252085652548,3500,3305
totalvi,3,3,0.8081694402420575,0.6346927754771887,0.6285790744648574,0.785003405854367,0.8365302282844007,0.5042098945229021,0.1918305597579425,0.5656993876195927,0.2767259211558999,0.019391451120015894,0.055925811151297224,3500,3305
totalvi,3,4,0.8181543116490166,0.6462320159130511,0.632816024268,0.7978955707241115,0.8378073034095048,0.5075266122008854,0.18184568835098336,0.5664187626306318,0.2689592795380072,0.020774500957956472,0.05164555371980921,3500,3305
scvi_matched,4,0,0.7582450832072617,0.6046521260798807,0.5776880862805374,0.7490098371045728,0.8483232232629174,0.5795506740123127,0.24175491679273828,0.6368151812905453,0.32567881633821333,0.04001773267578609,0.07187386147690288,3484,3305
scvi_matched,4,1,0.7869894099848714,0.6439629418933912,0.6283390768347742,0.7795800504844471,0.8417053318653663,0.5442851019439493,0.2130105900151286,0.5797849362775072,0.2950865884825001,0.03376539968145777,0.06208780260349786,3484,3305
scvi_matched,4,2,0.7609682299546142,0.6121652791732141,0.5922782200807625,0.7562346769040176,0.8440929108890957,0.5689950017531197,0.23903177004538578,0.634101272534483,0.3232078826682659,0.031162311332849798,0.07229450056543327,3484,3305
scvi_matched,4,3,0.7446293494704992,0.6118556915168452,0.5932720100006614,0.7357257399544862,0.8418070718372488,0.574711865977401,0.25537065052950075,0.6925023613280172,0.3448627149674882,0.048230077720806556,0.07950225446360865,3484,3305
scvi_matched,4,4,0.7700453857791225,0.6312469401384708,0.6027551101383813,0.7670545550668985,0.8275535104952952,0.5090528038084877,0.22995461422087746,0.6351059721422828,0.3199142620145745,0.033787572365845925,0.07265349232037728,3484,3305
totalvi,4,0,0.7915279878971255,0.6047701699211714,0.5954961687678951,0.76903766077445,0.8454492394686266,0.539199363255521,0.20847201210287444,0.5870555935120555,0.2920302569750628,0.020195297177728836,0.05981040667857353,3484,3305
totalvi,4,1,0.7930408472012103,0.6170665927579159,0.5980825259924764,0.7784597946920845,0.8380026595804022,0.5146328848920909,0.2069591527987897,0.5951395054793976,0.29484865141452116,0.022198521856460915,0.060581477349476595,3484,3305
totalvi,4,2,0.7954614220877458,0.6058556077892069,0.5991365714487036,0.7692802618614629,0.8489239276976643,0.5442156848051648,0.20453857791225416,0.5857345998299021,0.28655765187158583,0.03627829626540733,0.05766256657416765,3484,3305
totalvi,4,3,0.8030257186081694,0.6334076453980002,0.6204259137659495,0.7816902769047901,0.8555019985484046,0.5343074195276389,0.19697428139183057,0.5567240659563726,0.27555433849158023,0.029922938752643295,0.052411553342069296,3484,3305
totalvi,4,4,0.7909228441754916,0.6052268958671545,0.5860502996397682,0.7620008295734388,0.8228912114108934,0.5142824511682852,0.2090771558245083,0.6261165822357628,0.30784246857969255,0.05535509331143388,0.06609382072255619,3484,3305
