fold,donor,model,seed,n_cells,n_present_classes,present_classes,present_class_macro_f1,fixed_ontology_macro_f1,accuracy,balanced_accuracy,predictive_error_auroc,predictive_error_auprc,latent_error_auroc,latent_error_auprc,nll,brier,ece_equal_frequency,ece_equal_width,full_aurc,paurc_0.5_1.0,e_aurc,risk_100,risk_90,risk_80,risk_70,risk_60,risk_50,error_prevalence
1,Donor03,totalvi,7,505,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.9020782911159362,0.9020782911159362,0.8871287128712871,0.8949081659876714,0.8675595238095237,0.5036885542230012,0.6576206140350876,0.20526600591705413,0.3218274712562561,0.1706729680299759,0.03406660899077312,0.03757790946724392,0.02374674636356406,0.04688189110711036,0.017010928880150725,0.11287128712871286,0.07048458149779735,0.054455445544554504,0.03389830508474578,0.01650165016501648,0.003968253968253954,0.11287128712871287
1,Donor04,totalvi,7,522,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.8761754619117527,0.8761754619117527,0.8505747126436781,0.8677041378165312,0.850918225918226,0.49230198135312403,0.6653095403095404,0.21702980676014938,0.37458133697509766,0.20792937278747559,0.03299081565319807,0.03086435035499118,0.03840726254908961,0.06971569200457194,0.026498531813761217,0.14942528735632188,0.10851063829787233,0.0717703349282297,0.043835616438356206,0.03514376996805113,0.03065134099616862,0.14942528735632185
1,Donor03,totalvi,8,505,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.895985868637647,0.895985868637647,0.8811881188118812,0.8853628020870606,0.866441947565543,0.46494549013815256,0.6555805243445693,0.21381441427618098,0.3539605438709259,0.18055276572704315,0.04063113550148389,0.039442024136533825,0.026202531541112732,0.05001156331396546,0.018729425359456417,0.1188118811881188,0.07488986784140972,0.044554455445544594,0.03389830508474578,0.02640264026402639,0.023809523809523836,0.1188118811881188
1,Donor04,totalvi,8,522,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.8915807212395414,0.8915807212395414,0.867816091954023,0.8811382935193552,0.8475221550372717,0.409965184830239,0.6543174328950314,0.22526797737361376,0.3735559582710266,0.19626815617084503,0.038154003378075195,0.03736847924546722,0.03342767281328401,0.05989667427546376,0.024152266551804708,0.13218390804597702,0.09999999999999998,0.05980861244019142,0.0383561643835616,0.025559105431309903,0.019157088122605415,0.13218390804597702
1,Donor03,totalvi,9,505,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.8923806887283898,0.8923806887283898,0.8732673267326733,0.887654418950131,0.8774092970521542,0.483278639345249,0.6198979591836735,0.17680284867188295,0.33104613423347473,0.182006374001503,0.0367019545913923,0.052898905831988516,0.02607552483039813,0.05092176278601165,0.01755702139011238,0.12673267326732673,0.08370044052863435,0.054455445544554504,0.03389830508474578,0.01650165016501648,0.007936507936507908,0.12673267326732673
1,Donor04,totalvi,9,522,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.8879250578553757,0.8879250578553757,0.8735632183908046,0.8779057885307916,0.8412081339712918,0.42451735575669575,0.6568979266347688,0.20858987683847893,0.35411936044692993,0.1924462765455246,0.04296482368675684,0.04047808336572173,0.03233913104174385,0.05980011191515322,0.023865038773334433,0.12643678160919536,0.09361702127659577,0.05980861244019142,0.046575342465753455,0.03514376996805113,0.019157088122605415,0.12643678160919541
2,Donor05,scvi_matched,0,577,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7648785410103857,0.7648785410103857,0.7400346620450606,0.7912709702183386,0.7712256049960968,0.47105596992717846,0.679984387197502,0.39628194344301265,0.6037077307701111,0.3505028188228607,0.05730325097227841,0.03380833925159593,0.10422384714980687,0.18732294153125967,0.06682693165876638,0.25996533795493937,0.23506743737957614,0.20995670995671,0.1633663366336634,0.1502890173410405,0.07986111111111116,0.25996533795493937
2,Donor06,scvi_matched,0,581,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7746055618413379,0.7746055618413379,0.7280550774526678,0.7677478436459791,0.7721668611784421,0.48726480946238554,0.6312206362031302,0.35506656923050517,0.6103200316429138,0.35771939158439636,0.032962136650249586,0.024243310376001515,0.11171091560578326,0.19302700362147185,0.07060120567527672,0.27194492254733216,0.24282982791586993,0.21075268817204296,0.1744471744471745,0.1404011461318052,0.10344827586206895,0.2719449225473322
2,Donor05,scvi_matched,1,577,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7911261344901899,0.7911261344901899,0.7469670710571924,0.7948136106030843,0.8153227600673808,0.5186548301337297,0.6513205987985888,0.34137012869977873,0.5852015614509583,0.3313286602497101,0.036368887903785375,0.024792563977233274,0.08634392286532122,0.16222668761234665,0.05100769935349156,0.2530329289428076,0.21579961464354525,0.17965367965367962,0.150990099009901,0.10693641618497107,0.06597222222222221,0.2530329289428076
2,Donor06,scvi_matched,1,581,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7628043549904664,0.7628043549904664,0.7263339070567987,0.7549443758582939,0.8103818295627292,0.5340230744894227,0.6332230468866435,0.36105921650311157,0.5980883240699768,0.3441332280635834,0.03525419099811022,0.04135888142963284,0.09905020215606725,0.17957592792425026,0.05739071354231556,0.2736660929432013,0.23518164435946465,0.19784946236559142,0.16216216216216217,0.1289398280802292,0.07241379310344831,0.2736660929432014
2,Donor05,scvi_matched,2,577,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7860723640003172,0.7860723640003172,0.7348353552859619,0.7858898372056267,0.8223270440251572,0.5628955286032513,0.45685349611542725,0.23939166505169868,0.5723546147346497,0.3316153883934021,0.03744501794851424,0.03213464428688458,0.09082384825478303,0.16740015549346543,0.051838829313354956,0.2651646447140381,0.22736030828516374,0.18614718614718617,0.14603960396039606,0.11560693641618502,0.06597222222222221,0.2651646447140381
2,Donor06,scvi_matched,2,581,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7984626085082723,0.7984626085082723,0.7624784853700516,0.7841305517217579,0.7509405568096313,0.4235182247549123,0.4972355808551706,0.2321577595725568,0.5988954901695251,0.3403821885585785,0.03499195625983088,0.02814997760851494,0.09934151914076111,0.17482672897587195,0.06838540063204403,0.23752151462994842,0.21223709369024857,0.1913978494623656,0.1646191646191646,0.13467048710601714,0.10689655172413792,0.23752151462994836
2,Donor05,scvi_matched,3,577,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7893986784795896,0.7893986784795896,0.7590987868284229,0.8069373885163358,0.7974935120396833,0.5225713894942728,0.6313688775007391,0.3064632880643917,0.5682879686355591,0.3267604410648346,0.03201713626058305,0.030203626618641493,0.08727219162286855,0.15962209194794774,0.05538772022733868,0.2409012131715771,0.20038535645472066,0.17316017316017318,0.1534653465346535,0.11849710982658956,0.07986111111111116,0.24090121317157712
2,Donor06,scvi_matched,3,581,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7801198606135793,0.7801198606135793,0.7504302925989673,0.7724464962554711,0.7730544131603923,0.4597523924683738,0.620436570705473,0.31039827350811255,0.5790823698043823,0.33737945556640625,0.028867887804307133,0.023204741605177628,0.09834796749747303,0.1762317992350684,0.06401855360782871,0.24956970740103268,0.21797323135755253,0.1913978494623656,0.16953316953316955,0.13180515759312317,0.09310344827586203,0.2495697074010327
2,Donor05,scvi_matched,4,577,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7934406328273563,0.7934406328273563,0.7625649913344887,0.8085325927431191,0.7938785666887856,0.5104359368734744,0.657879893828799,0.3447245147067009,0.5680733323097229,0.3260060250759125,0.03554428067942837,0.0271176545004291,0.08865378177959178,0.15506088941142626,0.05771977688894817,0.23743500866551126,0.19460500963391136,0.1601731601731602,0.13613861386138615,0.11849710982658956,0.07986111111111116,0.23743500866551126
2,Donor06,scvi_matched,4,581,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7771074668566417,0.7771074668566417,0.7349397590361446,0.759366775609356,0.8148058030962013,0.5605749791846754,0.6232093433498587,0.350197437982834,0.5749045014381409,0.3304290175437927,0.03292894799409756,0.03048116348286298,0.09432041876208945,0.16870352082201504,0.05536922969766701,0.2650602409638554,0.2237093690248566,0.18494623655913978,0.14742014742014742,0.11174785100286533,0.08275862068965523,0.26506024096385544
2,Donor05,scvi_matched,5,577,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7831639978188986,0.7831639978188986,0.7417677642980935,0.7934063763011131,0.8132252399172051,0.5343161589277585,0.5984758201091389,0.31148841664033405,0.5767901539802551,0.33548274636268616,0.04026149443158655,0.027485016313747893,0.089797006943388,0.16564105479225422,0.05292132897568218,0.25823223570190645,0.22543352601156075,0.18831168831168832,0.15841584158415845,0.09826589595375723,0.06597222222222221,0.2582322357019064
2,Donor06,scvi_matched,5,581,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7867258878237454,0.7867258878237454,0.7590361445783133,0.7758957253607072,0.7275672173631358,0.3824299902360752,0.5937803692905734,0.3109958373484246,0.6180417537689209,0.3543641269207001,0.04544694190796805,0.04137052808489117,0.10845432644769662,0.1868949470168562,0.07655396821554672,0.24096385542168675,0.2237093690248566,0.2021505376344086,0.17936117936117935,0.1547277936962751,0.11724137931034484,0.24096385542168675
2,Donor05,scvi_matched,6,577,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7987954907061908,0.7987954907061908,0.7625649913344887,0.8125764862606968,0.8020736562707367,0.517222307370324,0.6421201061712011,0.3047794259064538,0.5678435564041138,0.3209950029850006,0.05887408097447309,0.033069205501050636,0.08484242356094564,0.15355217214467476,0.05390841867030203,0.23743500866551126,0.19267822736030826,0.16666666666666663,0.14603960396039606,0.09537572254335258,0.07291666666666663,0.23743500866551126
2,Donor06,scvi_matched,6,581,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7870157389715644,0.7870157389715644,0.7452667814113597,0.776895160319036,0.7614225079583048,0.4609936053083543,0.6345733724486612,0.32347529543393777,0.5941005349159241,0.34669655561447144,0.04052251685096556,0.03374067641371501,0.1058561532794299,0.182975479239645,0.0700220060228193,0.2547332185886403,0.22944550669216057,0.20430107526881724,0.17690417690417692,0.13467048710601714,0.09999999999999998,0.2547332185886403
2,Donor05,scvi_matched,7,577,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7769473619412209,0.7769473619412209,0.7417677642980935,0.7919054392738604,0.7922912877124757,0.5171041158713343,0.6485291350435928,0.4006482983856551,0.5970101952552795,0.3412909507751465,0.029981061738739802,0.02792362602785925,0.09872524527764212,0.17391785436613974,0.06184956730993629,0.25823223570190645,0.22157996146435455,0.18181818181818177,0.16089108910891092,0.12716763005780352,0.08680555555555558,0.2582322357019064
2,Donor06,scvi_matched,7,581,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.792466404160557,0.792466404160557,0.7487091222030982,0.7791670267536809,0.7941426547000472,0.4792943485929454,0.6471579278853725,0.3562268931454332,0.5833079218864441,0.3333628475666046,0.019614778471895838,0.01449439201420636,0.09263387086848111,0.16925155099862763,0.057806838942352244,0.25129087779690185,0.2217973231357553,0.18924731182795695,0.1547911547911548,0.1146131805157593,0.07241379310344831,0.2512908777969019
2,Donor05,scvi_matched,8,577,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7841336232541112,0.7841336232541112,0.7521663778162911,0.7988625843889002,0.7854887048435436,0.5020851266604175,0.5932132383745287,0.31188997280337016,0.5961322784423828,0.34394773840904236,0.023881248626180088,0.02860102041961829,0.09534044507039395,0.16757718515631964,0.0615074856844265,0.24783362218370886,0.21387283236994215,0.18398268398268403,0.1534653465346535,0.12138728323699421,0.08333333333333337,0.24783362218370883
