donor,model,metric,within_donor_seed_sd
Donor08,scvi_matched,nll,0.022182604108982516
Donor08,totalvi,nll,0.011230611297769822
Donor09,scvi_matched,nll,0.010569023929674135
Donor09,totalvi,nll,0.013948441727683579
Donor10,scvi_matched,nll,0.014549381551934366
Donor10,totalvi,nll,0.01317177854013725
Donor01,scvi_matched,brier,0.011253285081040218
Donor01,totalvi,brier,0.00832813436125248
Donor02,scvi_matched,brier,0.006193915384792735
Donor02,totalvi,brier,0.009120612287526943
Donor03,scvi_matched,brier,0.011390709085739187
Donor03,totalvi,brier,0.006266964131477628
Donor04,scvi_matched,brier,0.007787373294135848
Donor04,totalvi,brier,0.006610104995626435
Donor05,scvi_matched,brier,0.009154850526907732
Donor05,totalvi,brier,0.01216630210617491
Donor06,scvi_matched,brier,0.008543880605705156
Donor06,totalvi,brier,0.007432534496331408
Donor07,scvi_matched,brier,0.01043429264559643
Donor07,totalvi,brier,0.009782971108166692
Donor08,scvi_matched,brier,0.012504119543494655
Donor08,totalvi,brier,0.007907151392486067
Donor09,scvi_matched,brier,0.006091418684670034
Donor09,totalvi,brier,0.008451574780677585
Donor10,scvi_matched,brier,0.008800306514637176
Donor10,totalvi,brier,0.004608211836995453
Donor01,scvi_matched,ece_equal_frequency,0.011893846198096464
Donor01,totalvi,ece_equal_frequency,0.012396112219467499
Donor02,scvi_matched,ece_equal_frequency,0.014929430826520523
Donor02,totalvi,ece_equal_frequency,0.008443185267238989
Donor03,scvi_matched,ece_equal_frequency,0.010766329000736761
Donor03,totalvi,ece_equal_frequency,0.004200372616369059
Donor04,scvi_matched,ece_equal_frequency,0.010239333698203375
Donor04,totalvi,ece_equal_frequency,0.0042457614910258665
Donor05,scvi_matched,ece_equal_frequency,0.013589890025054589
Donor05,totalvi,ece_equal_frequency,0.0072955419962903965
Donor06,scvi_matched,ece_equal_frequency,0.008484536687655427
Donor06,totalvi,ece_equal_frequency,0.005263389280387927
Donor07,scvi_matched,ece_equal_frequency,0.006555622285938332
Donor07,totalvi,ece_equal_frequency,0.007142655697991266
Donor08,scvi_matched,ece_equal_frequency,0.007634846454543188
Donor08,totalvi,ece_equal_frequency,0.005311777870378413
Donor09,scvi_matched,ece_equal_frequency,0.00861649001361038
Donor09,totalvi,ece_equal_frequency,0.00832601776638854
Donor10,scvi_matched,ece_equal_frequency,0.014206365943031663
Donor10,totalvi,ece_equal_frequency,0.006668066527057009
Donor01,scvi_matched,ece_equal_width,0.010430077440279009
Donor01,totalvi,ece_equal_width,0.012841455593565806
Donor02,scvi_matched,ece_equal_width,0.011651746010558833
Donor02,totalvi,ece_equal_width,0.00855457510450045
Donor03,scvi_matched,ece_equal_width,0.009655731813493522
Donor03,totalvi,ece_equal_width,0.0064057187931476625
Donor04,scvi_matched,ece_equal_width,0.009975349818307708
Donor04,totalvi,ece_equal_width,0.007180483095010787
Donor05,scvi_matched,ece_equal_width,0.004349320767518056
Donor05,totalvi,ece_equal_width,0.01067195740771047
Donor06,scvi_matched,ece_equal_width,0.009410008487463711
Donor06,totalvi,ece_equal_width,0.006652641918148676
Donor07,scvi_matched,ece_equal_width,0.009986728892400393
Donor07,totalvi,ece_equal_width,0.008610301483148767
Donor08,scvi_matched,ece_equal_width,0.009330882557576744
Donor08,totalvi,ece_equal_width,0.006136545129183412
Donor09,scvi_matched,ece_equal_width,0.007438413261927196
Donor09,totalvi,ece_equal_width,0.005677701415811673
Donor10,scvi_matched,ece_equal_width,0.009209365208300218
Donor10,totalvi,ece_equal_width,0.005259897266661181
Donor01,scvi_matched,full_aurc,0.0067574172654944215
Donor01,totalvi,full_aurc,0.002069336373256416
