donor,metric,scvi_mean_over_seeds,totalvi_mean_over_seeds,delta,median_delta,sd_delta_across_donors,n_donors_positive,n_donors_negative,n_donors_equal,n_donors
SUMMARY,latent_error_auroc,0.6049404012583324,0.6505098168317416,0.04556941557340921,0.04929097598792942,0.02309366099820203,10.0,0.0,0.0,10.0
Donor01,latent_error_auprc,0.28666684879899795,0.1703413705072667,-0.11632547829173126,,,,,,
Donor02,latent_error_auprc,0.32401368687139176,0.22656539623482136,-0.0974482906365704,,,,,,
Donor03,latent_error_auprc,0.2592445693751809,0.19936861987070836,-0.05987594950447256,,,,,,
Donor04,latent_error_auprc,0.3423621708574744,0.21002856490817137,-0.13233360594930302,,,,,,
Donor05,latent_error_auprc,0.32930752799027263,0.22916644364256694,-0.10014108434770569,,,,,,
Donor06,latent_error_auprc,0.32349351549081795,0.2048777140683155,-0.11861580142250244,,,,,,
Donor07,latent_error_auprc,0.35136994264720545,0.2498627721857813,-0.10150717046142416,,,,,,
Donor08,latent_error_auprc,0.3453956139559288,0.24824921130078997,-0.09714640265513885,,,,,,
Donor09,latent_error_auprc,0.2802498214184796,0.19542300730570303,-0.08482681411277657,,,,,,
Donor10,latent_error_auprc,0.2820992186527671,0.19206819575883563,-0.09003102289393147,,,,,,
SUMMARY,latent_error_auprc,0.3124202916058516,0.21259512957829602,-0.09982516202755565,-0.09879468749213804,0.020040838592253214,0.0,10.0,0.0,10.0
Donor01,nll,0.5648811995983124,0.3440234035253525,-0.2208577960729599,,,,,,
Donor02,nll,0.5369834482669831,0.36485875248908994,-0.17212469577789313,,,,,,
Donor03,nll,0.5323354035615921,0.33561021089553833,-0.19672519266605382,,,,,,
Donor04,nll,0.5821453034877777,0.359568664431572,-0.22257663905620573,,,,,,
Donor05,nll,0.5834253787994385,0.37012646198272703,-0.21329891681671143,,,,,,
Donor06,nll,0.5934526324272156,0.36134715676307677,-0.2321054756641388,,,,,,
Donor07,nll,0.7010693967342376,0.4600795775651932,-0.24098981916904444,,,,,,
Donor08,nll,0.6263928174972534,0.39897380769252777,-0.22741900980472562,,,,,,
