donor,model,present_class_macro_f1,fixed_ontology_macro_f1,accuracy,balanced_accuracy,predictive_error_auroc,predictive_error_auprc,latent_error_auroc,latent_error_auprc,nll,brier,ece_equal_frequency,ece_equal_width,full_aurc,paurc_0.5_1.0,e_aurc,risk_100,risk_50,error_prevalence
Donor06,scvi_matched,0.7794244358105973,0.7794244358105973,0.7413080895008606,0.7680795999148704,0.7798943270525092,0.4854769656382694,0.6071010129095948,0.32349351549081795,0.5934526324272156,0.34312127232551576,0.0327636163431683,0.027681130596569608,0.10133937944387408,0.17986269730498844,0.06421282418129888,0.2586919104991394,0.09137931034482759,0.2586919104991394
Donor06,totalvi,0.8710139195200786,0.8710139195200786,0.8602409638554217,0.8581001929703392,0.85300930097792,0.4522163498471675,0.6333197418114132,0.2048777140683155,0.36134715676307677,0.20162634253501893,0.03000251333807914,0.03219430485608862,0.03409148563014709,0.06445310518289962,0.02367415549309154,0.13975903614457832,0.017241379310344862,0.13975903614457832
Donor07,scvi_matched,0.7804967642564975,0.7804967642564975,0.7031304347826086,0.7694642829222536,0.7589836166405293,0.5129307769544704,0.5829229712840969,0.35136994264720545,0.7010693967342376,0.39529193937778473,0.03379055639971858,0.030609989098880602,0.1316537904354782,0.22016504687427368,0.08209566404310162,0.2968695652173913,0.13576388888888888,0.2968695652173913
Donor07,totalvi,0.8573363272224241,0.8573363272224241,0.8151304347826087,0.8444577662003093,0.8381299208618748,0.4980276554312531,0.6370002657270869,0.2498627721857813,0.4600795775651932,0.25499787777662275,0.03996375440514606,0.03850670963266622,0.053133286218289374,0.09767758366019513,0.034669047986093514,0.1848695652173913,0.03298611111111109,0.1848695652173913
Donor08,scvi_matched,0.7819597531825133,0.7819597531825133,0.7347352024922118,0.7727906148500316,0.7865386757454657,0.5082276677120691,0.620502153741956,0.3453956139559288,0.6263928174972534,0.35236742794513704,0.02996750644805647,0.026047168593169006,0.10270638533975607,0.18359449374246564,0.06359408797461588,0.26526479750778814,0.09595015576323988,0.26526479750778814
Donor08,totalvi,0.877827393940823,0.877827393940823,0.8546728971962617,0.8717844132237259,0.811805965053425,0.4171287886539067,0.6910774710472021,0.24824921130078997,0.39897380769252777,0.2201605185866356,0.03799688953476903,0.03611859195050421,0.044363039270523666,0.07997579437330017,0.03309335656221284,0.1453271028037383,0.03738317757009346,0.1453271028037383
Donor09,scvi_matched,0.8115117056915603,0.8115117056915603,0.8070610687022901,0.8053353664968572,0.8399756245486996,0.5032264189243104,0.6198811452311344,0.2802498214184796,0.47430305778980253,0.26571800708770754,0.035268916087296175,0.03227188673638205,0.054329886612945945,0.10502035079539174,0.034186614124229436,0.19293893129770992,0.026335877862595426,0.19293893129770992
Donor09,totalvi,0.8936603608996705,0.8936603608996705,0.8877862595419848,0.8934927989316117,0.8500179716935827,0.41397580043765075,0.6731501565089886,0.19542300730570303,0.29876414239406585,0.16875629127025604,0.03472916019781855,0.03402945782619578,0.026289955603540506,0.05087158574906138,0.019623024843068777,0.11221374045801528,0.013358778625954193,0.11221374045801527
Donor10,scvi_matched,0.8095991711373587,0.8095991711373587,0.7661157024793389,0.7999336814939652,0.8038794006635586,0.5067116251532054,0.5836460425152059,0.2820992186527671,0.5946722686290741,0.32676670551300047,0.04344962699354188,0.038207280973265,0.08216605759663258,0.14913234610076773,0.052104109091505105,0.23388429752066114,0.06688741721854304,0.23388429752066114
Donor10,totalvi,0.8959487242991914,0.8959487242991914,0.8712396694214876,0.8893164596561386,0.8264623095150325,0.400516534959715,0.641768187287224,0.19206819575883563,0.37962324023246763,0.2003704845905304,0.037745878725997675,0.03728703524455551,0.03591740742083492,0.06521904003911115,0.027123690633307412,0.1287603305785124,0.029139072847682114,0.12876033057851238
