2026-09-09 15:58:21,121 | INFO | phase11b_analysis | direction_B__scvi_matched__seed07 macroF1=0.6265 errAUROC=0.8499 latAUROC=0.4580 ECE=0.0350
2026-09-09 15:58:21,892 | INFO | phase11b_analysis | direction_B__scvi_matched__seed08 macroF1=0.6271 errAUROC=0.8733 latAUROC=0.4842 ECE=0.0325
2026-09-09 15:58:22,597 | INFO | phase11b_analysis | direction_B__scvi_matched__seed09 macroF1=0.6133 errAUROC=0.8690 latAUROC=0.5682 ECE=0.0330
2026-09-09 15:58:23,457 | INFO | phase11b_analysis | direction_B__scvi_matched__seed10 macroF1=0.6009 errAUROC=0.8628 latAUROC=0.4126 ECE=0.0308
2026-09-09 15:58:24,173 | INFO | phase11b_analysis | direction_B__scvi_matched__seed11 macroF1=0.5956 errAUROC=0.8462 latAUROC=0.3502 ECE=0.0357
2026-09-09 15:58:24,937 | INFO | phase11b_analysis | direction_B__scvi_matched__seed12 macroF1=0.6062 errAUROC=0.8689 latAUROC=0.5331 ECE=0.0325
2026-09-09 15:58:25,667 | INFO | phase11b_analysis | direction_B__scvi_matched__seed13 macroF1=0.6070 errAUROC=0.8562 latAUROC=0.3501 ECE=0.0382
2026-09-09 15:58:26,375 | INFO | phase11b_analysis | direction_B__scvi_matched__seed14 macroF1=0.5852 errAUROC=0.8497 latAUROC=0.5816 ECE=0.0640
2026-09-09 15:58:27,103 | INFO | phase11b_analysis | direction_B__scvi_matched__seed15 macroF1=0.6157 errAUROC=0.8341 latAUROC=0.4322 ECE=0.0505
2026-09-09 15:58:27,891 | INFO | phase11b_analysis | direction_B__scvi_matched__seed16 macroF1=0.5882 errAUROC=0.8483 latAUROC=0.5220 ECE=0.0608
2026-09-09 15:58:28,588 | INFO | phase11b_analysis | direction_B__scvi_matched__seed17 macroF1=0.5836 errAUROC=0.8472 latAUROC=0.6036 ECE=0.0443
2026-09-09 15:58:29,348 | INFO | phase11b_analysis | direction_B__scvi_matched__seed18 macroF1=0.6070 errAUROC=0.8446 latAUROC=0.3347 ECE=0.0285
2026-09-09 15:58:30,064 | INFO | phase11b_analysis | direction_B__scvi_matched__seed19 macroF1=0.5960 errAUROC=0.8576 latAUROC=0.4929 ECE=0.0373
2026-09-09 15:58:30,920 | INFO | phase11b_analysis | direction_B__totalvi__seed00 macroF1=0.6157 errAUROC=0.8733 latAUROC=0.6636 ECE=0.0372
2026-09-09 15:58:31,758 | INFO | phase11b_analysis | direction_B__totalvi__seed01 macroF1=0.6102 errAUROC=0.8124 latAUROC=0.6563 ECE=0.0564
2026-09-09 15:58:32,690 | INFO | phase11b_analysis | direction_B__totalvi__seed02 macroF1=0.6869 errAUROC=0.8402 latAUROC=0.6017 ECE=0.0501
2026-09-09 15:58:33,590 | INFO | phase11b_analysis | direction_B__totalvi__seed03 macroF1=0.6715 errAUROC=0.8704 latAUROC=0.5926 ECE=0.0276
2026-09-09 15:58:34,532 | INFO | phase11b_analysis | direction_B__totalvi__seed04 macroF1=0.6596 errAUROC=0.8801 latAUROC=0.5841 ECE=0.0284
2026-09-09 15:58:35,514 | INFO | phase11b_analysis | direction_B__totalvi__seed05 macroF1=0.6905 errAUROC=0.8689 latAUROC=0.5573 ECE=0.0237
2026-09-09 15:58:36,342 | INFO | phase11b_analysis | direction_B__totalvi__seed06 macroF1=0.6401 errAUROC=0.8585 latAUROC=0.6036 ECE=0.0321
2026-09-09 15:58:37,292 | INFO | phase11b_analysis | direction_B__totalvi__seed07 macroF1=0.6383 errAUROC=0.8471 latAUROC=0.6208 ECE=0.0170
2026-09-09 15:58:38,150 | INFO | phase11b_analysis | direction_B__totalvi__seed08 macroF1=0.6714 errAUROC=0.8616 latAUROC=0.6158 ECE=0.0413
2026-09-09 15:58:38,969 | INFO | phase11b_analysis | direction_B__totalvi__seed09 macroF1=0.6620 errAUROC=0.8663 latAUROC=0.5843 ECE=0.0441
2026-09-09 15:58:39,864 | INFO | phase11b_analysis | direction_B__totalvi__seed10 macroF1=0.6618 errAUROC=0.8760 latAUROC=0.5942 ECE=0.0486
2026-09-09 15:58:40,726 | INFO | phase11b_analysis | direction_B__totalvi__seed11 macroF1=0.6174 errAUROC=0.8315 latAUROC=0.6798 ECE=0.0370
2026-09-09 15:58:41,565 | INFO | phase11b_analysis | direction_B__totalvi__seed12 macroF1=0.6846 errAUROC=0.8496 latAUROC=0.6430 ECE=0.0224
2026-09-09 15:58:42,380 | INFO | phase11b_analysis | direction_B__totalvi__seed13 macroF1=0.6624 errAUROC=0.8669 latAUROC=0.6367 ECE=0.0299
2026-09-09 15:58:43,224 | INFO | phase11b_analysis | direction_B__totalvi__seed14 macroF1=0.6112 errAUROC=0.8548 latAUROC=0.6448 ECE=0.0184
2026-09-09 15:58:44,094 | INFO | phase11b_analysis | direction_B__totalvi__seed15 macroF1=0.6577 errAUROC=0.8457 latAUROC=0.5508 ECE=0.0382
2026-09-09 15:58:44,963 | INFO | phase11b_analysis | direction_B__totalvi__seed16 macroF1=0.6440 errAUROC=0.8575 latAUROC=0.5923 ECE=0.0401
2026-09-09 15:58:45,860 | INFO | phase11b_analysis | direction_B__totalvi__seed17 macroF1=0.6487 errAUROC=0.8432 latAUROC=0.5931 ECE=0.0197
2026-09-09 15:58:46,719 | INFO | phase11b_analysis | direction_B__totalvi__seed18 macroF1=0.6842 errAUROC=0.8591 latAUROC=0.6371 ECE=0.0282
2026-09-09 15:58:47,617 | INFO | phase11b_analysis | direction_B__totalvi__seed19 macroF1=0.6610 errAUROC=0.8571 latAUROC=0.5463 ECE=0.0519
