2026-09-09 18:02:19,510 | INFO | phase11b | direction_A__totalvi__subset4__seed01 done: src_ep=200 q_ep=200 runtime=208s drift_mean=0.018782 integrity=0.00e+00 u_latent=0.03412 ram_avail=5067MB
2026-09-09 18:02:19,659 | INFO | phase11b | === direction_A__totalvi__subset4__seed02 (source n=3994 target n=3994) ===
2026-09-09 18:05:50,229 | INFO | phase11b | direction_A__totalvi__subset4__seed02 done: src_ep=200 q_ep=200 runtime=208s drift_mean=0.017594 integrity=0.00e+00 u_latent=0.03379 ram_avail=5078MB
2026-09-09 18:05:50,383 | INFO | phase11b | === direction_A__totalvi__subset4__seed03 (source n=3994 target n=3994) ===
2026-09-09 18:09:18,985 | INFO | phase11b | direction_A__totalvi__subset4__seed03 done: src_ep=200 q_ep=200 runtime=206s drift_mean=0.016444 integrity=0.00e+00 u_latent=0.03507 ram_avail=5075MB
2026-09-09 18:09:19,144 | INFO | phase11b | === direction_A__totalvi__subset4__seed04 (source n=3994 target n=3994) ===
2026-09-09 18:12:48,862 | INFO | phase11b | direction_A__totalvi__subset4__seed04 done: src_ep=200 q_ep=200 runtime=207s drift_mean=0.017053 integrity=0.00e+00 u_latent=0.03964 ram_avail=5071MB
2026-09-09 18:12:49,165 | INFO | phase11b | stage crossed finished: 50 completed, 0 failed
2026-09-09 22:42:00,012 | INFO | phase11b_crossed | === crossed stage score (2026-09-09T12:42:00.012271+00:00) ===
2026-09-09 22:42:06,576 | INFO | phase11b_crossed | crossed setup: 20 common l2 classes, 3305 fixed target cells
2026-09-09 22:42:07,000 | INFO | phase11b_crossed | direction_A__scvi_matched__subset0__seed00 macroF1=0.6213 AUROC=0.8476
2026-09-09 22:42:07,387 | INFO | phase11b_crossed | direction_A__scvi_matched__subset0__seed01 macroF1=0.5741 AUROC=0.8389
2026-09-09 22:42:07,806 | INFO | phase11b_crossed | direction_A__scvi_matched__subset0__seed02 macroF1=0.6088 AUROC=0.8381
2026-09-09 22:42:08,194 | INFO | phase11b_crossed | direction_A__scvi_matched__subset0__seed03 macroF1=0.6242 AUROC=0.8286
2026-09-09 22:42:08,611 | INFO | phase11b_crossed | direction_A__scvi_matched__subset0__seed04 macroF1=0.6176 AUROC=0.8276
2026-09-09 22:42:09,119 | INFO | phase11b_crossed | direction_A__totalvi__subset0__seed00 macroF1=0.6059 AUROC=0.8235
2026-09-09 22:42:09,528 | INFO | phase11b_crossed | direction_A__totalvi__subset0__seed01 macroF1=0.6107 AUROC=0.8591
2026-09-09 22:42:09,982 | INFO | phase11b_crossed | direction_A__totalvi__subset0__seed02 macroF1=0.6144 AUROC=0.8519
