cell_type,source_support,target_support,precision,recall,f1,direction,model,seed,label_level,subset
ILC,65,98,0.6111111111111112,0.22448979591836735,0.3283582089552239,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
MAIT,356,24,0.4,0.6666666666666666,0.5,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
NK,760,251,0.8833922261484098,0.9960159362549801,0.9363295880149812,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
NK_CD56bright,35,30,0.9565217391304348,0.7333333333333333,0.8301886792452831,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
Treg,241,59,0.7619047619047619,0.2711864406779661,0.4,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
cDC2,135,125,0.9752066115702479,0.944,0.959349593495935,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
dnT,76,14,0.16666666666666666,0.07142857142857142,0.1,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
gdT,59,71,0.4772727272727273,0.29577464788732394,0.3652173913043478,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
pDC,24,23,0.9583333333333334,1.0,0.9787234042553191,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
B intermediate,68,66,0.7619047619047619,0.7272727272727273,0.7441860465116279,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
B memory,99,79,0.8125,0.8227848101265823,0.8176100628930818,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
B naive,315,128,0.9769230769230769,0.9921875,0.9844961240310077,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
CD14 Mono,1237,937,0.9281437125748503,0.9925293489861259,0.9592573491490459,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
CD16 Mono,103,131,0.9912280701754386,0.8625954198473282,0.9224489795918367,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
CD4 CTL,24,41,1.0,0.17073170731707318,0.2916666666666667,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
CD4 Naive,795,378,0.7873831775700935,0.8915343915343915,0.8362282878411911,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
CD4 TCM,580,327,0.6297297297297297,0.7125382262996942,0.6685796269727403,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
CD4 TEM,281,272,0.6696696696696697,0.8198529411764706,0.7371900826446282,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
CD8 Naive,320,48,0.7377049180327869,0.9375,0.8256880733944955,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
CD8 TCM,77,34,0.8,0.23529411764705882,0.36363636363636365,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
CD8 TEM,246,147,0.7844311377245509,0.891156462585034,0.8343949044585988,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
Eryth,144,86,0.5975609756097561,0.5697674418604651,0.5833333333333334,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
ILC,65,98,0.7,0.07142857142857142,0.12962962962962962,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
MAIT,356,24,0.2835820895522388,0.7916666666666666,0.4175824175824176,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
NK,760,251,0.9090909090909091,0.9960159362549801,0.9505703422053232,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
NK_CD56bright,35,30,1.0,0.4,0.5714285714285714,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
Treg,241,59,0.8571428571428571,0.2033898305084746,0.3287671232876712,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
cDC2,135,125,1.0,0.856,0.9224137931034483,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
dnT,76,14,0.0,0.0,0.0,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
gdT,59,71,0.38461538461538464,0.07042253521126761,0.11904761904761904,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
pDC,24,23,0.9583333333333334,1.0,0.9787234042553191,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
B,493,274,1.0,0.9963503649635036,0.9981718464351006,pbmc10k_to_pbmc5k,scvi_matched,0,l1,high_confidence_shared
CD4 T,1929,1079,0.8907198612315698,0.9518072289156626,0.9202508960573477,pbmc10k_to_pbmc5k,scvi_matched,0,l1,high_confidence_shared
CD8 T,653,236,0.7391304347826086,0.7923728813559322,0.7648261758691206,pbmc10k_to_pbmc5k,scvi_matched,0,l1,high_confidence_shared
DC,165,151,0.9793103448275862,0.9403973509933775,0.9594594594594594,pbmc10k_to_pbmc5k,scvi_matched,0,l1,high_confidence_shared
Mono,1340,1068,0.9531953195319532,0.9915730337078652,0.9720055071133548,pbmc10k_to_pbmc5k,scvi_matched,0,l1,high_confidence_shared
NK,812,290,0.910828025477707,0.9862068965517241,0.9470198675496688,pbmc10k_to_pbmc5k,scvi_matched,0,l1,high_confidence_shared
other,219,185,0.8307692307692308,0.2918918918918919,0.432,pbmc10k_to_pbmc5k,scvi_matched,0,l1,high_confidence_shared
other T,491,109,0.6666666666666666,0.47706422018348627,0.5561497326203209,pbmc10k_to_pbmc5k,scvi_matched,0,l1,high_confidence_shared
B,493,274,1.0,1.0,1.0,pbmc10k_to_pbmc5k,totalvi,0,l1,high_confidence_shared
CD4 T,1929,1079,0.9146666666666666,0.953660797034291,0.9337568058076225,pbmc10k_to_pbmc5k,totalvi,0,l1,high_confidence_shared
CD8 T,653,236,0.7954545454545454,0.8898305084745762,0.84,pbmc10k_to_pbmc5k,totalvi,0,l1,high_confidence_shared
DC,165,151,0.9923076923076923,0.8543046357615894,0.9181494661921709,pbmc10k_to_pbmc5k,totalvi,0,l1,high_confidence_shared
Mono,1340,1068,0.9508928571428571,0.9971910112359551,0.973491773308958,pbmc10k_to_pbmc5k,totalvi,0,l1,high_confidence_shared
NK,812,290,0.9273927392739274,0.9689655172413794,0.9477234401349073,pbmc10k_to_pbmc5k,totalvi,0,l1,high_confidence_shared
other,219,185,0.797752808988764,0.3837837837837838,0.5182481751824818,pbmc10k_to_pbmc5k,totalvi,0,l1,high_confidence_shared
other T,491,109,0.6091954022988506,0.48623853211009177,0.5408163265306123,pbmc10k_to_pbmc5k,totalvi,0,l1,high_confidence_shared
B intermediate,68,66,0.6142857142857143,0.6515151515151515,0.6323529411764706,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
B memory,99,79,0.7052631578947368,0.8481012658227848,0.7701149425287356,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
B naive,315,128,0.990909090909091,0.8515625,0.9159663865546218,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
CD14 Mono,1237,937,0.9515962924819773,0.9861259338313767,0.9685534591194969,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
CD16 Mono,103,131,1.0,0.9007633587786259,0.9477911646586346,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
CD4 CTL,24,41,0.8,0.1951219512195122,0.3137254901960784,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
CD4 Naive,795,378,0.8755760368663594,0.5026455026455027,0.6386554621848739,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
CD4 TCM,580,327,0.4743362831858407,0.8195718654434251,0.600896860986547,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
CD4 TEM,281,272,0.7878787878787878,0.6691176470588235,0.7236580516898609,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
CD8 Naive,320,48,0.6764705882352942,0.9583333333333334,0.7931034482758621,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
CD8 TCM,77,34,0.43333333333333335,0.38235294117647056,0.40625,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
CD8 TEM,246,147,0.8043478260869565,0.7551020408163265,0.7789473684210526,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
Eryth,144,86,0.625,0.5813953488372093,0.6024096385542169,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
ILC,65,98,0.336734693877551,0.336734693877551,0.336734693877551,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
MAIT,356,24,0.2625,0.875,0.40384615384615385,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
NK,760,251,0.922509225092251,0.9960159362549801,0.9578544061302682,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
NK_CD56bright,35,30,0.9285714285714286,0.8666666666666667,0.896551724137931,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
Treg,241,59,0.7142857142857143,0.1694915254237288,0.273972602739726,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
cDC2,135,125,0.9606299212598425,0.976,0.9682539682539683,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
dnT,76,14,0.13333333333333333,0.14285714285714285,0.13793103448275862,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
gdT,59,71,0.6,0.08450704225352113,0.14814814814814814,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
pDC,24,23,0.9565217391304348,0.9565217391304348,0.9565217391304348,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
B intermediate,68,66,0.8085106382978723,0.5757575757575758,0.672566371681416,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
B memory,99,79,0.7741935483870968,0.9113924050632911,0.8372093023255814,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
B naive,315,128,0.9398496240601504,0.9765625,0.9578544061302682,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
CD14 Mono,1237,937,0.9486125385405961,0.9850586979722519,0.9664921465968587,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
CD16 Mono,103,131,0.976,0.9312977099236641,0.953125,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
CD4 CTL,24,41,0.7692307692307693,0.24390243902439024,0.37037037037037035,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
CD4 Naive,795,378,0.7231075697211156,0.9603174603174603,0.825,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
CD4 TCM,580,327,0.5754189944134078,0.6299694189602446,0.6014598540145986,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
CD4 TEM,281,272,0.7222222222222222,0.7647058823529411,0.7428571428571429,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
CD8 Naive,320,48,0.8541666666666666,0.8541666666666666,0.8541666666666666,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
CD8 TCM,77,34,0.75,0.17647058823529413,0.2857142857142857,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
CD8 TEM,246,147,0.8187919463087249,0.8299319727891157,0.8243243243243243,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
Eryth,144,86,0.5428571428571428,0.6627906976744186,0.5968586387434555,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
ILC,65,98,1.0,0.05102040816326531,0.0970873786407767,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
MAIT,356,24,0.38461538461538464,0.8333333333333334,0.5263157894736842,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
NK,760,251,0.8992805755395683,0.9960159362549801,0.945179584120983,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
NK_CD56bright,35,30,0.95,0.6333333333333333,0.76,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
Treg,241,59,0.9,0.3050847457627119,0.45569620253164556,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
cDC2,135,125,1.0,0.896,0.9451476793248945,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
dnT,76,14,0.0,0.0,0.0,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
gdT,59,71,0.9,0.1267605633802817,0.2222222222222222,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
pDC,24,23,0.9583333333333334,1.0,0.9787234042553191,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
B,493,274,1.0,1.0,1.0,pbmc10k_to_pbmc5k,scvi_matched,1,l1,high_confidence_shared
CD4 T,1929,1079,0.9039341262580055,0.9156626506024096,0.9097605893186004,pbmc10k_to_pbmc5k,scvi_matched,1,l1,high_confidence_shared
CD8 T,653,236,0.7480314960629921,0.8050847457627118,0.7755102040816326,pbmc10k_to_pbmc5k,scvi_matched,1,l1,high_confidence_shared
DC,165,151,0.9733333333333334,0.9668874172185431,0.9700996677740864,pbmc10k_to_pbmc5k,scvi_matched,1,l1,high_confidence_shared
Mono,1340,1068,0.9626933575978162,0.9906367041198502,0.976465159206276,pbmc10k_to_pbmc5k,scvi_matched,1,l1,high_confidence_shared
NK,812,290,0.9225806451612903,0.9862068965517241,0.9533333333333334,pbmc10k_to_pbmc5k,scvi_matched,1,l1,high_confidence_shared
other,219,185,0.7386363636363636,0.35135135135135137,0.47619047619047616,pbmc10k_to_pbmc5k,scvi_matched,1,l1,high_confidence_shared
other T,491,109,0.4838709677419355,0.5504587155963303,0.5150214592274678,pbmc10k_to_pbmc5k,scvi_matched,1,l1,high_confidence_shared
B,493,274,0.9927272727272727,0.9963503649635036,0.994535519125683,pbmc10k_to_pbmc5k,totalvi,1,l1,high_confidence_shared
CD4 T,1929,1079,0.8948717948717949,0.9703429101019463,0.9310804802134282,pbmc10k_to_pbmc5k,totalvi,1,l1,high_confidence_shared
CD8 T,653,236,0.9,0.8008474576271186,0.8475336322869955,pbmc10k_to_pbmc5k,totalvi,1,l1,high_confidence_shared
DC,165,151,0.9924242424242424,0.8675496688741722,0.9257950530035336,pbmc10k_to_pbmc5k,totalvi,1,l1,high_confidence_shared
Mono,1340,1068,0.9598173515981735,0.9840823970037453,0.9717984281091078,pbmc10k_to_pbmc5k,totalvi,1,l1,high_confidence_shared
NK,812,290,0.9166666666666666,0.9862068965517241,0.9501661129568106,pbmc10k_to_pbmc5k,totalvi,1,l1,high_confidence_shared
other,219,185,0.7142857142857143,0.40540540540540543,0.5172413793103449,pbmc10k_to_pbmc5k,totalvi,1,l1,high_confidence_shared
other T,491,109,0.6451612903225806,0.5504587155963303,0.594059405940594,pbmc10k_to_pbmc5k,totalvi,1,l1,high_confidence_shared
B intermediate,68,66,0.6901408450704225,0.7424242424242424,0.7153284671532847,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
B memory,99,79,0.7857142857142857,0.8354430379746836,0.8098159509202454,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
B naive,315,128,0.9915966386554622,0.921875,0.9554655870445344,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
CD14 Mono,1237,937,0.9402834008097166,0.991462113127001,0.9651948051948052,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
CD16 Mono,103,131,0.9747899159663865,0.8854961832061069,0.928,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
CD4 CTL,24,41,0.9047619047619048,0.4634146341463415,0.6129032258064516,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
CD4 Naive,795,378,0.8064516129032258,0.7936507936507936,0.8,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
CD4 TCM,580,327,0.5369565217391304,0.7553516819571865,0.627700127064803,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
CD4 TEM,281,272,0.7677165354330708,0.7169117647058824,0.7414448669201521,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
CD8 Naive,320,48,0.746031746031746,0.9791666666666666,0.8468468468468469,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
CD8 TCM,77,34,0.35714285714285715,0.4411764705882353,0.39473684210526316,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
CD8 TEM,246,147,0.7839506172839507,0.8639455782312925,0.8220064724919094,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
Eryth,144,86,0.7454545454545455,0.47674418604651164,0.5815602836879432,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
ILC,65,98,0.5555555555555556,0.15306122448979592,0.24,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
MAIT,356,24,0.4418604651162791,0.7916666666666666,0.5671641791044776,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
NK,760,251,0.916058394160584,1.0,0.9561904761904761,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
NK_CD56bright,35,30,1.0,0.8666666666666667,0.9285714285714286,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
Treg,241,59,0.7692307692307693,0.1694915254237288,0.2777777777777778,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
cDC2,135,125,0.952755905511811,0.968,0.9603174603174603,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
dnT,76,14,0.0,0.0,0.0,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
gdT,59,71,0.7391304347826086,0.23943661971830985,0.3617021276595745,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
pDC,24,23,0.9583333333333334,1.0,0.9787234042553191,pbmc10k_to_pbmc5k,scvi_matched,2,l2,high_confidence_shared
B intermediate,68,66,0.6935483870967742,0.6515151515151515,0.671875,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
B memory,99,79,0.7441860465116279,0.810126582278481,0.7757575757575758,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
B naive,315,128,0.984,0.9609375,0.9723320158102767,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
CD14 Mono,1237,937,0.9176470588235294,0.9989327641408752,0.9565661727133368,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
CD16 Mono,103,131,1.0,0.8549618320610687,0.9218106995884774,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
CD4 CTL,24,41,1.0,0.12195121951219512,0.21739130434782608,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
CD4 Naive,795,378,0.7845433255269321,0.8862433862433863,0.8322981366459627,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
CD4 TCM,580,327,0.6270270270270271,0.709480122324159,0.6657101865136298,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
CD4 TEM,281,272,0.6990881458966566,0.8455882352941176,0.7653910149750416,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
CD8 Naive,320,48,0.8679245283018868,0.9583333333333334,0.9108910891089109,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
CD8 TCM,77,34,0.5172413793103449,0.4411764705882353,0.47619047619047616,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
CD8 TEM,246,147,0.8625954198473282,0.7687074829931972,0.8129496402877698,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
Eryth,144,86,0.5396825396825397,0.3953488372093023,0.4563758389261745,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
ILC,65,98,0.7391304347826086,0.17346938775510204,0.2809917355371901,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
MAIT,356,24,0.29577464788732394,0.875,0.4421052631578947,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
NK,760,251,0.922509225092251,0.9960159362549801,0.9578544061302682,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
NK_CD56bright,35,30,0.95,0.6333333333333333,0.76,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
Treg,241,59,0.8571428571428571,0.2033898305084746,0.3287671232876712,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
cDC2,135,125,0.9910714285714286,0.888,0.9367088607594937,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
dnT,76,14,0.6666666666666666,0.14285714285714285,0.23529411764705882,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
gdT,59,71,0.631578947368421,0.16901408450704225,0.26666666666666666,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
pDC,24,23,0.9583333333333334,1.0,0.9787234042553191,pbmc10k_to_pbmc5k,totalvi,2,l2,high_confidence_shared
B,493,274,1.0,0.9963503649635036,0.9981718464351006,pbmc10k_to_pbmc5k,scvi_matched,2,l1,high_confidence_shared
CD4 T,1929,1079,0.9079307201458523,0.9230769230769231,0.9154411764705882,pbmc10k_to_pbmc5k,scvi_matched,2,l1,high_confidence_shared
CD8 T,653,236,0.6891025641025641,0.9110169491525424,0.7846715328467153,pbmc10k_to_pbmc5k,scvi_matched,2,l1,high_confidence_shared
DC,165,151,0.9930555555555556,0.9470198675496688,0.9694915254237289,pbmc10k_to_pbmc5k,scvi_matched,2,l1,high_confidence_shared
Mono,1340,1068,0.9543010752688172,0.9971910112359551,0.9752747252747253,pbmc10k_to_pbmc5k,scvi_matched,2,l1,high_confidence_shared
NK,812,290,0.9288025889967637,0.9896551724137931,0.9582637729549248,pbmc10k_to_pbmc5k,scvi_matched,2,l1,high_confidence_shared
other,219,185,0.8108108108108109,0.32432432432432434,0.46332046332046334,pbmc10k_to_pbmc5k,scvi_matched,2,l1,high_confidence_shared
other T,491,109,0.6417910447761194,0.3944954128440367,0.48863636363636365,pbmc10k_to_pbmc5k,scvi_matched,2,l1,high_confidence_shared
B,493,274,1.0,1.0,1.0,pbmc10k_to_pbmc5k,totalvi,2,l1,high_confidence_shared
CD4 T,1929,1079,0.9066427289048474,0.9360518999073216,0.9211126310989513,pbmc10k_to_pbmc5k,totalvi,2,l1,high_confidence_shared
CD8 T,653,236,0.9197860962566845,0.7288135593220338,0.8132387706855791,pbmc10k_to_pbmc5k,totalvi,2,l1,high_confidence_shared
DC,165,151,0.9928057553956835,0.9139072847682119,0.9517241379310345,pbmc10k_to_pbmc5k,totalvi,2,l1,high_confidence_shared
Mono,1340,1068,0.9392070484581497,0.99812734082397,0.9677712210621879,pbmc10k_to_pbmc5k,totalvi,2,l1,high_confidence_shared
NK,812,290,0.939799331103679,0.9689655172413794,0.9541595925297114,pbmc10k_to_pbmc5k,totalvi,2,l1,high_confidence_shared
other,219,185,0.8260869565217391,0.20540540540540542,0.329004329004329,pbmc10k_to_pbmc5k,totalvi,2,l1,high_confidence_shared
other T,491,109,0.3484848484848485,0.6330275229357798,0.4495114006514658,pbmc10k_to_pbmc5k,totalvi,2,l1,high_confidence_shared
B intermediate,68,66,0.7735849056603774,0.6212121212121212,0.6890756302521008,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
B memory,99,79,0.7701149425287356,0.8481012658227848,0.8072289156626506,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
B naive,315,128,0.8811188811188811,0.984375,0.9298892988929889,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
CD14 Mono,1237,937,0.9508196721311475,0.9903948772678762,0.9702038682697334,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
CD16 Mono,103,131,0.9833333333333333,0.9007633587786259,0.9402390438247012,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
CD4 CTL,24,41,1.0,0.07317073170731707,0.13636363636363635,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
CD4 Naive,795,378,0.8445945945945946,0.6613756613756614,0.7418397626112759,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
CD4 TCM,580,327,0.5246913580246914,0.7798165137614679,0.6273062730627307,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
CD4 TEM,281,272,0.7326007326007326,0.7352941176470589,0.7339449541284404,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
CD8 Naive,320,48,0.6714285714285714,0.9791666666666666,0.7966101694915254,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
CD8 TCM,77,34,0.3103448275862069,0.2647058823529412,0.2857142857142857,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
CD8 TEM,246,147,0.816,0.6938775510204082,0.75,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
Eryth,144,86,0.704225352112676,0.5813953488372093,0.6369426751592356,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
ILC,65,98,0.5454545454545454,0.24489795918367346,0.3380281690140845,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
MAIT,356,24,0.3888888888888889,0.875,0.5384615384615384,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
NK,760,251,0.9087591240875912,0.9920318725099602,0.9485714285714286,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
NK_CD56bright,35,30,0.8666666666666667,0.8666666666666667,0.8666666666666667,pbmc10k_to_pbmc5k,scvi_matched,3,l2,high_confidence_shared
