direction,model,model_seed,source_n,target_n,label_level,n_shared_classes,target_coverage,classifier,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_eval_source,n_eval_target,source_embedding_used,target_asw,target_knn_purity_15,target_leiden_ari,target_leiden_nmi,dataset_asw,latent_spaces_aligned_by
pbmc10k_to_pbmc5k,totalvi,2,6855,3994,l1,8,1.0,knn30,0.8767688679245284,0.7418677864312924,0.7434928688617034,0.8595323136424421,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,3,6855,3994,l2,22,0.9932193396226415,logreg,0.8026120510537251,0.6734256286201439,0.6651163604208098,0.7933444580077756,6040,3369,adapted_model_post_adaptation,0.1040829271078109,0.7203223270440251,0.5333346478210724,0.7056980162640476,0.026610005646944046,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,scvi_matched,3,6855,3994,l2,22,0.9932193396226415,knn15,0.7773820124666073,0.6019300122940304,0.58512325767554,0.7520582976606532,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,3,6855,3994,l2,22,0.9932193396226415,knn30,0.780053428317008,0.6003769923414329,0.582164965196016,0.7507324745365285,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,3,6855,3994,l2,22,0.9932193396226415,logreg,0.8150786583555951,0.6394102204152192,0.6402745954658015,0.7922401397736721,6040,3369,adapted_model_post_adaptation,0.0894214957952499,0.734257075471698,0.5460657241464122,0.716572798140812,-0.0007603571866638958,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,totalvi,3,6855,3994,l2,22,0.9932193396226415,knn15,0.780053428317008,0.5893893154200497,0.5853887876069332,0.7520295837284008,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,3,6855,3994,l2,22,0.9932193396226415,knn30,0.7705550608489166,0.5675619166371789,0.5612694094888026,0.7376663300805779,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,3,6855,3994,l1,8,1.0,logreg,0.910377358490566,0.815909203077936,0.8220880758999183,0.9023472147156707,6102,3392,adapted_model_post_adaptation,0.1957866698503494,0.8612617924528302,0.4828134708166154,0.665759091125558,0.026610005646944046,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,scvi_matched,3,6855,3994,l1,8,1.0,knn15,0.8956367924528302,0.7692185932398685,0.7860115419317966,0.879947558226757,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,3,6855,3994,l1,8,1.0,knn30,0.8977004716981132,0.7666530410498325,0.7868775572697044,0.8818399617745802,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,3,6855,3994,l1,8,1.0,logreg,0.9174528301886793,0.8153091476693641,0.8311399033645547,0.908874097523598,6102,3392,adapted_model_post_adaptation,0.2024130076169967,0.875432389937107,0.4830849694612086,0.6712779955057793,-0.0007603571866638958,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,totalvi,3,6855,3994,l1,8,1.0,knn15,0.8979952830188679,0.7784368964098064,0.7907172347310552,0.8845478022476173,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,3,6855,3994,l1,8,1.0,knn30,0.894752358490566,0.7679176959729257,0.7798806435984453,0.8793016233231568,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,4,6855,3994,l2,22,0.9932193396226415,logreg,0.7960819234194123,0.6597368137327535,0.6577255382600048,0.7887631938407204,6040,3369,adapted_model_post_adaptation,0.1010067984461784,0.7145440251572326,0.6573407843086215,0.7252057752292652,0.026522327214479446,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,scvi_matched,4,6855,3994,l2,22,0.9932193396226415,knn15,0.7500742059958445,0.5814250802879406,0.5590668027979799,0.7264238319626896,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,4,6855,3994,l2,22,0.9932193396226415,knn30,0.7435440783615316,0.5619180553925566,0.5313745209919264,0.7132011937363149,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,4,6855,3994,l2,22,0.9932193396226415,logreg,0.8032056990204809,0.6557095596880953,0.6678916332453284,0.7918650687847187,6040,3369,adapted_model_post_adaptation,0.0972781255841255,0.733431603773585,0.5180396194120768,0.7166306484432658,-0.002577417530119419,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,totalvi,4,6855,3994,l2,22,0.9932193396226415,knn15,0.7794597803502523,0.6001035497033695,0.5945438194759528,0.7569209842662095,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,4,6855,3994,l2,22,0.9932193396226415,knn30,0.7658058771148709,0.5765865235325776,0.5662213111132828,0.7386647422787654,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,4,6855,3994,l1,8,1.0,logreg,0.9065448113207547,0.8167552542482208,0.8207096081313318,0.900138532588641,6102,3392,adapted_model_post_adaptation,0.2051548212766647,0.8589033018867924,0.5818506032367613,0.688490623706652,0.026522327214479446,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,scvi_matched,4,6855,3994,l1,8,1.0,knn15,0.8794221698113207,0.7587945549328915,0.7636352715896859,0.8658940359963543,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,4,6855,3994,l1,8,1.0,knn30,0.8732311320754716,0.7417316159539431,0.7440600441482442,0.8562367322508619,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,4,6855,3994,l1,8,1.0,logreg,0.9094929245283019,0.8057186454368142,0.819053780887072,0.901061296997194,6102,3392,adapted_model_post_adaptation,0.2120213806629181,0.8753930817610064,0.4895510857427652,0.6849395809901778,-0.002577417530119419,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,totalvi,4,6855,3994,l1,8,1.0,knn15,0.8959316037735849,0.7717607273187437,0.7851958807923514,0.8822011633870983,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,4,6855,3994,l1,8,1.0,knn30,0.8867924528301887,0.7559160392857805,0.7660744041837079,0.8717343518619944,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,0,3994,6855,l2,21,0.9773844641101278,logreg,0.7811871227364185,0.6441514414553172,0.6402484093156036,0.763553363529872,3355,5964,adapted_model_post_adaptation,0.1273172944784164,0.7468698787282857,0.66880687074594,0.7627921176376743,0.08525757491588593,scArches: source and target both encoded by the post-adaptation model
pbmc5k_to_pbmc10k,scvi_matched,0,3994,6855,l2,21,0.9773844641101278,knn15,0.7075788061703555,0.5260345106785359,0.5120022878854283,0.6549316280664637,3355,5964,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,0,3994,6855,l2,21,0.9773844641101278,knn30,0.7050637156270959,0.5097744689332249,0.4943504796844972,0.6462590483564409,3355,5964,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,totalvi,0,3994,6855,l2,21,0.9773844641101278,logreg,0.7845405767940979,0.6269622332487363,0.6157476799755611,0.7621321542809399,3355,5964,adapted_model_post_adaptation,0.150224819779396,0.7951382060526604,0.6797613850760447,0.7780312528717157,0.06588505208492279,scArches: source and target both encoded by the post-adaptation model
pbmc5k_to_pbmc10k,totalvi,0,3994,6855,l2,21,0.9773844641101278,knn15,0.7468142186452046,0.5742482000711916,0.5667915184402866,0.7063980968579361,3355,5964,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,totalvi,0,3994,6855,l2,21,0.9773844641101278,knn30,0.7426224010731053,0.541651106670969,0.5253066962034237,0.6903689701425466,3355,5964,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,0,3994,6855,l1,8,1.0,logreg,0.8656178302196001,0.7643320569898133,0.8027547691537762,0.8505855957075484,3392,6102,adapted_model_post_adaptation,0.2417406737804412,0.8483011034633453,0.5970145499704465,0.716203263617301,0.08525757491588593,scArches: source and target both encoded by the post-adaptation model
pbmc5k_to_pbmc10k,scvi_matched,0,3994,6855,l1,8,1.0,knn15,0.8182563094067519,0.7015761819914121,0.7226225913641101,0.7900436970694549,3392,6102,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,0,3994,6855,l1,8,1.0,knn30,0.8159619796787938,0.692765857172841,0.7127439649954894,0.784063141162875,3392,6102,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,totalvi,0,3994,6855,l1,8,1.0,logreg,0.9196984595214683,0.8439783605222605,0.8770161907588205,0.9159628813807615,3392,6102,adapted_model_post_adaptation,0.2241931855678558,0.9016388069485416,0.6065468449659337,0.7393543276672934,0.06588505208492279,scArches: source and target both encoded by the post-adaptation model
pbmc5k_to_pbmc10k,totalvi,0,3994,6855,l1,8,1.0,knn15,0.8603736479842674,0.7710626481287562,0.8079757379373923,0.8477612431615537,3392,6102,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,totalvi,0,3994,6855,l1,8,1.0,knn30,0.8582431989511635,0.7520793909756421,0.7974247163380039,0.8421645622480893,3392,6102,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,1,3994,6855,l2,21,0.9773844641101278,logreg,0.75,0.5753536772965012,0.5707669476871889,0.7164324414817353,3355,5964,adapted_model_post_adaptation,0.127569705247879,0.7415601442150115,0.6425831237865544,0.7458931379044328,0.09197968989610672,scArches: source and target both encoded by the post-adaptation model
pbmc5k_to_pbmc10k,scvi_matched,1,3994,6855,l2,21,0.9773844641101278,knn15,0.7012072434607646,0.4915834363870106,0.4757626944038663,0.642567117614071,3355,5964,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,1,3994,6855,l2,21,0.9773844641101278,knn30,0.6965124077800134,0.47369672908524474,0.45484779838975986,0.6336785901447535,3355,5964,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,totalvi,1,3994,6855,l2,21,0.9773844641101278,logreg,0.7251844399731724,0.6201258724326871,0.6101999641645781,0.7296253878771141,3355,5964,adapted_model_post_adaptation,0.1514395475387573,0.7979460286244947,0.7377564071305808,0.7953575069554593,0.07238095253705978,scArches: source and target both encoded by the post-adaptation model
pbmc5k_to_pbmc10k,totalvi,1,3994,6855,l2,21,0.9773844641101278,knn15,0.783702213279678,0.5995891725410447,0.6088934073115129,0.757953710115519,3355,5964,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,totalvi,1,3994,6855,l2,21,0.9773844641101278,knn30,0.7617370892018779,0.56223674355107,0.5655009231368675,0.7230163266660458,3355,5964,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,1,3994,6855,l1,8,1.0,logreg,0.8243198951163553,0.6866073842191904,0.70563566585784,0.790047525303899,3392,6102,adapted_model_post_adaptation,0.2411143332719802,0.8439855784988528,0.5762171902173215,0.6977263778002127,0.09197968989610672,scArches: source and target both encoded by the post-adaptation model
pbmc5k_to_pbmc10k,scvi_matched,1,3994,6855,l1,8,1.0,knn15,0.803834808259587,0.6643666504450858,0.6756046340253345,0.7614303234770482,3392,6102,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,1,3994,6855,l1,8,1.0,knn30,0.8023598820058997,0.6576101745406779,0.667265965885017,0.7574245668474812,3392,6102,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,totalvi,1,3994,6855,l1,8,1.0,logreg,0.8592264831202884,0.7739026002362621,0.7850442382306153,0.8536830024703612,3392,6102,adapted_model_post_adaptation,0.2285564541816711,0.905178629957391,0.652011552433144,0.7586667239933651,0.07238095253705978,scArches: source and target both encoded by the post-adaptation model
pbmc5k_to_pbmc10k,totalvi,1,3994,6855,l1,8,1.0,knn15,0.877745001638807,0.7719083777742622,0.8080546986629931,0.8649539123959794,3392,6102,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,totalvi,1,3994,6855,l1,8,1.0,knn30,0.8641429039659129,0.7436831010430514,0.7829224341623634,0.8471140110677009,3392,6102,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,2,3994,6855,l2,21,0.9773844641101278,logreg,0.778504359490275,0.6220224837240542,0.6114909059169635,0.7490534772805836,3355,5964,adapted_model_post_adaptation,0.1339494287967682,0.7625477985359991,0.6424249164131111,0.7472623515507143,0.08683307468891144,scArches: source and target both encoded by the post-adaptation model
pbmc5k_to_pbmc10k,scvi_matched,2,3994,6855,l2,21,0.9773844641101278,knn15,0.721830985915493,0.5351572713026835,0.5168927026978923,0.6701644122014858,3355,5964,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,2,3994,6855,l2,21,0.9773844641101278,knn30,0.7231723675385647,0.5155776726220387,0.499099765230348,0.6651767269449159,3355,5964,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,totalvi,2,3994,6855,l2,21,0.9773844641101278,logreg,0.795439302481556,0.7004381766930136,0.6869075207835412,0.7963653892366261,3355,5964,adapted_model_post_adaptation,0.1387722939252853,0.7983502676718016,0.7455326266800503,0.8013242511289067,0.07497566938400269,scArches: source and target both encoded by the post-adaptation model
pbmc5k_to_pbmc10k,totalvi,2,3994,6855,l2,21,0.9773844641101278,knn15,0.756036217303823,0.5922193790322839,0.5985642348961135,0.7275029049959791,3355,5964,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,totalvi,2,3994,6855,l2,21,0.9773844641101278,knn30,0.7510060362173038,0.5605909527577474,0.5576243808598809,0.7044357864703059,3355,5964,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,2,3994,6855,l1,8,1.0,logreg,0.8392330383480826,0.7297763468695053,0.755450518696078,0.8151486363779707,3392,6102,adapted_model_post_adaptation,0.2413112074136734,0.8659892931279362,0.575447887673663,0.7096596349595587,0.08683307468891144,scArches: source and target both encoded by the post-adaptation model
pbmc5k_to_pbmc10k,scvi_matched,2,3994,6855,l1,8,1.0,knn15,0.8044903310390036,0.6869569777798583,0.6877212438528026,0.7622517266171656,3392,6102,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,2,3994,6855,l1,8,1.0,knn30,0.8085873484103573,0.6855799573796706,0.6924577993436203,0.7660221497183464,3392,6102,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,totalvi,2,3994,6855,l1,8,1.0,logreg,0.8992133726647001,0.8716237099817656,0.8613939328537898,0.9008174617458433,3392,6102,adapted_model_post_adaptation,0.2261757999658584,0.9029280017480608,0.655183031108012,0.7649304760436393,0.07497566938400269,scArches: source and target both encoded by the post-adaptation model
pbmc5k_to_pbmc10k,totalvi,2,3994,6855,l1,8,1.0,knn15,0.8498852835136022,0.7601493418172178,0.7903855510880757,0.834391967768043,3392,6102,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,totalvi,2,3994,6855,l1,8,1.0,knn30,0.8425106522451655,0.735413548601425,0.7724909491442188,0.8206532492210393,3392,6102,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,3,3994,6855,l2,21,0.9773844641101278,logreg,0.755365526492287,0.5894752996994054,0.5844995089746119,0.7243573817067454,3355,5964,adapted_model_post_adaptation,0.1400384157896042,0.7620561564514369,0.5852757632461781,0.7511184854396099,0.07610422372817993,scArches: source and target both encoded by the post-adaptation model
pbmc5k_to_pbmc10k,scvi_matched,3,3994,6855,l2,21,0.9773844641101278,knn15,0.7069081153588196,0.4956949353392483,0.4858071120343741,0.6546296892385735,3355,5964,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,3,3994,6855,l2,21,0.9773844641101278,knn30,0.7013749161636486,0.4820326306326048,0.46979372777927497,0.6447434634316178,3355,5964,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,totalvi,3,3994,6855,l2,21,0.9773844641101278,logreg,0.8197518443997317,0.6820096191360213,0.6714806524889094,0.8106045132259164,3355,5964,adapted_model_post_adaptation,0.1368201822042465,0.7911176663389052,0.738057076566506,0.7945035387996351,0.06558063626289368,scArches: source and target both encoded by the post-adaptation model
pbmc5k_to_pbmc10k,totalvi,3,3994,6855,l2,21,0.9773844641101278,knn15,0.7803487592219986,0.6041569888967805,0.6178578733091884,0.7513156344053784,3355,5964,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,totalvi,3,3994,6855,l2,21,0.9773844641101278,knn30,0.7533534540576794,0.5494807512140005,0.5526871684358946,0.7105861670893154,3355,5964,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,3,3994,6855,l1,8,1.0,logreg,0.8313667649950836,0.7145581232481919,0.7420794941224658,0.8057823196426677,3392,6102,adapted_model_post_adaptation,0.2541825175285339,0.8647000983284169,0.5191201576805943,0.6931359932291515,0.07610422372817993,scArches: source and target both encoded by the post-adaptation model
pbmc5k_to_pbmc10k,scvi_matched,3,3994,6855,l1,8,1.0,knn15,0.8051458538184202,0.6828286897865435,0.6939715277810805,0.7657144492116472,3392,6102,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,scvi_matched,3,3994,6855,l1,8,1.0,knn30,0.8041625696492953,0.6777844489445197,0.6895367171778889,0.762917354566325,3392,6102,adapted_model_post_adaptation,,,,,,
pbmc5k_to_pbmc10k,totalvi,3,3994,6855,l1,8,1.0,logreg,0.9347754834480498,0.8740108084479863,0.8923497465826367,0.9320459848617854,3392,6102,adapted_model_post_adaptation,0.2200038731098175,0.8986343275428822,0.6626260892557989,0.7687458388884709,0.06558063626289368,scArches: source and target both encoded by the post-adaptation model
pbmc5k_to_pbmc10k,totalvi,3,3994,6855,l1,8,1.0,knn15,0.8757784333005572,0.7799293355958654,0.8211508236963103,0.8631762970118261,3392,6102,adapted_model_post_adaptation,,,,,,
