true,predicted,normalized,direction,model,seed,label_level
CD14 Mono,CD8 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD16 Mono,CD8 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 CTL,CD8 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 Naive,CD8 Naive,0.007936507936507936,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TCM,CD8 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TEM,CD8 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 Naive,CD8 Naive,0.7916666666666666,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TCM,CD8 Naive,0.058823529411764705,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TEM,CD8 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Eryth,CD8 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
ILC,CD8 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
MAIT,CD8 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK,CD8 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK_CD56bright,CD8 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Treg,CD8 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
cDC2,CD8 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
dnT,CD8 Naive,0.07142857142857142,pbmc10k_to_pbmc5k,scvi_matched,0,l2
gdT,CD8 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
pDC,CD8 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B intermediate,CD8 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B memory,CD8 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B naive,CD8 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD14 Mono,CD8 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD16 Mono,CD8 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 CTL,CD8 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 Naive,CD8 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TCM,CD8 TCM,0.0061162079510703364,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TEM,CD8 TCM,0.022058823529411766,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 Naive,CD8 TCM,0.020833333333333332,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TCM,CD8 TCM,0.4117647058823529,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TEM,CD8 TCM,0.047619047619047616,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Eryth,CD8 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
ILC,CD8 TCM,0.01020408163265306,pbmc10k_to_pbmc5k,scvi_matched,0,l2
MAIT,CD8 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK,CD8 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK_CD56bright,CD8 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Treg,CD8 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
cDC2,CD8 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
dnT,CD8 TCM,0.07142857142857142,pbmc10k_to_pbmc5k,scvi_matched,0,l2
gdT,CD8 TCM,0.014084507042253521,pbmc10k_to_pbmc5k,scvi_matched,0,l2
pDC,CD8 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B intermediate,CD8 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B memory,CD8 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B naive,CD8 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD14 Mono,CD8 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD16 Mono,CD8 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 CTL,CD8 TEM,0.07317073170731707,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 Naive,CD8 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TCM,CD8 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TEM,CD8 TEM,0.014705882352941176,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 Naive,CD8 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TCM,CD8 TEM,0.029411764705882353,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TEM,CD8 TEM,0.6462585034013606,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Eryth,CD8 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
ILC,CD8 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
MAIT,CD8 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK,CD8 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK_CD56bright,CD8 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Treg,CD8 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
cDC2,CD8 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
dnT,CD8 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
gdT,CD8 TEM,0.056338028169014086,pbmc10k_to_pbmc5k,scvi_matched,0,l2
pDC,CD8 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B intermediate,Eryth,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B memory,Eryth,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B naive,Eryth,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD14 Mono,Eryth,0.0032017075773745998,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD16 Mono,Eryth,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 CTL,Eryth,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 Naive,Eryth,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TCM,Eryth,0.027522935779816515,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TEM,Eryth,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 Naive,Eryth,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TCM,Eryth,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TEM,Eryth,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Eryth,Eryth,0.45348837209302323,pbmc10k_to_pbmc5k,scvi_matched,0,l2
ILC,Eryth,0.04081632653061224,pbmc10k_to_pbmc5k,scvi_matched,0,l2
MAIT,Eryth,0.041666666666666664,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK,Eryth,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK_CD56bright,Eryth,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Treg,Eryth,0.05084745762711865,pbmc10k_to_pbmc5k,scvi_matched,0,l2
cDC2,Eryth,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
dnT,Eryth,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
gdT,Eryth,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
pDC,Eryth,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B intermediate,ILC,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B memory,ILC,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B naive,ILC,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD14 Mono,ILC,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD16 Mono,ILC,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 CTL,ILC,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 Naive,ILC,0.005291005291005291,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TCM,ILC,0.01529051987767584,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TEM,ILC,0.011029411764705883,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 Naive,ILC,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TCM,ILC,0.058823529411764705,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TEM,ILC,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Eryth,ILC,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
ILC,ILC,0.22448979591836735,pbmc10k_to_pbmc5k,scvi_matched,0,l2
MAIT,ILC,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK,ILC,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
