experiment,fold,model,seed,n_cells,macro_f1,accuracy,balanced_accuracy,error_prevalence,error_auroc,error_auprc,nll,brier,ece_equal_frequency,ece_equal_width,full_aurc,paurc_0.5_1.0,e_aurc,aurc_star_perfect_ranking,risk_100,risk_90,risk_80,risk_70,risk_60,risk_50,latent_error_auroc,latent_error_auprc,table_block,n_seeds,macro_f1_mean,macro_f1_sd,nll_mean,nll_sd,brier_mean,brier_sd,ece_equal_frequency_mean,ece_equal_frequency_sd,full_aurc_historical_column_mean,full_aurc_historical_column_sd,full_aurc_from_curve,paurc_0.5_1.0_from_curve,note,accuracy_mean,balanced_accuracy_mean,error_prevalence_mean,error_auroc_mean,error_auprc_mean,latent_error_auroc_mean,ece_equal_width_mean,full_aurc_mean,full_aurc_sd
Lawlor,1.0,scvi_matched,0.0,1027.0,0.8042880863376992,0.7643622200584226,0.7937261353725376,0.2356377799415774,0.8230931199663105,0.5138324568813262,0.5443319082260132,0.3095845580101013,0.0207553716864302,0.0179852037141942,0.0764661281226811,0.1430653619285803,0.0461081111602732,0.0303580169624079,0.2356377799415774,0.198051948051948,0.1605839416058394,0.1237830319888734,0.0876623376623376,0.0505836575875486,0.631510238458704,0.3122626952768602,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,1.0,scvi_matched,1.0,1027.0,0.8071182731988237,0.7721518987341772,0.7962417515895689,0.2278481012658227,0.8143100419266875,0.5025338407462222,0.5589579343795776,0.3129035830497741,0.0276541781866562,0.022101787188269,0.0758126896918322,0.1403220145939644,0.047512096798078,0.0283005928937542,0.2278481012658227,0.1937229437229437,0.1532846715328467,0.1265646731571627,0.0876623376623376,0.0583657587548638,0.6560933811879587,0.3318929809962229,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,1.0,scvi_matched,2.0,1027.0,0.7991067284089322,0.7585199610516066,0.7879647505360082,0.2414800389483933,0.8163433268458322,0.5188805958607505,0.5765726566314697,0.3216325044631958,0.0190681559491645,0.0141275204725367,0.0814229310432847,0.1508984623020697,0.0494697929791235,0.0319531380641611,0.2414800389483934,0.2045454545454545,0.1715328467153284,0.1265646731571627,0.0925324675324675,0.0661478599221789,0.5653805540602095,0.2890101303232788,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,1.0,scvi_matched,3.0,1027.0,0.8236314928723159,0.7916260954235638,0.8118819400282425,0.2083739045764362,0.7955708061753515,0.4445112924732959,0.5402618050575256,0.3021479845046997,0.0333605218305095,0.033625901644975,0.0712354792829317,0.1354956821198606,0.0477363467841641,0.0234991324987676,0.2083739045764362,0.1785714285714286,0.1532846715328467,0.125173852573018,0.0925324675324675,0.0505836575875486,0.6761159200377049,0.3257599738617092,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,1.0,scvi_matched,4.0,1027.0,0.8102794646874353,0.7760467380720545,0.7955688753476277,0.2239532619279454,0.8070972669248814,0.5061095546769099,0.5645822286605835,0.3173330724239349,0.0344853281916755,0.0359435178694962,0.0766360601379029,0.1400098308457945,0.0493346602106247,0.0273013999272781,0.2239532619279455,0.1861471861471861,0.1581508515815085,0.1196105702364395,0.0957792207792207,0.0642023346303501,0.6390649719055153,0.2892498751350337,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,1.0,scvi_matched,5.0,1027.0,0.7996434431102202,0.7663096397273612,0.7854221678040693,0.2336903602726387,0.804277848369335,0.5045998605918286,0.5690608620643616,0.3191972374916076,0.0217769442828047,0.0219017707152399,0.0813801964751115,0.1499370501397726,0.0515439464616723,0.0298362500134391,0.2336903602726388,0.1991341991341991,0.1654501216545012,0.1307371349095967,0.099025974025974,0.0719844357976653,0.6259371029224905,0.2991322657393503,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,1.0,scvi_matched,6.0,1027.0,0.8063242599997654,0.7682570593963,0.7992401074442135,0.2317429406037001,0.8121065916861041,0.5306623279484066,0.558085560798645,0.3128265142440796,0.0223104377742403,0.0250017611634533,0.0784415423958128,0.1448384375305569,0.0491221103574134,0.0293194320383993,0.2317429406037,0.1948051948051947,0.1618004866180048,0.125173852573018,0.0925324675324675,0.0661478599221789,0.5481196280793686,0.2390829370246517,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,1.0,scvi_matched,7.0,1027.0,0.8136540181002806,0.7770204479065238,0.8035987800209446,0.2229795520934761,0.8029462302043318,0.4777358550910758,0.5524149537086487,0.3117810785770416,0.022235091438312,0.0227960852186078,0.0763327027066429,0.142205552184929,0.0492780428822514,0.0270546598243914,0.2229795520934762,0.1926406926406926,0.1593673965936739,0.1279554937413073,0.0892857142857143,0.0622568093385214,0.635365706843528,0.2988040646087135,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,1.0,scvi_matched,8.0,1027.0,0.8177383340826756,0.7818889970788705,0.8096713713058142,0.2181110029211295,0.8087806884895927,0.4671101902208377,0.550366222858429,0.3067647814750671,0.0304821449628475,0.0195661299474747,0.0725716828758736,0.1367143759527781,0.0467324512351685,0.025839231640705,0.2181110029211295,0.1872294372294372,0.1520681265206812,0.1223922114047287,0.0941558441558441,0.0466926070038909,0.6312711261341398,0.2971291940120381,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,1.0,scvi_matched,9.0,1027.0,0.8039245466852235,0.7711781888997079,0.7945919956802954,0.2288218111002921,0.804959166129379,0.4859748855445863,0.5618918538093567,0.3175277709960937,0.0275724715360067,0.0207887943380647,0.0788060666434941,0.1467744379229612,0.0502526096662512,0.0285534569772429,0.2288218111002921,0.1958874458874459,0.1581508515815085,0.1307371349095967,0.0974025974025973,0.0583657587548638,0.6266118633139909,0.280977282669314,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
