/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_csv from `anndata` is deprecated. Import anndata.io.read_csv instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_excel from `anndata` is deprecated. Import anndata.io.read_excel instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_hdf from `anndata` is deprecated. Import anndata.io.read_hdf instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_loom from `anndata` is deprecated. Import anndata.io.read_loom instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_mtx from `anndata` is deprecated. Import anndata.io.read_mtx instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_text from `anndata` is deprecated. Import anndata.io.read_text instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_umi_tools from `anndata` is deprecated. Import anndata.io.read_umi_tools instead.
  warnings.warn(msg, FutureWarning)
2026-09-10 03:29:38,230 | INFO | phase12a_analysis | direction_A__scvi_matched__subset2__seed04__rep01 macroF1=0.5935 AUROC=0.8477
2026-09-10 03:29:38,597 | INFO | phase12a_analysis | direction_A__totalvi__subset2__seed00 macroF1=0.6206 AUROC=0.8405
2026-09-10 03:29:38,968 | INFO | phase12a_analysis | direction_A__totalvi__subset2__seed00__rep01 macroF1=0.6122 AUROC=0.8316
2026-09-10 03:29:39,372 | INFO | phase12a_analysis | direction_A__totalvi__subset2__seed01 macroF1=0.6223 AUROC=0.8552
2026-09-10 03:29:39,747 | INFO | phase12a_analysis | direction_A__totalvi__subset2__seed01__rep01 macroF1=0.6631 AUROC=0.8357
2026-09-10 03:29:40,142 | INFO | phase12a_analysis | direction_A__totalvi__subset2__seed02 macroF1=0.6012 AUROC=0.8355
2026-09-10 03:29:40,476 | INFO | phase12a_analysis | direction_A__totalvi__subset2__seed02__rep01 macroF1=0.5645 AUROC=0.8369
2026-09-10 03:29:40,818 | INFO | phase12a_analysis | direction_A__totalvi__subset2__seed03 macroF1=0.6121 AUROC=0.8407
2026-09-10 03:29:41,168 | INFO | phase12a_analysis | direction_A__totalvi__subset2__seed03__rep01 macroF1=0.6482 AUROC=0.8367
2026-09-10 03:29:41,546 | INFO | phase12a_analysis | direction_A__totalvi__subset2__seed04 macroF1=0.6056 AUROC=0.8409
2026-09-10 03:29:41,909 | INFO | phase12a_analysis | direction_A__totalvi__subset2__seed04__rep01 macroF1=0.6290 AUROC=0.8270
2026-09-10 03:29:42,218 | INFO | phase12a_analysis | direction_A__scvi_matched__subset3__seed00 macroF1=0.5917 AUROC=0.8414
2026-09-10 03:29:42,519 | INFO | phase12a_analysis | direction_A__scvi_matched__subset3__seed00__rep01 macroF1=0.5851 AUROC=0.8269
2026-09-10 03:29:42,832 | INFO | phase12a_analysis | direction_A__scvi_matched__subset3__seed01 macroF1=0.6205 AUROC=0.8460
2026-09-10 03:29:43,128 | INFO | phase12a_analysis | direction_A__scvi_matched__subset3__seed01__rep01 macroF1=0.6078 AUROC=0.8413
2026-09-10 03:29:43,428 | INFO | phase12a_analysis | direction_A__scvi_matched__subset3__seed02 macroF1=0.5912 AUROC=0.8162
2026-09-10 03:29:43,733 | INFO | phase12a_analysis | direction_A__scvi_matched__subset3__seed02__rep01 macroF1=0.5918 AUROC=0.8297
2026-09-10 03:29:44,077 | INFO | phase12a_analysis | direction_A__scvi_matched__subset3__seed03 macroF1=0.6067 AUROC=0.8366
2026-09-10 03:29:44,376 | INFO | phase12a_analysis | direction_A__scvi_matched__subset3__seed03__rep01 macroF1=0.5614 AUROC=0.8432
2026-09-10 03:29:44,715 | INFO | phase12a_analysis | direction_A__scvi_matched__subset3__seed04 macroF1=0.5942 AUROC=0.8241
