2026-09-10 02:34:10,485 | INFO | phase12a | built source subset 3 (n=3994)
2026-09-10 02:34:10,485 | INFO | phase12a | === direction_A__scvi_matched__subset3__seed00__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:36:06,730 | INFO | phase12a | direction_A__scvi_matched__subset3__seed00__rep01 done: src_ep=200 q_ep=181 runtime=114s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.07899 ram_avail=5143MB
2026-09-10 02:36:06,879 | INFO | phase12a | === direction_A__totalvi__subset3__seed00__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:39:26,699 | INFO | phase12a | direction_A__totalvi__subset3__seed00__rep01 done: src_ep=200 q_ep=200 runtime=197s drift_mean=0.015686 integrity=0.00e+00 u_latent=0.03671 ram_avail=5172MB
2026-09-10 02:39:26,845 | INFO | phase12a | === direction_A__scvi_matched__subset3__seed01__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:41:26,098 | INFO | phase12a | direction_A__scvi_matched__subset3__seed01__rep01 done: src_ep=200 q_ep=200 runtime=117s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09655 ram_avail=5120MB
2026-09-10 02:41:26,249 | INFO | phase12a | === direction_A__totalvi__subset3__seed01__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:44:45,170 | INFO | phase12a | direction_A__totalvi__subset3__seed01__rep01 done: src_ep=200 q_ep=200 runtime=196s drift_mean=0.017350 integrity=0.00e+00 u_latent=0.03221 ram_avail=5122MB
2026-09-10 02:44:45,321 | INFO | phase12a | === direction_A__scvi_matched__subset3__seed02__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:46:47,193 | INFO | phase12a | direction_A__scvi_matched__subset3__seed02__rep01 done: src_ep=200 q_ep=200 runtime=120s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09119 ram_avail=5131MB
2026-09-10 02:46:47,342 | INFO | phase12a | === direction_A__totalvi__subset3__seed02__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:50:07,136 | INFO | phase12a | direction_A__totalvi__subset3__seed02__rep01 done: src_ep=200 q_ep=200 runtime=197s drift_mean=0.014732 integrity=0.00e+00 u_latent=0.03475 ram_avail=5131MB
2026-09-10 02:50:07,286 | INFO | phase12a | === direction_A__scvi_matched__subset3__seed03__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:52:07,878 | INFO | phase12a | direction_A__scvi_matched__subset3__seed03__rep01 done: src_ep=200 q_ep=200 runtime=119s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.11261 ram_avail=5141MB
2026-09-10 02:52:08,022 | INFO | phase12a | === direction_A__totalvi__subset3__seed03__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:55:29,136 | INFO | phase12a | direction_A__totalvi__subset3__seed03__rep01 done: src_ep=200 q_ep=200 runtime=198s drift_mean=0.018122 integrity=0.00e+00 u_latent=0.03364 ram_avail=5134MB
2026-09-10 02:55:29,287 | INFO | phase12a | === direction_A__scvi_matched__subset3__seed04__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:57:28,959 | INFO | phase12a | direction_A__scvi_matched__subset3__seed04__rep01 done: src_ep=200 q_ep=200 runtime=118s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09414 ram_avail=5120MB
2026-09-10 02:57:29,107 | INFO | phase12a | === direction_A__totalvi__subset3__seed04__rep01 (source n=3994 target n=3994) ===
2026-09-10 03:00:53,739 | INFO | phase12a | direction_A__totalvi__subset3__seed04__rep01 done: src_ep=200 q_ep=200 runtime=202s drift_mean=0.020447 integrity=0.00e+00 u_latent=0.03419 ram_avail=5146MB
2026-09-10 03:00:54,073 | INFO | phase12a | built source subset 4 (n=3994)
2026-09-10 03:00:54,073 | INFO | phase12a | === direction_A__scvi_matched__subset4__seed00__rep01 (source n=3994 target n=3994) ===
2026-09-10 03:02:58,401 | INFO | phase12a | direction_A__scvi_matched__subset4__seed00__rep01 done: src_ep=200 q_ep=200 runtime=122s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.11293 ram_avail=5109MB
2026-09-10 03:02:58,555 | INFO | phase12a | === direction_A__totalvi__subset4__seed00__rep01 (source n=3994 target n=3994) ===
2026-09-10 03:06:22,700 | INFO | phase12a | direction_A__totalvi__subset4__seed00__rep01 done: src_ep=200 q_ep=200 runtime=201s drift_mean=0.016460 integrity=0.00e+00 u_latent=0.03488 ram_avail=5162MB
2026-09-10 03:06:22,853 | INFO | phase12a | === direction_A__scvi_matched__subset4__seed01__rep01 (source n=3994 target n=3994) ===
2026-09-10 03:08:25,471 | INFO | phase12a | direction_A__scvi_matched__subset4__seed01__rep01 done: src_ep=200 q_ep=200 runtime=121s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.07070 ram_avail=5111MB
2026-09-10 03:08:25,622 | INFO | phase12a | === direction_A__totalvi__subset4__seed01__rep01 (source n=3994 target n=3994) ===
2026-09-10 03:11:44,924 | INFO | phase12a | direction_A__totalvi__subset4__seed01__rep01 done: src_ep=200 q_ep=200 runtime=196s drift_mean=0.017871 integrity=0.00e+00 u_latent=0.03721 ram_avail=5156MB
2026-09-10 03:11:45,073 | INFO | phase12a | === direction_A__scvi_matched__subset4__seed02__rep01 (source n=3994 target n=3994) ===
2026-09-10 03:13:45,835 | INFO | phase12a | direction_A__scvi_matched__subset4__seed02__rep01 done: src_ep=200 q_ep=200 runtime=119s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.07168 ram_avail=5113MB
2026-09-10 03:13:45,991 | INFO | phase12a | === direction_A__totalvi__subset4__seed02__rep01 (source n=3994 target n=3994) ===
2026-09-10 03:17:07,933 | INFO | phase12a | direction_A__totalvi__subset4__seed02__rep01 done: src_ep=200 q_ep=200 runtime=199s drift_mean=0.021734 integrity=0.00e+00 u_latent=0.03660 ram_avail=5162MB
2026-09-10 03:17:08,085 | INFO | phase12a | === direction_A__scvi_matched__subset4__seed03__rep01 (source n=3994 target n=3994) ===
2026-09-10 03:19:11,234 | INFO | phase12a | direction_A__scvi_matched__subset4__seed03__rep01 done: src_ep=200 q_ep=200 runtime=121s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09593 ram_avail=5115MB
2026-09-10 03:19:11,383 | INFO | phase12a | === direction_A__totalvi__subset4__seed03__rep01 (source n=3994 target n=3994) ===
2026-09-10 03:22:33,338 | INFO | phase12a | direction_A__totalvi__subset4__seed03__rep01 done: src_ep=200 q_ep=200 runtime=199s drift_mean=0.015547 integrity=0.00e+00 u_latent=0.03821 ram_avail=5158MB
2026-09-10 03:22:33,482 | INFO | phase12a | === direction_A__scvi_matched__subset4__seed04__rep01 (source n=3994 target n=3994) ===
2026-09-10 03:24:34,095 | INFO | phase12a | direction_A__scvi_matched__subset4__seed04__rep01 done: src_ep=200 q_ep=200 runtime=119s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.10252 ram_avail=5109MB
2026-09-10 03:24:34,246 | INFO | phase12a | === direction_A__totalvi__subset4__seed04__rep01 (source n=3994 target n=3994) ===
2026-09-10 03:27:57,516 | INFO | phase12a | direction_A__totalvi__subset4__seed04__rep01 done: src_ep=200 q_ep=200 runtime=200s drift_mean=0.017867 integrity=0.00e+00 u_latent=0.03698 ram_avail=5162MB
2026-09-10 03:27:57,816 | INFO | phase12a | PHASE 12A finished: 45 completed, 0 failed
