direction,model,model_seed,coverage,n_retained,accuracy,risk,macro_f1,balanced_accuracy
pbmc10k_to_pbmc5k,scvi_matched,4,1.0,3369,0.7960819234194123,0.2039180765805877,0.6577255382600048,0.6597368137327535
pbmc10k_to_pbmc5k,scvi_matched,4,0.9,3032,0.8357519788918206,0.16424802110817938,0.6785660872519297,0.6770643090117908
pbmc10k_to_pbmc5k,scvi_matched,4,0.8,2695,0.8716141001855288,0.12838589981447124,0.6969094070986263,0.6916848187308468
pbmc10k_to_pbmc5k,scvi_matched,4,0.7,2358,0.9113655640373197,0.08863443596268028,0.7260192766658791,0.7103625738202134
pbmc10k_to_pbmc5k,scvi_matched,4,0.6,2021,0.9450766947055913,0.0549233052944087,0.7051658253785903,0.6938545378741304
pbmc10k_to_pbmc5k,scvi_matched,4,0.5,1684,0.9744655581947743,0.025534441805225683,0.7660461756065807,0.7632714681732314
pbmc10k_to_pbmc5k,totalvi,0,1.0,3369,0.8165627782724845,0.18343722172751553,0.6357672182574826,0.6370303924874051
pbmc10k_to_pbmc5k,totalvi,0,0.9,3032,0.8637862796833773,0.1362137203166227,0.6463856015591026,0.6427658792322289
pbmc10k_to_pbmc5k,totalvi,0,0.8,2695,0.9050092764378479,0.0949907235621521,0.6597799262833886,0.6557615587110479
pbmc10k_to_pbmc5k,totalvi,0,0.7,2358,0.9317217981340119,0.0682782018659881,0.6484055944808187,0.6468233264301537
pbmc10k_to_pbmc5k,totalvi,0,0.6,2021,0.962889658584859,0.037110341415141024,0.6711984673047856,0.6606580183999745
pbmc10k_to_pbmc5k,totalvi,0,0.5,1684,0.9851543942992874,0.014845605700712583,0.7167471725689312,0.701277974768042
pbmc10k_to_pbmc5k,totalvi,1,1.0,3369,0.8159691303057287,0.1840308696942713,0.6553804895452042,0.6519941970438736
pbmc10k_to_pbmc5k,totalvi,1,0.9,3032,0.8594986807387863,0.14050131926121368,0.6705789659923206,0.6634315847425599
pbmc10k_to_pbmc5k,totalvi,1,0.8,2695,0.8923933209647495,0.10760667903525045,0.68756354175714,0.6725551758782417
pbmc10k_to_pbmc5k,totalvi,1,0.7,2358,0.9202714164546225,0.07972858354537748,0.6588156868053321,0.6550299619346963
pbmc10k_to_pbmc5k,totalvi,1,0.6,2021,0.9470559129143988,0.052944087085601166,0.6626037450167231,0.6673109079496468
pbmc10k_to_pbmc5k,totalvi,1,0.5,1684,0.9655581947743468,0.03444180522565321,0.7324640175659682,0.7345475720072011
pbmc10k_to_pbmc5k,totalvi,2,1.0,3369,0.8177500742059959,0.18224992579400412,0.6646659421957736,0.6583810287595262
pbmc10k_to_pbmc5k,totalvi,2,0.9,3032,0.854221635883905,0.14577836411609502,0.6659648812943916,0.6601427156767281
pbmc10k_to_pbmc5k,totalvi,2,0.8,2695,0.8927643784786642,0.10723562152133581,0.6805791937306227,0.6766983905012743
pbmc10k_to_pbmc5k,totalvi,2,0.7,2358,0.9232400339270568,0.07675996607294322,0.6851575164499714,0.6780476007762679
pbmc10k_to_pbmc5k,totalvi,2,0.6,2021,0.9470559129143988,0.052944087085601166,0.6908715763874194,0.6900520132979628
pbmc10k_to_pbmc5k,totalvi,2,0.5,1684,0.9738717339667459,0.026128266033254133,0.7119734147511582,0.6960959892220652
pbmc10k_to_pbmc5k,totalvi,3,1.0,3369,0.8150786583555951,0.18492134164440488,0.6402745954658015,0.6394102204152192
pbmc10k_to_pbmc5k,totalvi,3,0.9,3032,0.8568601583113457,0.14313984168865435,0.6580424026289827,0.6492541187173376
pbmc10k_to_pbmc5k,totalvi,3,0.8,2695,0.8916512059369203,0.10834879406307973,0.6602983864746887,0.653188358173917
pbmc10k_to_pbmc5k,totalvi,3,0.7,2358,0.9240882103477523,0.07591178965224765,0.6639380261645272,0.6604985019005594
pbmc10k_to_pbmc5k,totalvi,3,0.6,2021,0.9559623948540327,0.04403760514596733,0.6864619778455143,0.6807078750792251
pbmc10k_to_pbmc5k,totalvi,3,0.5,1684,0.9786223277909739,0.02137767220902609,0.7065401541754114,0.6972195512133461
pbmc10k_to_pbmc5k,totalvi,4,1.0,3369,0.8032056990204809,0.1967943009795191,0.6678916332453284,0.6557095596880953
pbmc10k_to_pbmc5k,totalvi,4,0.9,3032,0.8453166226912929,0.15468337730870707,0.6822193375820083,0.6654220981438947
pbmc10k_to_pbmc5k,totalvi,4,0.8,2695,0.8816326530612245,0.11836734693877549,0.6865200337747749,0.66740443012974
pbmc10k_to_pbmc5k,totalvi,4,0.7,2358,0.9168787107718406,0.08312128922815942,0.6794459154914541,0.6713021057210354
pbmc10k_to_pbmc5k,totalvi,4,0.6,2021,0.9470559129143988,0.052944087085601166,0.7318874954356248,0.7166323418720998
pbmc10k_to_pbmc5k,totalvi,4,0.5,1684,0.9714964370546318,0.028503562945368155,0.8133847978548137,0.7923236875265425
pbmc5k_to_pbmc10k,scvi_matched,0,1.0,5964,0.7811871227364185,0.21881287726358145,0.6402484093156036,0.6441514414553172
pbmc5k_to_pbmc10k,scvi_matched,0,0.9,5368,0.8312220566318927,0.16877794336810725,0.6570565809986239,0.6614303755674948
pbmc5k_to_pbmc10k,scvi_matched,0,0.8,4771,0.8734018025571159,0.12659819744288414,0.679880699670853,0.6799781574607144
pbmc5k_to_pbmc10k,scvi_matched,0,0.7,4175,0.9094610778443114,0.0905389221556886,0.697881427976897,0.6849240899514006
pbmc5k_to_pbmc10k,scvi_matched,0,0.6,3578,0.9441028507546115,0.05589714924538847,0.7372281840504615,0.7081496164388591
pbmc5k_to_pbmc10k,scvi_matched,0,0.5,2982,0.971495640509725,0.028504359490274966,0.7243273217329655,0.6919277036654532
pbmc5k_to_pbmc10k,scvi_matched,1,1.0,5964,0.75,0.25,0.5707669476871889,0.5753536772965012
pbmc5k_to_pbmc10k,scvi_matched,1,0.9,5368,0.7952682563338301,0.20473174366616986,0.5767830903436848,0.5764069597568012
pbmc5k_to_pbmc10k,scvi_matched,1,0.8,4771,0.8365122615803815,0.1634877384196185,0.5870978506155127,0.5813914827665885
pbmc5k_to_pbmc10k,scvi_matched,1,0.7,4175,0.8802395209580839,0.11976047904191611,0.5935517914649745,0.5804085871330104
pbmc5k_to_pbmc10k,scvi_matched,1,0.6,3578,0.922023476802683,0.07797652319731696,0.5906653891267053,0.5673438965878199
pbmc5k_to_pbmc10k,scvi_matched,1,0.5,2982,0.960429242119383,0.039570757880617036,0.592425899165594,0.5717373498162529
pbmc5k_to_pbmc10k,scvi_matched,2,1.0,5964,0.778504359490275,0.22149564050972503,0.6114909059169635,0.6220224837240542
pbmc5k_to_pbmc10k,scvi_matched,2,0.9,5368,0.8256333830104322,0.1743666169895678,0.6192421813882079,0.6269050795954942
pbmc5k_to_pbmc10k,scvi_matched,2,0.8,4771,0.8656466149654161,0.13435338503458394,0.6339174723395158,0.637568114173372
