direction,model,model_seed,label_level,n_cells,accuracy,balanced_accuracy,macro_f1,weighted_f1,error_prevalence,error_detection_auroc_pred,error_detection_auprc_pred,error_detection_auroc_latent,error_detection_auprc_latent,nll,brier,ece_equal_frequency,ece_equal_width,aurc,median_predictive_uncertainty,median_latent_uncertainty,latent_uncertainty_status,error_detection_auroc_entropy,error_detection_auroc_neg_margin,temperature,nll_temperature_scaled,brier_temperature_scaled,ece_eq_freq_temperature_scaled,error_detection_auroc_temperature_scaled,error_rate_top_10pct,error_rate_top_20pct,error_rate_bottom_20pct,error_enrichment_top10_over_bottom20
pbmc5k_to_pbmc10k,scvi_matched,0,l2,5964,0.7811871227364185,0.6441514414553172,0.6402484093156036,0.763553363529872,0.21881287726358148,0.8626811370733036,0.6073083790827701,,,0.5953170548513134,0.2985765812861604,0.01961116137958709,0.01804367560795857,0.05932861206790746,0.13394170999526978,,unsupported_see_posterior_api_validation_md,0.867063706466864,0.8492827707917523,0.8473361288289388,0.6073320259526009,0.303203766022982,0.043404155373973075,0.8589902623275184,0.6694630872483222,0.5875943000838223,0.0008382229673093043,798.6694630872483
pbmc5k_to_pbmc10k,scvi_matched,1,l2,5964,0.75,0.5753536772965012,0.5707669476871889,0.7164324414817353,0.25,0.8509953828343036,0.5969335045679829,,,0.8446472707606427,0.3535429276525009,0.0495471077565776,0.04954771839936736,0.07528532923642876,0.14069083333015442,,unsupported_see_posterior_api_validation_md,0.8528970979165102,0.845059626707259,0.8850920266737031,0.8842732173786159,0.35885645799561433,0.06801344018546947,0.8494984363292805,0.6577181208053692,0.5959765297569153,0.005029337803855826,130.77628635346758
pbmc5k_to_pbmc10k,scvi_matched,2,l2,5964,0.778504359490275,0.6220224837240542,0.6114909059169635,0.7490534772805836,0.221495640509725,0.8546178198301987,0.5829924502421219,,,0.6889239898509647,0.31653144529292154,0.02443736276916017,0.02345666666106039,0.06294097002543537,0.14716112613677979,,unsupported_see_posterior_api_validation_md,0.86159257756257,0.8436451998996316,0.8473361288289388,0.7185586725020089,0.32136358498114054,0.047263980441490015,0.8506005556784709,0.6459731543624161,0.5699916177703269,0.003352891869237217,192.6614932885906
pbmc5k_to_pbmc10k,scvi_matched,3,l2,5964,0.755365526492287,0.5894752996994054,0.5844995089746119,0.7243573817067454,0.24463447350771295,0.874269013410581,0.663581842969044,,,0.7423752792683521,0.3317534915840252,0.04561807602983763,0.04619461951601194,0.06688321021528293,0.1356629729270935,,unsupported_see_posterior_api_validation_md,0.8786771837551604,0.8629905542467095,0.904596244696448,0.7644173012740986,0.33580583993194835,0.059325894459552365,0.872433340762948,0.7466442953020134,0.6504610226320201,0.003352891869237217,222.6866610738255
pbmc5k_to_pbmc10k,scvi_matched,4,l2,5964,0.7518443997317237,0.6224898553337893,0.6208253115953314,0.7237013395127404,0.24815560026827632,0.8450318851411626,0.5978400506692806,,,0.6895819741423774,0.3391738961707391,0.037784931485401865,0.03622554437745184,0.07771827137478345,0.14812400937080383,,unsupported_see_posterior_api_validation_md,0.8520497806012971,0.8338729898497962,0.904596244696448,0.703053989472593,0.3438446514975429,0.05706349362030195,0.8427797333461917,0.6728187919463087,0.5909471919530596,0.00586756077116513,114.6675455417066
pbmc5k_to_pbmc10k,totalvi,0,l2,5964,0.7845405767940979,0.6269622332487363,0.6157476799755611,0.7621321542809399,0.21545942320590208,0.873314578009369,0.6139366488085434,,,0.558148884399083,0.28769000291148733,0.03724701841512356,0.03995579245764484,0.05597298960138324,0.14904221892356873,,unsupported_see_posterior_api_validation_md,0.8823849919709141,0.858841599563577,0.8111908068103082,0.5639470866630591,0.29318209419642605,0.04746468121337058,0.867718084695007,0.6677852348993288,0.6026823134953898,0.004191114836546521,159.33355704697985
pbmc5k_to_pbmc10k,totalvi,1,l2,5964,0.7251844399731724,0.6201258724326871,0.6101999641645781,0.7296253878771141,0.2748155600268276,0.8123872232822071,0.5555183240710331,,,0.662662011179752,0.36147958458881985,0.05640575282730408,0.056176692857029115,0.09835817635909515,0.19363361597061157,,unsupported_see_posterior_api_validation_md,0.8025718487587596,0.8076538986481959,0.7937005259840998,0.6903294876834318,0.3762606742025658,0.09750878165265524,0.811583758600867,0.5922818791946308,0.5616093880972338,0.0008382229673093043,706.5922818791946
pbmc5k_to_pbmc10k,totalvi,2,l2,5964,0.795439302481556,0.7004381766930136,0.6869075207835412,0.7963653892366261,0.204560697518444,0.8401676492135017,0.5374379819404532,,,0.5436719639887324,0.2863904907124651,0.05007542701754131,0.051809059737074045,0.06048462103214263,0.21754860877990723,,unsupported_see_posterior_api_validation_md,0.8351102687087054,0.8255145412324109,0.8111908068103082,0.5281946013097163,0.28294030401428255,0.014523577382307102,0.8361895439969037,0.6124161073825504,0.5331098072087175,0.002514668901927913,243.5374720357942
pbmc5k_to_pbmc10k,totalvi,3,l2,5964,0.8197518443997317,0.6820096191360213,0.6714806524889094,0.8106045132259164,0.18024815560026827,0.8704005670061411,0.5410934861632158,,,0.4997247691188909,0.2523268814673542,0.027593180817057826,0.02604509233468973,0.043368168280701905,0.1298466920852661,,unsupported_see_posterior_api_validation_md,0.8708032745555995,0.8586153063117486,0.7765873573253509,0.5048258831661496,0.2566566410552546,0.03807598849137626,0.8655301174444767,0.5889261744966443,0.5247275775356245,0.0,inf
pbmc5k_to_pbmc10k,totalvi,4,l2,5964,0.8101945003353455,0.6550385837838318,0.6596235270807813,0.7928843811792531,0.1898054996646546,0.880108939519809,0.6005469075442069,,,0.5396625553650584,0.26352722018144453,0.028354235698039874,0.027569678025526276,0.04483388994059283,0.1228150725364685,,unsupported_see_posterior_api_validation_md,0.8802224715091381,0.870276264830459,0.8660083438045246,0.5408819712673492,0.26466334735507246,0.020786215611786594,0.8778770578358646,0.674496644295302,0.5666387259010897,0.0,inf
