direction,model,model_seed,scheme,bin,bin_lower,bin_upper,n_cells,mean_confidence,empirical_accuracy,gap
pbmc10k_to_pbmc5k,scvi_matched,1,equal_width,8,0.5333333333333333,0.6,191,0.5677935481071472,0.5235602094240838,-0.04423333868306345
pbmc10k_to_pbmc5k,scvi_matched,1,equal_width,9,0.6,0.6666666666666666,200,0.6323935389518738,0.62,-0.012393538951873784
pbmc10k_to_pbmc5k,scvi_matched,1,equal_width,10,0.6666666666666666,0.7333333333333333,233,0.6995565295219421,0.6137339055793991,-0.08582262394254303
pbmc10k_to_pbmc5k,scvi_matched,1,equal_width,11,0.7333333333333333,0.8,199,0.7663102746009827,0.6934673366834171,-0.07284293791756558
pbmc10k_to_pbmc5k,scvi_matched,1,equal_width,12,0.8,0.8666666666666667,250,0.833635687828064,0.776,-0.05763568782806394
pbmc10k_to_pbmc5k,scvi_matched,1,equal_width,13,0.8666666666666667,0.9333333333333333,299,0.9026803374290466,0.8461538461538461,-0.056526491275200486
pbmc10k_to_pbmc5k,scvi_matched,1,equal_width,14,0.9333333333333333,1.0,1502,0.9882506728172302,0.9786950732356857,-0.009555599581544505
pbmc10k_to_pbmc5k,scvi_matched,2,equal_frequency,0,0.193587988615036,0.48749527931213377,225,0.4113158583641052,0.4177777777777778,0.006461919413672579
pbmc10k_to_pbmc5k,scvi_matched,2,equal_frequency,1,0.48749527931213377,0.5518712202707926,225,0.5197436809539795,0.49777777777777776,-0.02196590317620173
pbmc10k_to_pbmc5k,scvi_matched,2,equal_frequency,2,0.5518712202707926,0.6319231390953064,224,0.5947453379631042,0.6071428571428571,0.012397519179752847
pbmc10k_to_pbmc5k,scvi_matched,2,equal_frequency,3,0.6319231390953064,0.7028902411460877,225,0.6673108339309692,0.7066666666666667,0.03935583273569743
pbmc10k_to_pbmc5k,scvi_matched,2,equal_frequency,4,0.7028902411460877,0.7741268277168274,224,0.7391020655632019,0.7098214285714286,-0.0292806369917733
pbmc10k_to_pbmc5k,scvi_matched,2,equal_frequency,5,0.7741268277168274,0.8318227052688599,225,0.8034433126449585,0.7555555555555555,-0.04788775708940296
pbmc10k_to_pbmc5k,scvi_matched,2,equal_frequency,6,0.8318227052688599,0.8890143553415935,224,0.8602908253669739,0.8482142857142857,-0.012076539652688179
pbmc10k_to_pbmc5k,scvi_matched,2,equal_frequency,7,0.8890143553415935,0.9334630290667216,225,0.9111218452453613,0.8711111111111111,-0.04001073413425027
pbmc10k_to_pbmc5k,scvi_matched,2,equal_frequency,8,0.9334630290667216,0.9692235589027405,224,0.9531078338623047,0.8839285714285714,-0.06917926243373329
pbmc10k_to_pbmc5k,scvi_matched,2,equal_frequency,9,0.9692235589027405,0.9865460793177286,225,0.9782900810241699,0.9733333333333334,-0.004956747690836538
pbmc10k_to_pbmc5k,scvi_matched,2,equal_frequency,10,0.9865460793177286,0.9946261644363403,224,0.9908801913261414,0.9866071428571429,-0.004273048468998453
pbmc10k_to_pbmc5k,scvi_matched,2,equal_frequency,11,0.9946261644363403,0.9973076820373535,225,0.9961745738983154,0.9911111111111112,-0.005063462787204265
pbmc10k_to_pbmc5k,scvi_matched,2,equal_frequency,12,0.9973076820373535,0.998667565981547,224,0.9980807900428772,1.0,0.0019192099571228027
pbmc10k_to_pbmc5k,scvi_matched,2,equal_frequency,13,0.998667565981547,0.9994290232658386,225,0.9990626573562622,1.0,0.000937342643737793
pbmc10k_to_pbmc5k,scvi_matched,2,equal_frequency,14,0.9994290232658386,0.9999983310699463,225,0.9997749924659729,1.0,0.0002250075340270996
pbmc10k_to_pbmc5k,scvi_matched,2,equal_width,2,0.13333333333333333,0.2,2,0.194593608379364,0.0,-0.194593608379364
pbmc10k_to_pbmc5k,scvi_matched,2,equal_width,3,0.2,0.26666666666666666,2,0.24865706264972687,0.0,-0.24865706264972687
pbmc10k_to_pbmc5k,scvi_matched,2,equal_width,4,0.26666666666666666,0.3333333333333333,22,0.3096669912338257,0.45454545454545453,0.14487846331162885
pbmc10k_to_pbmc5k,scvi_matched,2,equal_width,5,0.3333333333333333,0.4,56,0.3659164607524872,0.2857142857142857,-0.08020217503820148
pbmc10k_to_pbmc5k,scvi_matched,2,equal_width,6,0.4,0.4666666666666667,94,0.4356563985347748,0.4787234042553192,0.04306700572054439
pbmc10k_to_pbmc5k,scvi_matched,2,equal_width,7,0.4666666666666667,0.5333333333333333,209,0.5026328563690186,0.48325358851674644,-0.01937926785227212
pbmc10k_to_pbmc5k,scvi_matched,2,equal_width,8,0.5333333333333333,0.6,196,0.5675818920135498,0.5510204081632653,-0.016561483850284553
pbmc10k_to_pbmc5k,scvi_matched,2,equal_width,9,0.6,0.6666666666666666,205,0.6341695189476013,0.6926829268292682,0.05851340788166692
pbmc10k_to_pbmc5k,scvi_matched,2,equal_width,10,0.6666666666666666,0.7333333333333333,200,0.6991000175476074,0.72,0.02089998245239255
pbmc10k_to_pbmc5k,scvi_matched,2,equal_width,11,0.7333333333333333,0.8,233,0.7671865820884705,0.721030042918455,-0.0461565391700155
pbmc10k_to_pbmc5k,scvi_matched,2,equal_width,12,0.8,0.8666666666666667,267,0.8329565525054932,0.7790262172284644,-0.05393033527702873
