condition,direction,subsample_seed,model_seed,model,source_n,target_n,label_level,evaluation_class_set,n_classes,target_coverage,classifier,accuracy,balanced_accuracy,macro_f1,weighted_f1,neighbor_agreement_k15,neighbor_agreement_k30,neighbor_agreement_k50,source_training_epochs,query_adaptation_epochs,source_runtime,query_runtime,gpu_peak_allocated_mb,gpu_peak_reserved_mb,process_peak_rss_mb,source_latent_drift,target_asw,target_knn_purity_15
original_A,pbmc10k_to_pbmc5k,,1,totalvi,6855,3994,l1,common,8,1.0,knn30,0.8888561320754716,0.7549965442439617,0.7751898639922157,0.8712339198475282,,,,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,2,scvi_matched,6855,3994,l1,common,8,1.0,logreg,0.9086084905660378,0.8103912531950934,0.8191589257953262,0.8995581861812423,0.8472877358490566,0.8368317610062894,0.8245518867924528,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,2,scvi_matched,6855,3994,l1,common,8,1.0,knn15,0.8903301886792453,0.7625707437002991,0.7808818511615182,0.874514462302717,,,,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,2,scvi_matched,6855,3994,l1,common,8,1.0,knn30,0.8829599056603774,0.7453339713745871,0.7630436451641587,0.8655151474812821,,,,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,2,totalvi,6855,3994,l1,common,8,1.0,logreg,0.8985849056603774,0.7980373163005128,0.7983152603704073,0.8914102927859655,0.8477594339622643,0.8353970125786164,0.8224587264150944,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,2,totalvi,6855,3994,l1,common,8,1.0,knn15,0.8806014150943396,0.7511420181702723,0.7522825408314642,0.8646188980638342,,,,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,2,totalvi,6855,3994,l1,common,8,1.0,knn30,0.8767688679245284,0.7418677864312924,0.7434928688617034,0.8595323136424421,,,,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,3,scvi_matched,6855,3994,l1,common,8,1.0,logreg,0.910377358490566,0.815909203077936,0.8220880758999183,0.9023472147156707,0.8407822327044026,0.8302181603773586,0.8194339622641509,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,3,scvi_matched,6855,3994,l1,common,8,1.0,knn15,0.8956367924528302,0.7692185932398685,0.7860115419317966,0.879947558226757,,,,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,3,scvi_matched,6855,3994,l1,common,8,1.0,knn30,0.8977004716981132,0.7666530410498325,0.7868775572697044,0.8818399617745802,,,,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,3,totalvi,6855,3994,l1,common,8,1.0,logreg,0.9174528301886793,0.8153091476693641,0.8311399033645547,0.908874097523598,0.8540094339622643,0.8446933962264151,0.8333372641509434,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,3,totalvi,6855,3994,l1,common,8,1.0,knn15,0.8979952830188679,0.7784368964098064,0.7907172347310552,0.8845478022476173,,,,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,3,totalvi,6855,3994,l1,common,8,1.0,knn30,0.894752358490566,0.7679176959729257,0.7798806435984453,0.8793016233231568,,,,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,4,scvi_matched,6855,3994,l1,common,8,1.0,logreg,0.9065448113207547,0.8167552542482208,0.8207096081313318,0.900138532588641,0.8365762578616351,0.8252260220125787,0.814616745283019,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,4,scvi_matched,6855,3994,l1,common,8,1.0,knn15,0.8794221698113207,0.7587945549328915,0.7636352715896859,0.8658940359963543,,,,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,4,scvi_matched,6855,3994,l1,common,8,1.0,knn30,0.8732311320754716,0.7417316159539431,0.7440600441482442,0.8562367322508619,,,,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,4,totalvi,6855,3994,l1,common,8,1.0,logreg,0.9094929245283019,0.8057186454368142,0.819053780887072,0.901061296997194,0.8554834905660378,0.8423742138364779,0.830064858490566,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,4,totalvi,6855,3994,l1,common,8,1.0,knn15,0.8959316037735849,0.7717607273187437,0.7851958807923514,0.8822011633870983,,,,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,4,totalvi,6855,3994,l1,common,8,1.0,knn30,0.8867924528301887,0.7559160392857805,0.7660744041837079,0.8717343518619944,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,0,scvi_matched,3994,6855,l2,common,19,0.9695181907571289,logreg,0.7844827586206896,0.6628381033946543,0.662025678113387,0.7681884605357249,0.6447261663286004,0.6326121253098941,0.6218728870858689,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,0,scvi_matched,3994,6855,l2,common,19,0.9695181907571289,knn15,0.7096010818120352,0.5290315385570604,0.5153608681473439,0.6572836011653489,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,0,scvi_matched,3994,6855,l2,common,19,0.9695181907571289,knn30,0.7060513860716701,0.5099742108834364,0.4940956632768256,0.6478760926055912,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,0,totalvi,3994,6855,l2,common,19,0.9695181907571289,logreg,0.7854969574036511,0.6367206063927359,0.6254826707757225,0.7638811080934678,0.6574036511156187,0.6489238224025243,0.6380155510480054,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,0,totalvi,3994,6855,l2,common,19,0.9695181907571289,knn15,0.7479716024340771,0.5717555069261214,0.5582792699610178,0.7076604055832556,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,0,totalvi,3994,6855,l2,common,19,0.9695181907571289,knn30,0.7450980392156863,0.5463589227531086,0.5290511564160494,0.6934357632657885,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,1,scvi_matched,3994,6855,l2,common,19,0.9695181907571289,logreg,0.7527045300878973,0.5876555350287429,0.5838947892992402,0.7197635441254356,0.6410975884606717,0.6262902862294343,0.6122751859364435,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,1,scvi_matched,3994,6855,l2,common,19,0.9695181907571289,knn15,0.7026707234617985,0.4903121868689945,0.4742520761124291,0.6439362097984427,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,1,scvi_matched,3994,6855,l2,common,19,0.9695181907571289,knn30,0.6984448951994591,0.47115786828083356,0.4516222387890539,0.6353777627324488,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,1,totalvi,3994,6855,l2,common,19,0.9695181907571289,logreg,0.7266734279918864,0.6347530185551132,0.6253281740195884,0.7326531144039468,0.6894748704079333,0.6706783862970476,0.6530290736984449,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,1,totalvi,3994,6855,l2,common,19,0.9695181907571289,knn15,0.785158891142664,0.6012705209115135,0.6067588324297946,0.7595732553254344,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,1,totalvi,3994,6855,l2,common,19,0.9695181907571289,knn30,0.7625084516565247,0.5636901120460738,0.564401788951157,0.7235301365781652,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,2,scvi_matched,3994,6855,l2,common,19,0.9695181907571289,logreg,0.7799188640973631,0.6313591145707015,0.6201763952852541,0.7516458497511174,0.6476109984223574,0.6359195402298851,0.623025693035835,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,2,scvi_matched,3994,6855,l2,common,19,0.9695181907571289,knn15,0.7243069641649763,0.5316911088808501,0.5118043158412181,0.6720745453442362,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,2,scvi_matched,3994,6855,l2,common,19,0.9695181907571289,knn30,0.7251521298174443,0.5174846741732427,0.4996770338936118,0.6673982788345085,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,2,totalvi,3994,6855,l2,common,19,0.9695181907571289,logreg,0.7993576741041244,0.7172733040363773,0.7008851321720325,0.7995132391858456,0.6689091728645482,0.6534144692359704,0.6381676808654496,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,2,totalvi,3994,6855,l2,common,19,0.9695181907571289,knn15,0.756761325219743,0.5843561739239701,0.584948114723527,0.7282844844395789,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,2,totalvi,3994,6855,l2,common,19,0.9695181907571289,knn30,0.7523664638269101,0.5580789690451844,0.5506189048820864,0.7060091573523378,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,3,scvi_matched,3994,6855,l2,common,19,0.9695181907571289,logreg,0.7592968221771467,0.5923742079102773,0.5851874151882587,0.7270162774471027,0.6465742618886635,0.6315866576515664,0.6145402298850575,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,3,scvi_matched,3994,6855,l2,common,19,0.9695181907571289,knn15,0.709263015551048,0.49611418001518043,0.4834828179994002,0.6554932961395941,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,3,scvi_matched,3994,6855,l2,common,19,0.9695181907571289,knn30,0.7030087897227857,0.4801179750646961,0.46539513028254104,0.6451212992099878,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,3,totalvi,3994,6855,l2,common,19,0.9695181907571289,logreg,0.8231913455037188,0.7013337612998274,0.6908863186422725,0.8148166404241348,0.704676583276989,0.6824599954924498,0.6637964841108858,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,3,totalvi,3994,6855,l2,common,19,0.9695181907571289,knn15,0.7826233941852603,0.605995558797124,0.6168035054202703,0.7539493618968318,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,3,totalvi,3994,6855,l2,common,19,0.9695181907571289,knn30,0.7554090601757945,0.5526441103995468,0.5560671178789839,0.7138182768142406,,,,,,,,,,,,,
