subsample_seed,label_level,cell_type,full_source_count,subsample_count,full_source_fraction,subsample_fraction,absolute_fraction_difference
2,l2,CD16 Mono,111,74,0.016192560175054705,0.018527791687531298,0.0023352315124765925
2,l2,CD4 CTL,26,15,0.0037928519328956968,0.003755633450175263,3.7218482720433824e-05
2,l2,CD4 Naive,904,524,0.13187454412837346,0.13119679519278918,0.0006777489355842825
2,l2,CD4 Proliferating,8,3,0.0011670313639679066,0.0007511266900350526,0.000415904673932854
2,l2,CD4 TCM,659,381,0.09613420860685631,0.09539308963445167,0.0007411189724046419
2,l2,CD4 TEM,330,198,0.04814004376367615,0.04957436154231347,0.0014343177786373187
2,l2,CD8 Naive,337,202,0.04916119620714807,0.05057586379569354,0.0014146675885454707
2,l2,CD8 Proliferating,30,15,0.00437636761487965,0.003755633450175263,0.0006207341647043868
2,l2,CD8 TCM,98,63,0.014296134208606856,0.015773660490736103,0.0014775262821292469
2,l2,CD8 TEM,295,173,0.043034281546316555,0.04331497245868803,0.0002806909123714771
2,l2,Eryth,212,115,0.030926331145149526,0.028793189784677015,0.002133141360472511
2,l2,HSPC,5,3,0.0007293946024799417,0.0007511266900350526,2.173208755511095e-05
2,l2,ILC,95,59,0.013858497447118891,0.014772158237356035,0.0009136607902371432
2,l2,MAIT,368,222,0.05368344274252371,0.05558337506259389,0.0018999323200701856
2,l2,NK,790,480,0.11524434719183078,0.12018027040560841,0.004935923213777629
2,l2,NK Proliferating,33,18,0.004814004376367615,0.004506760140210316,0.00030724423615729936
2,l2,NK_CD56bright,38,27,0.0055433989788475566,0.006760140210315473,0.0012167412314679164
2,l2,Plasmablast,11,10,0.0016046681254558717,0.0025037556334501754,0.0008990875079943038
2,l2,Platelet,5,2,0.0007293946024799417,0.000500751126690035,0.00022864347578990666
2,l2,Treg,290,153,0.04230488694383661,0.038307461191787684,0.003997425752048929
2,l2,cDC1,3,1,0.000437636761487965,0.0002503755633450175,0.0001872611981429475
2,l2,cDC2,140,78,0.020423048869438368,0.019529293940911366,0.0008937549285270019
2,l2,dnT,129,70,0.018818380743982493,0.017526289434151226,0.001292091309831267
2,l2,gdT,68,44,0.009919766593727206,0.011016524787180772,0.0010967581934535654
2,l2,pDC,26,20,0.0037928519328956968,0.005007511266900351,0.001214659334004654
2,l1,B,510,286,0.07439824945295405,0.07160741111667501,0.002790838336279036
2,l1,CD4 T,2217,1274,0.32341356673960614,0.3189784677015523,0.004435099038053836
2,l1,CD8 T,760,453,0.11086797957695113,0.11342013019529294,0.0025521506183418113
2,l1,DC,172,101,0.02509117432530999,0.02528793189784677,0.0001967575725367772
2,l1,Mono,1453,840,0.21196207148067103,0.21031547320981472,0.0016465982708563087
2,l1,NK,861,525,0.12560175054704595,0.1314471707561342,0.0058454202090882645
2,l1,other,317,179,0.0462436177972283,0.044817225838758135,0.0014263919584701634
2,l1,other T,565,336,0.0824215900802334,0.08412618928392589,0.0017045992036924806
3,l2,ASDC,3,3,0.000437636761487965,0.0007511266900350526,0.0003134899285470876
3,l2,B intermediate,78,52,0.011378555798687089,0.013019529293940912,0.0016409734952538228
3,l2,B memory,105,64,0.015317286652078774,0.01602403605408112,0.0007067494020023459
3,l2,B naive,316,183,0.04609773887673231,0.04581872809213821,0.00027901078459410117
3,l2,CD14 Mono,1342,760,0.19576951130561634,0.19028542814221333,0.005484083163403014
3,l2,CD16 Mono,111,70,0.016192560175054705,0.017526289434151226,0.0013337292590965208
3,l2,CD4 CTL,26,15,0.0037928519328956968,0.003755633450175263,3.7218482720433824e-05
3,l2,CD4 Naive,904,509,0.13187454412837346,0.1274411617426139,0.004433382385759549
3,l2,CD4 Proliferating,8,5,0.0011670313639679066,0.0012518778167250877,8.48464527571811e-05
3,l2,CD4 TCM,659,397,0.09613420860685631,0.09939909864797196,0.003264890041115645
3,l2,CD4 TEM,330,198,0.04814004376367615,0.04957436154231347,0.0014343177786373187
3,l2,CD8 Naive,337,203,0.04916119620714807,0.05082623935903856,0.0016650431518904912
3,l2,CD8 Proliferating,30,14,0.00437636761487965,0.0035052578868302454,0.0008711097280494043
3,l2,CD8 TCM,98,58,0.014296134208606856,0.014521782674011016,0.00022564846540415982
3,l2,CD8 TEM,295,175,0.043034281546316555,0.043815723585378066,0.0007814420390615112
3,l2,Eryth,212,113,0.030926331145149526,0.02829243865798698,0.002633892487162545
3,l2,HSPC,5,4,0.0007293946024799417,0.00100150225338007,0.00027210765090012834
3,l2,ILC,95,56,0.013858497447118891,0.014021031547320982,0.00016253410020209032
3,l2,MAIT,368,216,0.05368344274252371,0.05408112168252378,0.0003976789400000763
3,l2,NK,790,444,0.11524434719183078,0.11116675012518779,0.004077597066642999
3,l2,NK Proliferating,33,22,0.004814004376367615,0.005508262393590386,0.0006942580172227706
3,l2,NK_CD56bright,38,24,0.0055433989788475566,0.006009013520280421,0.0004656145414328643
3,l2,Plasmablast,11,8,0.0016046681254558717,0.00200300450676014,0.00039833638130426833
3,l2,Platelet,5,4,0.0007293946024799417,0.00100150225338007,0.00027210765090012834
3,l2,Treg,290,175,0.04230488694383661,0.043815723585378066,0.0015108366415414534
3,l2,cDC1,3,3,0.000437636761487965,0.0007511266900350526,0.0003134899285470876
3,l2,cDC2,140,83,0.020423048869438368,0.020781171757636455,0.0003581228881980869
3,l2,dnT,129,82,0.018818380743982493,0.020530796194291438,0.0017124154503089448
3,l2,gdT,68,39,0.009919766593727206,0.009764646970455683,0.00015511962327152337
3,l2,pDC,26,15,0.0037928519328956968,0.003755633450175263,3.7218482720433824e-05
3,l1,B,510,307,0.07439824945295405,0.07686529794692037,0.0024670484939663256
3,l1,CD4 T,2217,1299,0.32341356673960614,0.32523785678517775,0.0018242900455716082
3,l1,CD8 T,760,450,0.11086797957695113,0.11266900350525788,0.0018010239283067497
