condition,direction,subsample_seed,model_seed,label_level,evaluation_class_set,scvi_macro_f1,totalvi_macro_f1,delta,bootstrap_ci_low,bootstrap_ci_high,target_n_eval,n_classes
original_B,pbmc5k_to_pbmc10k,,2,l1,common,0.755450518696078,0.8613939328537898,0.1059434141577118,,,6102,8
original_B,pbmc5k_to_pbmc10k,,3,l1,common,0.7420794941224658,0.8923497465826367,0.1502702524601709,,,6102,8
original_B,pbmc5k_to_pbmc10k,,4,l1,common,0.803340194759937,0.8802600041089708,0.07691980934903375,,,6102,8
size_matched_A,pbmc10k_to_pbmc5k,0.0,0,l2,common,0.6512479718657496,0.6291199038094462,-0.022128068056303407,-0.04615446415300298,0.001781204954266513,3291,19
size_matched_A,pbmc10k_to_pbmc5k,0.0,0,l2,per_run_eligible,0.6213208026679086,0.6058725616835867,-0.015448240984321848,-0.037485388044172493,0.008459806669626658,3305,20
size_matched_A,pbmc10k_to_pbmc5k,0.0,0,l1,common,0.8029517859278875,0.7832078317130797,-0.01974395421480779,-0.036542944108332115,-0.0038579568981723556,3392,8
size_matched_A,pbmc10k_to_pbmc5k,0.0,0,l1,per_run_eligible,0.8029517859278875,0.7832078317130797,-0.01974395421480779,-0.036542944108332115,-0.0038579568981723556,3392,8
size_matched_A,pbmc10k_to_pbmc5k,1.0,0,l2,common,0.6255486985840646,0.6444078815914094,0.018859183007344793,-0.0016986581589880337,0.03818598223250511,3291,19
size_matched_A,pbmc10k_to_pbmc5k,1.0,0,l2,per_run_eligible,0.60203241615354,0.615428856056778,0.013396439903238022,-0.006753043843823161,0.03500774532401946,3305,20
size_matched_A,pbmc10k_to_pbmc5k,1.0,0,l1,common,0.7992317133166493,0.8208265368284247,0.02159482351177533,0.006755229040919206,0.03657603878260009,3392,8
size_matched_A,pbmc10k_to_pbmc5k,1.0,0,l1,per_run_eligible,0.7992317133166493,0.8208265368284247,0.02159482351177533,0.006755229040919206,0.03657603878260009,3392,8
size_matched_A,pbmc10k_to_pbmc5k,2.0,0,l2,common,0.6419409045462076,0.6503793191563322,0.008438414610124623,-0.01716453528694478,0.03132787369246162,3291,19
size_matched_A,pbmc10k_to_pbmc5k,2.0,0,l2,per_run_eligible,0.6080094158169087,0.6206033474516222,0.012593931634713451,-0.010353395571695796,0.035560428625931374,3305,20
size_matched_A,pbmc10k_to_pbmc5k,2.0,0,l1,common,0.8145693496366909,0.78954320403398,-0.02502614560271088,-0.039732991199511965,-0.010202654585927097,3392,8
size_matched_A,pbmc10k_to_pbmc5k,2.0,0,l1,per_run_eligible,0.8145693496366909,0.78954320403398,-0.02502614560271088,-0.039732991199511965,-0.010202654585927097,3392,8
size_matched_A,pbmc10k_to_pbmc5k,3.0,0,l2,common,0.6260252815400253,0.6737767629453568,0.047751481405331475,0.025823348090203327,0.07298854875429002,3291,19
size_matched_A,pbmc10k_to_pbmc5k,3.0,0,l2,per_run_eligible,0.5917143810615626,0.6400618436090728,0.04834746254751021,0.026663798934855886,0.06916542896569766,3305,20
size_matched_A,pbmc10k_to_pbmc5k,3.0,0,l1,common,0.8139571489500766,0.8419398794839288,0.02798273053385214,0.012962742781243666,0.043302273767775054,3392,8
size_matched_A,pbmc10k_to_pbmc5k,3.0,0,l1,per_run_eligible,0.8139571489500766,0.8419398794839288,0.02798273053385214,0.012962742781243666,0.043302273767775054,3392,8
size_matched_A,pbmc10k_to_pbmc5k,4.0,0,l2,common,0.615875549158021,0.6147674825227958,-0.0011080666352252244,-0.023803970451706485,0.01987243950773428,3291,19
size_matched_A,pbmc10k_to_pbmc5k,4.0,0,l2,per_run_eligible,0.5776880862805374,0.5954961687678951,0.017808082487357768,-0.006720209698330412,0.04338018369597103,3305,20
