analysis_set,representation,cell_type,f1,n_test
B_matched_intersection_HC,MOFA+,dnT,0.1935483870967742,25
B_matched_intersection_HC,MOFA+,gdT,0.75,35
B_matched_intersection_HC,MOFA+,pDC,0.88,11
B_matched_intersection_HC,scVI_matched,ASDC,1.0,1
B_matched_intersection_HC,scVI_matched,B intermediate,0.8059701492537313,34
B_matched_intersection_HC,scVI_matched,B memory,0.898876404494382,45
B_matched_intersection_HC,scVI_matched,B naive,0.9717514124293786,88
B_matched_intersection_HC,scVI_matched,CD14 Mono,0.9606481481481481,426
B_matched_intersection_HC,scVI_matched,CD16 Mono,0.954954954954955,58
B_matched_intersection_HC,scVI_matched,CD4 CTL,0.9473684210526315,9
B_matched_intersection_HC,scVI_matched,CD4 Naive,0.8875739644970414,241
B_matched_intersection_HC,scVI_matched,CD4 Proliferating,0.0,2
B_matched_intersection_HC,scVI_matched,CD4 TCM,0.7803468208092486,178
B_matched_intersection_HC,scVI_matched,CD4 TEM,0.8771929824561403,113
B_matched_intersection_HC,scVI_matched,CD8 Naive,0.9315068493150684,69
B_matched_intersection_HC,scVI_matched,CD8 Proliferating,0.0,3
B_matched_intersection_HC,scVI_matched,CD8 TCM,0.5581395348837209,25
B_matched_intersection_HC,scVI_matched,CD8 TEM,0.903954802259887,83
B_matched_intersection_HC,scVI_matched,Eryth,0.7346938775510204,51
B_matched_intersection_HC,scVI_matched,HSPC,1.0,1
B_matched_intersection_HC,scVI_matched,ILC,0.43478260869565216,24
B_matched_intersection_HC,scVI_matched,MAIT,0.912751677852349,71
B_matched_intersection_HC,scVI_matched,NK,0.9739583333333334,187
B_matched_intersection_HC,scVI_matched,NK Proliferating,0.25,6
B_matched_intersection_HC,scVI_matched,NK_CD56bright,0.9,11
B_matched_intersection_HC,scVI_matched,Plasmablast,0.5714285714285714,3
B_matched_intersection_HC,scVI_matched,Platelet,1.0,2
B_matched_intersection_HC,scVI_matched,Treg,0.7,62
B_matched_intersection_HC,scVI_matched,cDC1,0.0,3
B_matched_intersection_HC,scVI_matched,cDC2,0.9158878504672897,54
B_matched_intersection_HC,scVI_matched,dnT,0.34285714285714286,25
B_matched_intersection_HC,scVI_matched,gdT,0.4444444444444444,35
B_matched_intersection_HC,scVI_matched,pDC,1.0,11
B_matched_intersection_HC,totalVI,ASDC,1.0,1
B_matched_intersection_HC,totalVI,B intermediate,0.8059701492537313,34
B_matched_intersection_HC,totalVI,B memory,0.8837209302325582,45
B_matched_intersection_HC,totalVI,B naive,0.9666666666666667,88
B_matched_intersection_HC,totalVI,CD14 Mono,0.9595375722543352,426
B_matched_intersection_HC,totalVI,CD16 Mono,0.954954954954955,58
B_matched_intersection_HC,totalVI,CD4 CTL,0.8571428571428571,9
B_matched_intersection_HC,totalVI,CD4 Naive,0.8884540117416829,241
B_matched_intersection_HC,totalVI,CD4 Proliferating,0.6666666666666666,2
B_matched_intersection_HC,totalVI,CD4 TCM,0.7810650887573964,178
B_matched_intersection_HC,totalVI,CD4 TEM,0.8347826086956521,113
B_matched_intersection_HC,totalVI,CD8 Naive,0.9583333333333334,69
B_matched_intersection_HC,totalVI,CD8 Proliferating,0.0,3
B_matched_intersection_HC,totalVI,CD8 TCM,0.6818181818181818,25
B_matched_intersection_HC,totalVI,CD8 TEM,0.8928571428571429,83
B_matched_intersection_HC,totalVI,Eryth,0.7368421052631579,51
B_matched_intersection_HC,totalVI,HSPC,1.0,1
B_matched_intersection_HC,totalVI,ILC,0.45454545454545453,24
B_matched_intersection_HC,totalVI,MAIT,0.9261744966442953,71
B_matched_intersection_HC,totalVI,NK,0.9712793733681462,187
B_matched_intersection_HC,totalVI,NK Proliferating,0.4444444444444444,6
B_matched_intersection_HC,totalVI,NK_CD56bright,0.9,11
B_matched_intersection_HC,totalVI,Plasmablast,1.0,3
B_matched_intersection_HC,totalVI,Platelet,1.0,2
B_matched_intersection_HC,totalVI,Treg,0.736,62
B_matched_intersection_HC,totalVI,cDC1,0.0,3
B_matched_intersection_HC,totalVI,cDC2,0.918918918918919,54
B_matched_intersection_HC,totalVI,dnT,0.5263157894736842,25
B_matched_intersection_HC,totalVI,gdT,0.6206896551724138,35
B_matched_intersection_HC,totalVI,pDC,1.0,11
