model,source_subset_seed,model_seed,replicate,run_replicate_seed,accuracy,balanced_accuracy,macro_f1,weighted_f1,error_auroc,error_auprc,error_prevalence,nll,brier,ece,aurc,n_source_eval,n_target_eval
totalvi,2,0,0,,0.8090771558245083,0.6402813989078899,0.6206033474516222,0.787140982400739,0.8404990475874389,0.5063507885367706,0.19092284417549168,0.5607033699755822,0.2770895488912259,0.023800424800878572,0.05416311443638197,3497,3305
totalvi,2,0,1,91020.0,0.8,0.6227060068375725,0.6121507915093519,0.7761318360147851,0.8315590804745022,0.4935644040098989,0.2,0.6063454830914327,0.2930493588846877,0.03291884546200555,0.06019607106864651,3497,3305
totalvi,2,1,0,,0.7990922844175492,0.6295253372256934,0.6222958620336945,0.7796233238606034,0.8551730587628819,0.5358625394179337,0.20090771558245082,0.5778833624878873,0.28075483423969255,0.017910452283997756,0.053849324256835474,3497,3305
totalvi,2,1,1,91021.0,0.8121028744326778,0.6599069442056449,0.6631489765453618,0.7938777542969371,0.8356821961597443,0.47975357546762254,0.18789712556732224,0.5427508203620908,0.271506591633114,0.018910826505943803,0.05362958624435756,3497,3305
totalvi,2,2,0,,0.783661119515885,0.61168413471205,0.6012110816535092,0.7680832713134806,0.8355055755055755,0.5318097401230524,0.21633888048411498,0.5889080163195478,0.30110493624273077,0.021322148803863863,0.06534421720656919,3497,3305
totalvi,2,2,1,91022.0,0.7751891074130106,0.5657096923058849,0.5644961299522065,0.7497050571994245,0.8369018988571975,0.5378644895305227,0.2248108925869894,0.6131618315250303,0.31525462745276084,0.05943313598993507,0.06860275676882194,3497,3305
totalvi,2,3,0,,0.8009077155824509,0.6256060278409823,0.612093194792455,0.7831176415210159,0.8406646625244154,0.5148124843916602,0.19909228441754917,0.551252815148317,0.2789572992766951,0.014680258183544233,0.056945344478636944,3497,3305
totalvi,2,3,1,91023.0,0.8063540090771558,0.6356348879402558,0.6481525222690653,0.7865800400583902,0.8366906074108817,0.4821365964713952,0.19364599092284418,0.5780703418010369,0.2790392652427071,0.021921982346792993,0.056287282190666935,3497,3305
totalvi,2,4,0,,0.7954614220877458,0.6217024954405169,0.6056188243371498,0.7755922334808683,0.8409304728100996,0.5124413335368905,0.20453857791225416,0.5635026055405101,0.28673006797691686,0.02479160757180241,0.05897379758959193,3497,3305
totalvi,2,4,1,91024.0,0.789712556732224,0.6413729135575666,0.629004824241305,0.7794385630855057,0.8269516800352822,0.5081214939739651,0.2102874432677761,0.5981658013791543,0.2984411010560099,0.02592249830984672,0.06550487610953935,3497,3305
scvi_matched,3,0,0,,0.7615733736762481,0.5990677232558677,0.5917143810615626,0.7541064032637615,0.84139879277764,0.5860161559657246,0.2384266263237519,0.6306054313180937,0.32143365254636175,0.02316026799437138,0.07298814529080967,3500,3305
scvi_matched,3,0,1,91030.0,0.7440242057488654,0.6098597668982269,0.5850537219645512,0.7377593624243551,0.8269492009379354,0.5570423333313088,0.25597579425113465,0.6704576832547103,0.3487000587489039,0.061763116766933954,0.08466071833335723,3500,3305
scvi_matched,3,1,0,,0.789712556732224,0.6342746146682167,0.6205478053065991,0.7821280776275459,0.8460056782160479,0.5443663975110027,0.2102874432677761,0.5732345176208875,0.288844143863656,0.01966305823261186,0.060465292222632194,3500,3305
scvi_matched,3,1,1,91031.0,0.7712556732223903,0.6295125579682388,0.6077599785581347,0.7609664650676523,0.8412734737764163,0.5469791583363925,0.22874432677760967,0.6171087794218354,0.30846657062981114,0.024073638930443383,0.06918627249025784,3500,3305
scvi_matched,3,2,0,,0.7833585476550681,0.6114371344797294,0.5911771958449242,0.772045861810508,0.8161800246422877,0.49213268414786643,0.21664145234493193,0.6235526404742971,0.3127367677076272,0.03775605467372149,0.07147379247461987,3500,3305
scvi_matched,3,2,1,91032.0,0.7715582450832073,0.6039292812174646,0.5918379955673306,0.7658801678952355,0.8297088689780548,0.5621946574864288,0.22844175491679275,0.6023999431077766,0.3121252333333045,0.029650749272910615,0.07293554847413923,3500,3305
scvi_matched,3,3,0,,0.7588502269288956,0.6313928280113023,0.6067097615085307,0.7579620789524734,0.836647696005155,0.5672109157416892,0.24114977307110438,0.6575082024918206,0.32917315706896416,0.02983382272107157,0.07537495007842776,3500,3305
scvi_matched,3,3,1,91033.0,0.7500756429652042,0.5803184387414683,0.5614136909760835,0.7402388843880652,0.8432303504400646,0.5839728841869277,0.24992435703479576,0.6712949241912651,0.33428486773890087,0.043354731536669,0.07747943493657357,3500,3305
scvi_matched,3,4,0,,0.7715582450832073,0.6207663875107242,0.5942456026863538,0.7643370070905804,0.8240602519153357,0.519733030422687,0.22844175491679275,0.6259514939678824,0.31661356176341193,0.039367802511004565,0.073861422247223,3500,3305
scvi_matched,3,4,1,91034.0,0.7549167927382754,0.5951513602691837,0.5764099839333754,0.7430331032703583,0.8424265815581781,0.5810475945932798,0.24508320726172467,0.662410299253951,0.32893248913543505,0.041807884852572405,0.07578494398360677,3500,3305
totalvi,3,0,0,,0.8139183055975794,0.6670184972082741,0.6400618436090728,0.7979614454710793,0.8380034454619639,0.5084675283928496,0.18608169440242056,0.5552708371809564,0.269181375380059,0.01603664871243235,0.05352398111872175,3500,3305
totalvi,3,0,1,91030.0,0.8118003025718609,0.6487914659519968,0.6156148222832147,0.7904170278138712,0.8357252343863291,0.5083990538474259,0.1881996974281392,0.5743670876810061,0.2761860492873348,0.02221399000120235,0.054366160537122274,3500,3305
